class_id,class_name,probes_hit,probes_total,pct
aa2d9ff8b54a2a45,com/google/android/material/textfield/TextInputLayout,571,1467,38.92
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,399,1610,24.78
f27e24e945c6aad5,androidx/recyclerview/widget/RecyclerView,359,2299,15.62
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,342,645,53.02
32644374cd50045f,androidx/fragment/app/FragmentManager,307,1316,23.33
461308008bbf286b,com/google/android/material/internal/CollapsingTextHelper,277,562,49.29
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,257,598,42.98
61b9676bc3d3285f,com/google/android/material/tabs/TabLayout,238,670,35.52
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,235,938,25.05
5015e35e5b4bbe71,com/google/android/material/textfield/EndCompoundLayout,225,419,53.7
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,200,1298,15.41
9a0e4437321bc421,androidx/recyclerview/widget/LinearLayoutManager,185,794,23.3
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,184,508,36.22
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,173,460,37.61
9c731f027476cce9,com/google/android/material/shape/MaterialShapeDrawable,168,425,39.53
353bc5c9c3f2c78d,androidx/fragment/app/Fragment,150,751,19.97
4bca276486c4b3be,com/forz/calculator/utils/NumberFormatter,149,208,71.63
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,138,311,44.37
246bee4e4fe0c771,com/google/android/material/tabs/TabLayout$TabView,136,390,34.87
5b21e57ad3e0b7ac,androidx/recyclerview/widget/RecyclerView$LayoutManager,135,648,20.83
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,132,201,65.67
c7facf91c0a4cea8,androidx/recyclerview/widget/RecyclerView$Recycler,131,602,21.76
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,123,274,44.89
9809a591dbc8be5f,com/forz/calculator/fragments/UnitConverterFragment,120,188,63.83
2de400f4003f799e,androidx/viewpager2/widget/ViewPager2,110,242,45.45
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,103,380,27.11
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,102,430,23.72
dae5e4d9fed9e1c7,androidx/constraintlayout/core/widgets/Chain,101,254,39.76
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,100,193,51.81
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,98,629,15.58
