[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Cofi-_v1.21.5-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-dd4b8a6b": Wed Sep 02 13:41:06 UTC 2026 - Wed Sep 02 13:41:27 UTC 2026
6ff9781ff8730f93    4 of  30   androidx/compose/runtime/snapshots/StateListIterator
5b5ef2fdab6882c1   33 of 282   androidx/compose/animation/core/SeekableTransitionState
da698358e39e3abf    1 of   1   androidx/compose/runtime/external/kotlinx/collections/immutable/internal/CommonFunctionsKt
88f1eda21314b654    9 of  30   com/omelan/cofi/utils/WearUtils$ObserveIfWearAppInstalled$2
57fdf76417ba9737    2 of   3   androidx/compose/runtime/ParcelableSnapshotMutableFloatState$Companion
9235bb9f3065d9d6   15 of 127   androidx/compose/foundation/BorderModifierNode
12b12ba95fe326e1   10 of  16   androidx/compose/material3/FloatingActionButtonElevation$animateElevation$1$1
2ef9fafe3faf6bb5    2 of   2   androidx/navigation/compose/DialogNavigator$Companion
3dcb2d41b7b54720   61 of 511   androidx/compose/ui/text/SpanStyle
9d595c75abc38acd    2 of   2   androidx/navigation/NavDeepLink$Companion
8995f9fa22797234    2 of   2   androidx/compose/animation/ExitTransitionImpl
9cfe8869a10db5b9    2 of   5   com/omelan/cofi/MainActivityKt$LocalPiPState$1
41938140c7d5e722   33 of  68   androidx/compose/animation/core/TargetBasedAnimation
f2f2c805aa80905e   93 of 123   androidx/compose/ui/graphics/ReusableGraphicsLayerScope
d9da335587854d26    1 of  11   androidx/core/os/LocaleListPlatformWrapper
bdc44f8ab17c6306    1 of   3   androidx/compose/ui/layout/ContentScale$Companion$FillWidth$1
74f01197b1b154e3    1 of   3   androidx/fragment/app/FragmentTransaction$Op
7f43f79e16901e75   16 of  31   kotlinx/coroutines/internal/LockFreeTaskQueue
3d7ce1e2d2996e38    2 of  53   okio/Okio__JvmOkioKt
440963439587b28d    2 of  12   com/omelan/cofi/components/ComposableSingletons$PipAwareAppBarKt$lambda-4$1
fd0ec9e1715985f4    4 of   4   androidx/compose/runtime/snapshots/SnapshotKt$mergedWriteObserver$1
900e03526d053e1b    2 of   2   androidx/compose/animation/core/SuspendAnimationKt$animate$4
44e756f3596beb37    7 of  11   com/omelan/cofi/MainActivity$onCreate$2
415e7f9ace1fd090    2 of   7   kotlinx/coroutines/Unconfined
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
4f866dfbc772e55b    1 of   1   androidx/lifecycle/viewmodel/internal/SynchronizedObject
b27e4739475f124c    5 of  59   androidx/compose/ui/input/pointer/PointerInputEventProcessor
0341fc49391c4642    6 of  34   androidx/compose/ui/text/input/CursorAnchorInfoController
70f0d1ba20e021f2    3 of   8   androidx/compose/ui/modifier/EmptyMap
03417b05c3db7bc6   28 of  87   androidx/room/RoomOpenHelper
2f330418992bd25c    5 of   5   androidx/compose/material3/tokens/DividerTokens
5a74ac5a47615111    2 of 177   kotlinx/coroutines/EventLoopImplBase
514a41bcc37ad3ee    2 of   2   androidx/compose/ui/text/platform/DispatcherKt
9ebd016226e5395c    2 of  38   androidx/compose/runtime/internal/ThreadMap
b1810b9fba666010    4 of  38   kotlinx/coroutines/flow/FlowKt__ZipKt
7bc39f24fa13de9f   19 of 101   androidx/compose/ui/input/nestedscroll/NestedScrollNode
45a63ac0450e7a06   19 of  29   androidx/activity/compose/ComponentActivityKt
b082acd336cccaed    3 of   5   androidx/compose/animation/core/Animation
b97f1ca31b025eaf    9 of  13   androidx/compose/animation/AnimatedVisibilityKt$AnimatedEnterExitImpl$shouldDisposeAfterExit$2$1
ca0be1928140caab    2 of   4   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$broadcastReceiver$1
e87fc7c21fcd9003    3 of  25   androidx/collection/IntSetKt
e192076980b92636    2 of  39   androidx/activity/ComponentActivity$activityResultRegistry$1
d4cce0a9f2550646   55 of  66   androidx/compose/material3/FloatingActionButtonKt$ExtendedFloatingActionButton$3
316052440613654f    2 of  36   kotlinx/coroutines/AbstractTimeSourceKt
46c748547025becc    3 of   3   com/google/android/gms/common/api/GoogleApi$Settings
69bb0e8ab7df5094    1 of   2   androidx/arch/core/executor/DefaultTaskExecutor$Api28Impl
b9bdfc60d36a96cc    6 of 117   androidx/compose/ui/modifier/ModifierLocalManager
0b87da16433912d3   16 of  23   androidx/compose/ui/node/AlignmentLines$recalculate$1
cc5644050031481f   25 of  39   androidx/compose/ui/graphics/vector/compat/AndroidVectorResources
4ed2bdcfc67d151e   19 of  30   androidx/datastore/core/DataStoreImpl$internalDataFlow$1
d39508959e72a50d    6 of  39   kotlinx/coroutines/flow/StateFlowKt
