[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Currencies-_1.23.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-ce17cd52": Wed Sep 02 13:41:29 UTC 2026 - Wed Sep 02 13:41:50 UTC 2026
883ce2c85f6c4d9d   14 of  30   androidx/constraintlayout/core/widgets/Optimizer
a89428449028e0fd    1 of   2   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API28
e37a0b6043f713e7    1 of  10   kotlinx/coroutines/channels/ProducerCoroutine
e16823019142f320   35 of 135   androidx/appcompat/app/AppCompatDelegate
32d050b14c77b618    7 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
eefcc23d89cd1518    5 of  44   kotlinx/coroutines/flow/FlowKt__ContextKt
87e1598c054cb33b   27 of  72   androidx/constraintlayout/core/SolverVariable
f324d35b9cb534d7    3 of   3   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key
32644374cd50045f  123 of 1316   androidx/fragment/app/FragmentManager
caf2f8bc21b703d8   18 of 118   de/salomax/currencies/view/main/spinner/SearchableSpinnerDialogAdapter
53e1c88966136559    2 of   6   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key$1
66cd38b3a6489812    8 of  23   androidx/core/view/WindowInsetsCompat$Type
2bad4412436344fb    1 of   2   androidx/swiperefreshlayout/widget/SwipeRefreshLayout$7
35f6d3aab6e0389b   11 of  72   kotlinx/coroutines/internal/ConcurrentLinkedListNode
47b8f0a00ffdd0cc   20 of  58   com/github/kittinunf/fuel/core/Headers$Companion
707c62bcc62864c5    4 of  20   kotlin/SafePublicationLazyImpl
9d04bdbf3a13b285    3 of   3   androidx/window/layout/EmptyDecorator
ff8dd2b22d98e888    7 of  90   kotlin/reflect/jvm/internal/KPropertyImpl
7ba300cb53efe8b1   18 of  21   kotlin/reflect/jvm/internal/impl/builtins/PrimitiveType
7f43f79e16901e75   11 of  31   kotlinx/coroutines/internal/LockFreeTaskQueue
0be990a8c74f5c37    8 of  16   androidx/window/core/ExtensionsUtil
4df1f0f4ef258219   12 of  23   kotlinx/coroutines/flow/CallbackFlowBuilder
99d9975ef90e97b3    5 of 1288   kotlin/text/StringsKt___StringsKt
d951bbb8654dbf9e    2 of   2   com/google/android/material/snackbar/BaseTransientBottomBar$9
c116884893ba1adf    1 of   5   androidx/dynamicanimation/animation/DynamicAnimation$9
0752f06aac612b67    5 of  24   kotlin/enums/EnumEntriesList
4c6ef687f66aecbd    1 of   3   kotlin/reflect/jvm/internal/KClassImpl$Data$declaredNonStaticMembers$2
3998409e1c67ad5f  102 of 106   kotlin/reflect/jvm/internal/impl/name/StandardClassIds
f50e9b60869d80cc    5 of   5   de/salomax/currencies/util/SharedPreferenceStringSetLiveData
c191934aae80e418    2 of   4   com/google/android/material/shape/CornerTreatment
de348157a5e082c7    1 of   2   com/google/android/material/internal/WindowUtils$Api30Impl
415e7f9ace1fd090    2 of   7   kotlinx/coroutines/Unconfined
fe784b5ac671631f    1 of   2   androidx/appcompat/widget/ActionBarBackgroundDrawable$Api21Impl
af90d538c94bcbac    1 of  10   androidx/appcompat/app/AppCompatDialogFragment
2383987c8f51acfe    6 of   6   androidx/appcompat/app/AppCompatActivity$2
74b475d139018035    4 of 195   kotlin/reflect/jvm/internal/KDeclarationContainerImpl
