[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Diary-_v1.105-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-f846af64": Wed Sep 02 13:42:13 UTC 2026 - Wed Sep 02 13:42:34 UTC 2026
7ad9158e2e3bdc6e    4 of  24   org/nibor/autolink/internal/UrlScanner
7f7c9ec708a00318    5 of   6   org/nibor/autolink/LinkType
3cb38116b5949832    1 of  46   org/nibor/autolink/internal/EmailScanner
fbadd2d8f5d5c8a3    2 of   9   org/commonmark/internal/LinkReferenceDefinitions
5294472fbb3d6b85   30 of  36   org/commonmark/renderer/html/HtmlWriter
acf239a042466d12    9 of  10   org/commonmark/internal/renderer/NodeRendererMap
5ae543397ad51c01    3 of  19   org/commonmark/ext/sup/internal/SupDelimiterProcessor
c7609f1f5756d721    2 of   2   org/commonmark/node/Paragraph
e33fe37c80cd6287    4 of   6   org/commonmark/node/Text
d8bb01870ea67e93    4 of   5   org/commonmark/node/Code
d193efde7d222e65    3 of   3   org/commonmark/parser/block/BlockStart
4c8025486d818142    3 of  45   org/commonmark/ext/gfm/tables/internal/TableHtmlNodeRenderer
661467772f04a36a    4 of  42   android/support/v4/content/FileProvider$SimplePathStrategy
a4ad8ebb5c1ffd18   14 of  42   org/commonmark/internal/util/Html5Entities
cf52022539aa45cf    2 of   2   org/commonmark/ext/gfm/strikethrough/internal/StrikethroughNodeRenderer
6a0f8c57a17d5037    3 of   3   org/commonmark/internal/Bracket
2c70d710121f2c69    4 of  24   org/commonmark/internal/inline/AutolinkInlineParser
2e5b534def4b9645    4 of   7   org/billthefarmer/diary/JacocoInstrument/SMSInstrumentedReceiver
5f9fa77289d8312f    2 of   2   org/commonmark/ext/sup/SupExtension$1
fb8a59b96ee137cd   42 of  57   org/commonmark/internal/FencedCodeBlockParser
6119b46ba54f791d   14 of  22   org/commonmark/internal/ListItemParser
70f2857fd8479feb    3 of   3   org/commonmark/ext/autolink/AutolinkExtension
4ef5ab6a13222a9e    8 of   8   org/commonmark/ext/heading/anchor/IdGenerator$Builder
483769ade4790ac6   11 of  17   org/nibor/autolink/LinkExtractor$Builder
dae4c741b16ebcee    6 of  12   org/commonmark/parser/SourceLine
515f4f49e48f91bc    1 of   1   org/commonmark/internal/InlineParserImpl$DelimiterData
cb7c90c64fbd4c22    3 of  35   org/billthefarmer/diary/Diary$QueryTextListener
08a749342badd216    2 of   2   org/commonmark/node/ThematicBreak
6f7a759e3612b6df    4 of   4   org/commonmark/node/IndentedCodeBlock
b1b68be442f3528d   20 of  21   org/commonmark/internal/IndentedCodeBlockParser
9476cae2c943a3f9    4 of   4   org/commonmark/node/BulletList
14c44565d7a42134    2 of   2   org/commonmark/node/ListItem
67e4ffb30ada4fbf    3 of  12   org/commonmark/ext/sup/internal/SupHtmlNodeRenderer
48ae467d00fea419   17 of  17   org/commonmark/ext/heading/anchor/internal/HeadingIdAttributeProvider
14a9072daca4ce17    7 of  30   org/billthefarmer/diary/Diary$1
1b5c6325ab744e35   21 of  25   org/commonmark/parser/SourceLines
2bf3d08fac3c3079    1 of   2   org/commonmark/node/Nodes
1352aaf88aa7bf33   15 of  39   org/commonmark/ext/autolink/internal/AutolinkPostProcessor
8a6fb6b2fd4470a7    5 of   5   org/commonmark/ext/task/list/items/internal/TaskListItemPostProcessor
9a3479f489be8840    2 of   3   org/commonmark/ext/heading/anchor/internal/HeadingIdAttributeProvider$1
a8e2cb688bb27c07    2 of   2   org/commonmark/ext/gfm/strikethrough/StrikethroughExtension$1
b11f00730f6cf540    3 of   8   org/commonmark/internal/BlockQuoteParser$Factory
5aa7f23986b6ed6d    7 of   8   org/commonmark/parser/block/AbstractBlockParser
bc3c9607bef3eb80   23 of  29   org/commonmark/ext/heading/anchor/IdGenerator
764ef8f9ede6a419    5 of   5   org/commonmark/parser/block/BlockContinue
87bf9ceab991798d   43 of  76   org/commonmark/internal/util/Parsing
7051225cf007ef43    2 of  14   org/commonmark/ext/gfm/tables/internal/TableNodeRenderer
ac4125dff90bdedf   18 of  19   org/commonmark/internal/ListBlockParser$Factory
a7c588e7f0b41edd    7 of  12   org/commonmark/internal/LinkReferenceDefinitionParser$1
b02d24bb49f7162d    5 of   5   org/billthefarmer/diary/Diary$2
e4a567434d7444dc   62 of 108   org/commonmark/internal/inline/Scanner
06aad9d2ad865daf    8 of  10   org/commonmark/ext/front/matter/internal/YamlFrontMatterBlockParser$Factory
eb33d9a2c59dae5e    4 of  19   org/commonmark/ext/gfm/strikethrough/internal/StrikethroughDelimiterProcessor
84addc95d041cc2a    2 of   2   org/commonmark/parser/Parser$Builder$1
139f3ebe5a273c52    4 of   8   org/commonmark/ext/heading/anchor/HeadingAnchorExtension$Builder
5dbdfb85c54daf23    3 of   3   org/commonmark/ext/front/matter/YamlFrontMatterExtension
5706c1a6e974f183  178 of 239   org/commonmark/internal/DocumentParser
4dc07f459155ad88   20 of  31   org/commonmark/renderer/html/HtmlRenderer$Builder
95db81e5bfbe97db    5 of   7   org/commonmark/renderer/html/CoreHtmlNodeRenderer$AltTextVisitor
13788fa97a035a8e    4 of   5   org/commonmark/ext/gfm/strikethrough/StrikethroughExtension
e4f0cb6fd0a1d262    9 of  11   org/commonmark/internal/util/AsciiMatcher$Builder
ffad282568c24014    4 of   5   org/commonmark/ext/sub/SubExtension
46978629f02f08f0   10 of  11   org/commonmark/ext/heading/anchor/HeadingAnchorExtension
e174e82dc7a3ed9b    2 of   2   org/commonmark/ext/ins/internal/InsNodeRenderer
afcf3c3216650bff    4 of   4   org/commonmark/internal/BlockContinueImpl
c498119320ddc1be    4 of   6   org/commonmark/node/Block
838c5ae1ac844a80   11 of  19   org/nibor/autolink/LinkExtractor$LinkIterator
f18ccb408c5533f2   15 of  90   org/commonmark/internal/LinkReferenceDefinitionParser
7cf910afea12bc28    4 of   8   org/commonmark/node/Image
8c5c52d404bc5e59    1 of   1   org/commonmark/internal/ListBlockParser$ListMarkerData
5442e31281a91497    8 of   9   org/commonmark/internal/LinkReferenceDefinitionParser$State
76b306c68783aa86    8 of  14   org/nibor/autolink/LinkExtractor
efa1bd78bb6409cc   14 of  26   org/commonmark/internal/StaggeredDelimiterProcessor
30bca71e3fb5f966    1 of  13   org/commonmark/internal/util/Escaping$2
2cb76cf33c248b13    2 of   2   org/commonmark/renderer/html/HtmlRenderer$1
3e4aad7a3a579314   12 of  12   org/commonmark/node/FencedCodeBlock
9fa9ce490cff9069   17 of  28   org/commonmark/internal/inline/EmphasisDelimiterProcessor
457a173f4d1d1824    6 of  20   org/commonmark/internal/HtmlBlockParser$Factory
3d053dae46f9e92f   17 of  24   org/commonmark/parser/Parser
5f77318897af6cd0    3 of  29   org/commonmark/renderer/html/DefaultUrlSanitizer
cd4451e5da5de97d    2 of   2   org/commonmark/ext/task/list/items/TaskListItemsExtension$1
b8b687b5ec7965f8    3 of   4   org/commonmark/internal/DocumentParser$OpenBlockParser
c1850a5d04436f18    3 of  12   org/commonmark/ext/ins/internal/InsHtmlNodeRenderer
e39c5a56351abe53    1 of   4   org/nibor/autolink/internal/SpanImpl
0c8399d919e98e3b    5 of   5   org/commonmark/internal/DocumentParser$MatchedBlockParserImpl
029ce59eda68ade2    3 of   3   org/commonmark/node/ListBlock
fe47c498f8974dc0   30 of  46   org/commonmark/internal/util/Escaping
d79be41bee55315e    7 of   7   org/commonmark/internal/FencedCodeBlockParser$Factory
79208167f12234ee    8 of  18   org/nibor/autolink/LinkExtractor$SpanIterator
597d3b249c99d44e    2 of   2   org/commonmark/ext/gfm/tables/TablesExtension$1
3ef1e7570d093a3e    3 of  12   org/commonmark/ext/gfm/strikethrough/internal/StrikethroughHtmlNodeRenderer
ba264e1dc93a8d93    6 of   8   org/commonmark/internal/DocumentBlockParser
f7713f4fa411bdbc    1 of   1   org/commonmark/internal/inline/Position
0718349574842990    8 of  64   org/commonmark/internal/util/LinkScanner
b66b12afc2597604    2 of   7   org/commonmark/internal/inline/ParsedInline
9ce0cb3ce7477a01    4 of  19   org/commonmark/ext/sub/internal/SubDelimiterProcessor
