class_id,class_name,probes_hit,probes_total,pct
0925462377bff5c1,com/google/android/material/textfield/TextInputLayout,530,1422,37.27
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,336,1299,25.87
32644374cd50045f,androidx/fragment/app/FragmentManager,331,1316,25.15
50ed8db5e032b054,org/conscrypt/OpenSSLProvider,297,306,97.06
ff67f5349cab64f3,com/google/android/material/internal/CollapsingTextHelper,275,557,49.37
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,270,1610,16.77
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,219,598,36.62
589c1b274a3a8ce1,com/google/android/material/shape/MaterialShapeDrawable,203,422,48.1
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,185,645,28.68
353bc5c9c3f2c78d,androidx/fragment/app/Fragment,174,751,23.17
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,153,508,30.12
4b54da6305731117,com/google/android/material/textfield/EndCompoundLayout,148,410,36.1
0eaa2132ee6e2706,okhttp3/CipherSuite,126,130,96.92
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,119,460,25.87
9d4f0d1c8b49e209,androidx/work/impl/model/WorkSpecDao_Impl,118,1265,9.33
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,111,311,35.69
0d2f25fdb3451d02,com/google/android/material/checkbox/MaterialCheckBox,110,263,41.83
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,107,201,53.23
fae0a9e9bbd5875a,androidx/appcompat/widget/ListPopupWindow,106,366,28.96
25dadc5426a6e3ef,androidx/appcompat/widget/AppCompatTextHelper,97,379,25.59
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,95,137,69.34
9bd9cda622dafec9,okio/Options$Companion,94,129,72.87
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,91,430,21.16
aed8a07d09b7b786,androidx/appcompat/view/menu/ListMenuItemView,88,162,54.32
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,86,527,16.32
5a4b4fb0ebdeba6c,com/google/android/material/textfield/IndicatorViewController,81,295,27.46
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,80,221,36.2
5afe8c47c5d2557e,com/google/android/material/shape/ShapeAppearanceModel,78,118,66.1
73e51c8dc417155e,okhttp3/HttpUrl$Builder,78,385,20.26
f74089556c98abbd,kotlin/jvm/internal/ClassReference,75,121,61.98
aa122665a1f7fd3f,androidx/activity/ComponentActivity,74,214,34.58
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,72,274,26.28
8cd69a0e2badea2c,com/google/android/material/button/MaterialButton,72,386,18.65
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,70,297,23.57
84cf04b3f981b2c6,com/google/gson/Gson,68,243,27.98
0b21de17d9a6d164,com/google/android/material/shape/ShapePath,67,113,59.29
d86ada52df5298c3,androidx/appcompat/view/SupportMenuInflater$MenuState,65,111,58.56
246db4a645312647,com/google/android/material/shape/ShapeAppearanceModel$Builder,64,108,59.26
179fb18c32235d0a,androidx/appcompat/widget/DropDownListView,63,256,24.61
0f89d55aaf14cd19,androidx/appcompat/view/menu/StandardMenuPopup,62,115,53.91
582a160e0161fe55,com/google/android/material/textfield/StartCompoundLayout,60,146,41.1
63724b760f68943d,androidx/startup/AppInitializer,60,86,69.77
78c1a094ed4fdeb0,com/google/gson/internal/bind/TypeAdapters,60,63,95.24
e270e2a644787839,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
e5679b9ed2ec91a7,androidx/core/content/res/ColorStateListInflaterCompat,58,96,60.42
3fd446a01d175933,androidx/core/content/res/ResourcesCompat,57,140,40.71
55b2443c727acb99,androidx/fragment/app/FragmentStore,57,224,25.45
dae5e4d9fed9e1c7,androidx/constraintlayout/core/widgets/Chain,56,254,22.05
9272d73b6d735387,androidx/collection/ArraySet,56,219,25.57
4c8aacb81cf3525b,okhttp3/OkHttpClient,55,169,32.54
93f72387ec4614a2,com/google/android/material/button/MaterialButtonHelper,55,193,28.5
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,54,193,27.98
1f5dfbda9555ec35,app/fedilab/android/mastodon/helper/Helper,53,929,5.71
78d534e2e06c6594,androidx/fragment/app/SpecialEffectsController,53,166,31.93
c54a8ca48f4b17cc,okio/Buffer,51,921,5.54
ec45d1beef1a05d1,androidx/core/view/ViewCompat,51,884,5.77
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,50,159,31.45
d0773c01b8739005,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,50,226,22.12
4dab1cfaaa287ecd,com/google/android/material/textfield/MaterialAutoCompleteTextView,50,139,35.97
44e4ca35ad3687a0,androidx/appcompat/widget/AppCompatTextView,50,243,20.58
3231531944f3ec26,kotlin/text/StringsKt__StringsKt,49,909,5.39
465a6c6805871e25,androidx/work/impl/utils/ForceStopRunnable,47,115,40.87
7efbd1cc56f32c47,okhttp3/OkHttpClient$Builder,47,229,20.52
27b15bd4a5173807,okhttp3/internal/Util,47,429,10.96
2d987c4349f15b6f,androidx/work/impl/WorkManagerImpl,47,175,26.86
15fc7dbb61588ca0,androidx/appcompat/app/AppCompatActivity,46,142,32.39
ef3f81be62cf5b0c,androidx/appcompat/app/AppCompatViewInflater,46,173,26.59
8db84235c321ed0e,androidx/core/content/FileProvider,45,126,35.71
a4a2e4a20660a297,com/google/android/material/resources/TextAppearance,43,104,41.35
c6577d64841c1f0c,androidx/room/RoomDatabase,43,89,48.31
f91c1d7d580d118b,okhttp3/HttpUrl$Companion,42,202,20.79
25cad9931e7defb6,androidx/appcompat/widget/AppCompatAutoCompleteTextView,41,95,43.16
5958734fbbdc1762,androidx/emoji2/text/SpannableBuilder,40,102,39.22
f84489e2e2a9a80d,androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback,38,81,46.91
4647d823cfff7a75,androidx/core/view/ViewCompat$UnhandledKeyEventManager,38,110,34.55
37c03958bb82dbc7,com/google/android/material/internal/ThemeEnforcement,38,57,66.67
4d965a20621b5368,androidx/constraintlayout/core/PriorityGoalRow,37,57,64.91
e2ea0428be97d0c2,androidx/lifecycle/ReportFragment,37,51,72.55
473aca648c09e69f,androidx/appcompat/widget/AppCompatCheckBox,36,91,39.56
be9e19428ff4b4d3,com/google/android/material/textview/MaterialTextView,36,45,80.0
84bde0f7628f84b5,androidx/fragment/app/FragmentActivity,36,112,32.14
14e7c6c627c43b23,androidx/activity/result/ActivityResultRegistry,36,120,30.0
9b0b3fb5e0b1846a,androidx/appcompat/widget/AppCompatBackgroundHelper,35,85,41.18
7f56c2300218e772,androidx/work/impl/WorkDatabase_Impl,35,111,31.53
7f3c4943d110c273,androidx/appcompat/app/AppCompatDelegate,35,120,29.17
cb81c30b2710eb67,androidx/appcompat/widget/ContentFrameLayout,34,93,36.56
e3f90950414c1032,androidx/room/InvalidationTracker,34,156,21.79
d6c54273311e9574,androidx/appcompat/widget/AppCompatButton,34,140,24.29
e1ba85a1bb159345,androidx/appcompat/widget/AppCompatCompoundButtonHelper,34,64,53.12
f62eeb29f97a8c2c,androidx/appcompat/widget/TintTypedArray,33,62,53.23
193db44406d3dd0c,androidx/constraintlayout/core/widgets/ConstraintAnchor,32,180,17.78
a4ef4be72543fed3,okio/ByteString,32,250,12.8
a50d7af742ff0f51,com/vanniktech/emoji/EmojiManager,32,63,50.79
8f2bbda53e0d9fde,androidx/constraintlayout/core/widgets/ChainHead,32,89,35.96
dbe5faf9ecc51e38,androidx/work/impl/WorkDatabase_Impl$1,31,148,20.95
e3233f9c63280f90,androidx/fragment/app/BackStackRecord,31,301,10.3
4e38b475bd9b50ab,androidx/appcompat/view/menu/MenuPopupHelper,31,77,40.26
18bfcce155c2c154,androidx/arch/core/internal/SafeIterableMap,31,73,42.47
e4166757248c1c9f,org/conscrypt/NativeCrypto,30,105,28.57
1bbdec020736a791,androidx/appcompat/widget/AppCompatImageHelper,29,99,29.29
76b6204e9339f7bb,com/google/android/material/internal/StaticLayoutBuilderCompat,28,78,35.9
b1b7bb2fdb4d182b,androidx/appcompat/view/ContextThemeWrapper,28,55,50.91
6120c23f1960e8a1,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,28,182,15.38
214c6270129ebc50,androidx/work/impl/background/systemjob/SystemJobScheduler,27,178,15.17
e1f879347239ad45,androidx/vectordrawable/graphics/drawable/AnimatedVectorDrawableCompat,27,252,10.71
882623dea99153d4,okhttp3/HttpUrl$Builder$Companion,27,62,43.55
caff9d3b8f0e49ef,androidx/room/RoomOpenHelper,27,71,38.03
3253a9933db3c8f4,com/google/android/material/textfield/IconHelper,27,67,40.3
f3505722758fef0e,androidx/appcompat/view/SupportMenuInflater,27,66,40.91
e1be7d7e0470719f,com/google/android/material/shape/ShapePath$PathArcOperation,26,32,81.25
b32a0b9cbcbb31d2,androidx/constraintlayout/core/SolverVariable,26,72,36.11
8ffed49275d6901a,androidx/appcompat/widget/AppCompatImageButton,25,81,30.86
1caaa5259bba025e,androidx/room/RoomSQLiteQuery,25,57,43.86
fe391c5cdb2872e5,androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState,25,52,48.08
9fef15c96d4499bb,androidx/room/RoomDatabase$Builder,25,73,34.25
c574479cbf077eb2,androidx/constraintlayout/core/PriorityGoalRow$GoalVariableAccessor,24,46,52.17
9b07b4aef28d3e54,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,24,277,8.66
2cf95c0ff19b8fdc,app/fedilab/android/mastodon/activities/BaseActivity,24,83,28.92
c91fd4404a181551,okhttp3/internal/platform/android/AndroidLog,24,51,47.06
c02414437ea76b40,org/conscrypt/SSLParametersImpl,24,182,13.19
3b8eb37b21db0fcc,okhttp3/ConnectionSpec$Builder,24,65,36.92
58ced3fd4c0a4715,com/google/android/material/internal/DescendantOffsetUtils,23,27,85.19
54c596ed08715612,androidx/appcompat/view/menu/MenuAdapter,23,46,50.0
de277749b669237a,androidx/fragment/app/FragmentActivity$HostCallbacks,23,44,52.27
e6c3eb535f9ed4c0,androidx/lifecycle/ViewModelProvider,23,36,63.89
fc7967a16abe011c,androidx/work/impl/WorkDatabase,23,26,88.46
d66added7e137747,com/google/android/material/drawable/DrawableUtils,23,97,23.71
a1e7e46d36d59b67,retrofit2/Retrofit$Builder,23,49,46.94
bbe7cbf725c4ae8e,androidx/fragment/app/SpecialEffectsController$Operation,23,73,31.51
2ee01e036d74a5ea,kotlin/collections/CollectionsKt__CollectionsKt,22,126,17.46
59fd282673769edf,com/google/android/material/textfield/CutoutDrawable,22,29,75.86
0988bb3d7c2a531a,okhttp3/internal/platform/AndroidPlatform,21,86,24.42
ea91912e74904560,com/google/android/material/resources/MaterialResources,21,67,31.34
a98f61ce1b8be6c4,androidx/work/Configuration,21,34,61.76
5fc84ca5dca84dc3,app/fedilab/android/ui/fragment/FragmentLoginMain,20,165,12.12
7a0fecb02115ad76,androidx/appcompat/widget/AppCompatImageView,20,84,23.81
4bbb39a90f40a4b9,com/google/android/material/theme/overlay/MaterialThemeOverlay,20,26,76.92
463e1f2829370cf4,androidx/fragment/app/FragmentManagerViewModel,20,156,12.82
bb15f279e614a76b,okio/Segment,20,48,41.67
7dfe621e42030123,androidx/core/view/MenuHostHelper,20,53,37.74
f2f52128ebd8f89a,okio/SegmentPool,20,34,58.82
ebee0b6edc7e0893,app/fedilab/android/MainApplication,20,45,44.44
b5959da49986a51e,androidx/collection/LruCache,19,86,22.09
d3043ae010343ec3,androidx/room/InvalidationTracker$1,19,44,43.18
0b7531a5da895243,androidx/savedstate/SavedStateRegistry,19,80,23.75
012a1ffc11f3b1fe,okhttp3/ConnectionSpec,19,106,17.92
e8b23a6f22df3937,androidx/appcompat/view/menu/MenuPopup,18,45,40.0
cf468517b8ba0734,androidx/lifecycle/ProcessLifecycleOwner,18,37,48.65
ac68075fc9b2214d,androidx/appcompat/widget/AppCompatDrawableManager$1,18,152,11.84
d628156a0509bc2f,androidx/lifecycle/SavedStateHandleSupport,18,48,37.5
ac1b2850e8bba6cb,androidx/work/impl/Schedulers,18,62,29.03
21c7fbbd2d6c8c5d,androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal19,18,48,37.5
c370fdf90aeaca5c,androidx/fragment/app/strictmode/FragmentStrictMode,17,150,11.33
5b864ba2b1a9f5df,androidx/tracing/Trace,17,71,23.94
094a55592778eeb9,es/dmoral/toasty/Toasty$Config,17,34,50.0
3ffc32eea32f398f,androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions,17,20,85.0
dbc7962cb6036e64,androidx/lifecycle/Lifecycle$Event,17,31,54.84
cf69db34ec53ee39,androidx/constraintlayout/core/widgets/ConstraintWidget$1,16,29,55.17
c1d366f81f75873b,androidx/multidex/MultiDex,16,176,9.09
103e5d9c9630e41b,androidx/appcompat/widget/AppCompatPopupWindow,16,31,51.61
7327fa08865fa1de,es/dmoral/toasty/Toasty,16,134,11.94
196f6bdf698638a2,app/fedilab/android/BaseMainActivity,16,977,1.64
3d0b112c4c22b9b4,kotlin/collections/MapsKt__MapsKt,16,269,5.95
85d13e39c485027a,androidx/appcompat/view/menu/ListMenuPresenter,16,62,25.81
dd706218ba01f7b3,net/gotev/uploadservice/UploadServiceConfig,16,112,14.29
bbf6e3b6adaf1f82,okhttp3/internal/platform/Platform,16,69,23.19
5d230ad930da9e8f,retrofit2/Platform,15,37,40.54
ac1aa0e5252529e1,androidx/sqlite/db/framework/FrameworkSQLiteDatabase,15,83,18.07
2a19cf378c5a6475,androidx/lifecycle/Lifecycle$1,15,27,55.56
65bc66f4440805f1,androidx/lifecycle/SavedStateViewModelFactory,15,66,22.73
599c9ac05d9819e6,androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory,15,33,45.45
0aadaef98c4393c6,androidx/appcompat/widget/AppCompatDrawableManager,15,21,71.43
8ecfaf9b6e030001,com/google/android/material/shadow/ShadowRenderer,15,57,26.32
35bb15654ab6a59a,androidx/room/SharedSQLiteStatement,14,17,82.35
b2c604dbe63175e8,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper,14,27,51.85
0478a8fc32b28d57,androidx/work/impl/constraints/trackers/Trackers,14,15,93.33
1b79341a6f05c3ad,com/google/android/material/elevation/ElevationOverlayProvider,14,44,31.82
d80ea139acfb7159,androidx/fragment/app/FragmentTransaction,14,112,12.5
920275bc4569afb8,org/conscrypt/Conscrypt,14,113,12.39
104404d496814e09,androidx/core/os/TraceCompat,14,53,26.42
19d03149cdb1c37a,androidx/constraintlayout/core/widgets/Optimizer,14,30,46.67
a17235651b1cf713,kotlin/collections/ArraysKt___ArraysKt,14,10166,0.14
b2504b747b466fc8,androidx/emoji2/viewsintegration/EmojiTextWatcher,14,49,28.57
842f06f411842f7e,kotlin/jvm/internal/Intrinsics,14,122,11.48
56a0f12449ff7b6d,androidx/savedstate/SavedStateRegistryController,14,25,56.0
1ec7b6d2d81401fb,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper,14,29,48.28
e125cef9d5aa7798,app/fedilab/android/mastodon/viewmodel/mastodon/InstanceSocialVM,14,36,38.89
264310a16709b932,androidx/transition/Transition,14,773,1.81
7c66432204c151f1,androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation,13,31,41.94
00ef17488da05ac7,androidx/appcompat/widget/ViewUtils,13,36,36.11
570acf85dfe8d2ab,androidx/localbroadcastmanager/content/LocalBroadcastManager,13,127,10.24
431327a9cfea6fa0,androidx/core/view/KeyEventDispatcher,13,74,17.57
bfe0419ab0ac5126,kotlin/text/StringsKt__StringsJVMKt,13,352,3.69
3cf74bc20261fe3f,androidx/work/impl/utils/SerialExecutor,13,21,61.9
79195bf2c8f12c89,androidx/emoji2/text/EmojiCompatInitializer,13,14,92.86
ef9078f9faf5de6f,androidx/appcompat/view/menu/ListMenuPresenter$MenuAdapter,13,27,48.15
7b274c267761c218,androidx/work/Logger,13,13,100.0
be97366ca692de30,androidx/core/graphics/drawable/DrawableCompat,13,117,11.11
09f107e66dffa14f,androidx/fragment/app/FragmentController,13,52,25.0
af9b61d318e65139,androidx/lifecycle/LiveData,13,95,13.68
46628a9c24970513,com/vanniktech/emoji/emoji/Emoji,13,38,34.21
2d7b31fdb3dc643f,androidx/constraintlayout/core/widgets/WidgetContainer,13,49,26.53
8ddd1e28223e641e,androidx/activity/OnBackPressedDispatcher,13,58,22.41
294c76b94e6f243f,androidx/appcompat/widget/MenuPopupWindow$MenuDropDownListView,13,62,20.97
1ace9f50706d6208,androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory,13,40,32.5
f02f27f93f8660f3,okhttp3/internal/platform/android/StandardAndroidSocketAdapter$Companion,12,17,70.59
f3f7dd4c9f161e07,retrofit2/Retrofit,12,114,10.53
858d4eb4116ede07,androidx/core/view/MenuItemCompat,12,87,13.79
