[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fedilab-_3.28.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-65b37bfe": Wed Sep 02 13:43:49 UTC 2026 - Wed Sep 02 13:44:10 UTC 2026
8dddb624a17d5285    2 of   2   com/vanniktech/emoji/one/EmojiOneProvider
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
e9b0813cbeab3623   10 of  12   app/fedilab/android/mastodon/helper/ThemeHelper$themes
aafb30bc0b614923    8 of  13   okhttp3/Protocol
2ad574710e4bd8e8    1 of   8   com/google/gson/internal/$Gson$Preconditions
8d49ac84b88bd94c    9 of   9   androidx/fragment/app/SpecialEffectsController$Companion
ce86a715c76906f7    8 of  14   androidx/appcompat/widget/AppCompatEmojiTextHelper
2e78b3def76482cf   19 of 143   androidx/profileinstaller/DeviceProfileWriter
7f20ea6b3c66d13c    1 of  26   androidx/activity/result/contract/ActivityResultContracts$RequestPermission
8fb0281449d47662  209 of 1299   androidx/appcompat/app/AppCompatDelegateImpl
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
1e43f807f4ef6abd    1 of   7   androidx/core/view/ViewCompat$Api29Impl
3d5df6c1d28ec909   11 of  13   androidx/work/impl/CleanupCallback
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
f324d35b9cb534d7    3 of   3   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key
b5f7c78d7cc58ea0    2 of   3   com/google/android/material/textfield/EndCompoundLayout$3
9aee92ffefa7ef96   12 of  17   androidx/emoji2/viewsintegration/EmojiEditableFactory
53e1c88966136559    2 of   6   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key$1
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
4109fec8e074df91    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
71ca7bb3e93bcb6a    2 of   5   org/conscrypt/Conscrypt$Version
45f74ca36613ef6d   18 of  29   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$lazyDelegate$1
4b5d96197c01516f   51 of 923   okio/Buffer
7956cef735a2ea2f    1 of   2   androidx/fragment/app/FragmentManager$1
d9da335587854d26    1 of  11   androidx/core/os/LocaleListPlatformWrapper
58ced3fd4c0a4715   21 of  27   com/google/android/material/internal/DescendantOffsetUtils
a42ec7317a2c811d    7 of   9   app/fedilab/android/mastodon/helper/Helper$PatternType
3751dd6ad7ada5a4    9 of  39   com/vanniktech/emoji/one/EmojiOne
53b287d803854fdd    1 of   2   androidx/emoji2/viewsintegration/EmojiKeyListener$EmojiCompatHandleKeyDownHelper
c3fc2d4a88476ec9   13 of  74   androidx/work/impl/model/SystemIdInfoDao_Impl
a1e7e46d36d59b67   23 of  49   retrofit2/Retrofit$Builder
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
a16d2aaebf315cc8   20 of 163   androidx/fragment/app/FragmentManagerViewModel
c2f2d23261ac7953    3 of  61   androidx/room/DatabaseConfiguration
f62fa551aae269dd    2 of  28   androidx/work/impl/constraints/trackers/StorageNotLowTracker
b057bca9fd8d4931   22 of  65   androidx/room/RoomDatabase$MigrationContainer
c191934aae80e418    2 of   4   com/google/android/material/shape/CornerTreatment
c89f9bd47ce9b7e4    1 of   8   com/google/gson/internal/bind/CollectionTypeAdapterFactory
