[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/FirefoxLite-2.1.20-_5085-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-90e6f9b0": Wed Sep 02 13:45:18 UTC 2026 - Wed Sep 02 13:45:18 UTC 2026
a36f9f0eee504a32    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideGetSearchPromptMessageShowCountUseCaseFactory
097928e0fb5538cf    3 of   8   org/mozilla/rocket/content/game/di/GameModule_ProvideGameRemoteDataSourceFactory
d5682618c08741f2    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideLogoManNotificationRepoFactory
d3d1826209120ead    1 of  13   org/mozilla/rocket/persistance/History/HistoryDatabase$1
cfbdcfaa7e3f623b    7 of  24   org/mozilla/focus/provider/SettingProvider
f6370b106ef853cc    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideGetChallengeMissionsUseCaseFactory
1c248373dd67d424    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideDefaultBrowserLocalDataSourceFactory
efee653c1521d1e7    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideMissionCouponViewModelFactory
010affd30758f197    2 of  12   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideShoppingSearchKeywordInputViewModelFactory
24761756f9018637    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideRedeemUseCaseFactory
2a9352b0c47ae24e    2 of  10   org/mozilla/rocket/content/news/di/NewsModule_ProvideNewsRepositoryFactory
6e0750398341cb67    2 of  10   org/mozilla/rocket/home/di/HomeModule_ProvideShouldShowShoppingSearchOnboardingUseCaseFactory
21f1c27d5c819b15    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideAddToBucketListUseCaseFactory
3749b3e34e3d548f    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideRemoveFromBucketListUseCaseFactory
a8d8ac7b94b6f60c    2 of  40   org/mozilla/focus/widget/CleanBrowsingDataPreference
18bd6c36ec1ff48d    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideGetVouchersUseCaseFactory
486c373a4390bcdc    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideLoadNewsLanguagesUseCaseFactory
c4bb49bcdb770a6f    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideLastReadMissionIdUseCaseFactory
0abdad9ea7c11ec2    2 of  10   org/mozilla/rocket/content/travel/di/TravelModule_ProvideSetTravelDiscoveryAsDefaultUseCaseFactory
4f1af2542ef47b9b    3 of  11   org/mozilla/focus/locale/LocaleAwareApplication
6ac294b8dff9b5a2    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideGetExploreListUseCaseFactory
9302d3f2bfe1ef32    1 of   1   org/mozilla/rocket/partner/PartnerActivator$ActivationJobs
146e542ace581c38    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideRemoveTopSiteUseCaseFactory
6325f2e2d6bb1b58    3 of  90   org/mozilla/focus/provider/QueryHandler
271f66b00ce43166    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideSetNewsLanguageSettingPageStateUseCaseFactory
44c06ad51348f572    3 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideGetApkDownloadLinkUseCaseFactory
52d55447c291e037    2 of   8   org/mozilla/focus/persistence/di/TabsModule_ProvideTabsDatabaseFactory
701b737eb9376864    2 of   8   org/mozilla/rocket/msrp/di/MissionModule_ProvideGetContentHubClickOnboardingEventUseCaseFactory
be643f6e9c23ad1e    1 of   3   org/mozilla/focus/FocusApplication$sessionManager$2
2a50308d39463dac    2 of   8   org/mozilla/rocket/content/ecommerce/di/ShoppingModule_ProvideShoppingViewModelFactory
23b41b9cb0a704b8    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideGetEnglishNameUseCaseFactory
d97f4b38595c0923    1 of   3   org/mozilla/focus/FocusApplication$settings$2
2d90e050b6111bec    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideSetSearchPromptMessageShowCountUseCaseFactory
40dd8b88dae935f0    2 of  12   org/mozilla/rocket/chrome/di/ChromeModule_ProvideShoppingSearchPromptViewModelFactory
93f5033e177085eb   11 of 134   org/mozilla/rocket/abtesting/LocalAbTesting
8f6160ecfb412c9c   33 of  87   org/mozilla/focus/utils/Browsers
9874c3c7909dab7f  283 of 570   org/mozilla/rocket/di/DaggerAppComponent
b2a4baec5a2d7e37    5 of  23   org/mozilla/focus/provider/ScreenshotProvider
