class_id,class_name,probes_hit,probes_total,pct
9874c3c7909dab7f,org/mozilla/rocket/di/DaggerAppComponent,311,570,54.56
7d2e489bad1658e9,org/mozilla/focus/fragment/BrowserFragment,172,715,24.06
2bd465a2678dbf28,org/mozilla/rocket/home/HomeFragment,157,307,51.14
92f3fc522a39f802,org/mozilla/focus/activity/MainActivity,153,499,30.66
27ff6e79fe1c2fbd,org/mozilla/rocket/chrome/ChromeViewModel,106,245,43.27
8292f3d916a403bd,org/mozilla/rocket/home/HomeViewModel,104,231,45.02
8fd27ee83dd59cf0,org/mozilla/focus/tabs/TabCounter,92,111,82.88
0b9139976e7ae994,org/mozilla/rocket/chrome/BottomBarItemAdapter,74,209,35.41
5cc59e8a5b401a7f,org/mozilla/rocket/home/topsites/data/SharedPreferencePinSiteDelegate,69,167,41.32
7e037b2888d3d94a,org/mozilla/focus/search/SearchEngineParser,65,96,67.71
9dbcd7377b7f0336,org/mozilla/focus/webkit/matcher/UrlMatcher,65,176,36.93
1eb26099eb0b0b7e,org/mozilla/rocket/home/topsites/data/TopSitesRepo,59,185,31.89
5feadae0aa95b796,org/mozilla/rocket/home/topsites/domain/GetTopSitesUseCase,59,95,62.11
4e8c360ba154338f,org/mozilla/rocket/home/topsites/ui/SiteViewHolder,58,77,75.32
888522e0c5484bc5,org/mozilla/focus/navigation/TransactionHelper,58,129,44.96
9ed8a2715264f9ba,org/mozilla/rocket/promotion/PromotionModel,57,68,83.82
7d97e47cda9db2c0,org/mozilla/focus/webkit/matcher/BlocklistProcessor,57,65,87.69
b43d4058bfd7b58e,org/mozilla/focus/utils/FirebaseHelper,52,124,41.94
d46e20cee8d4bc65,org/mozilla/focus/telemetry/TelemetryWrapper,52,970,5.36
52d8921ecc1fbf9e,org/mozilla/rocket/home/di/HomeModule,49,50,98.0
ac9ba1e33d66cf2d,org/mozilla/rocket/content/view/BottomBar,49,92,53.26
f371357d4bdeaaca,org/mozilla/focus/utils/SpotlightDialog,47,90,52.22
8519e65418e87660,org/mozilla/rocket/abtesting/LocalAbTesting,45,134,33.58
9a45d097bf5f7f55,org/mozilla/focus/widget/AnimatedProgressBar,44,130,33.85
d34490c6a348ccd6,org/mozilla/focus/widget/EqualDistributeGrid,42,78,53.85
e53deeaf977cb9b7,org/mozilla/focus/FocusApplication,41,83,49.4
384a33c307191bc4,org/mozilla/focus/navigation/TransactionHelper$BackStackListener,39,65,60.0
529accaee36b134d,org/mozilla/rocket/home/ui/HomeScreenBackground,37,58,63.79
82e6925e2b44e95c,org/mozilla/focus/telemetry/TelemetryWrapper$EventBuilder$Companion,36,37,97.3
c189f887eea4c743,org/mozilla/focus/search/SearchEngineManager,36,73,49.32
276a18cc385198d6,org/mozilla/focus/widget/ShiftDrawable,36,46,78.26
c15cc81be9abff86,org/mozilla/rocket/home/di/HomeModule_ProvideHomeViewModelFactory,35,35,100.0
f2b93ed8e992fd3a,org/mozilla/focus/utils/Settings,35,123,28.46
7f8981a92d4ef129,org/mozilla/rocket/appupdate/InAppUpdateController,35,91,38.46
de601aa30edf314d,org/mozilla/focus/viewmodel/ShoppingSearchPromptViewModel,34,62,54.84
5aabd56513bc6052,org/mozilla/rocket/home/contenthub/ui/ContentHub,34,63,53.97
af66674dad430c94,org/mozilla/focus/telemetry/TelemetryWrapper$init$2,34,34,100.0
f52901187ab06816,org/mozilla/focus/persistence/TabDao_Impl,33,52,63.46
8f6160ecfb412c9c,org/mozilla/focus/utils/Browsers,33,87,37.93
04718ce37e58262c,org/mozilla/rocket/home/contenthub/data/ContentHubRepoKt,32,49,65.31
d7b56989c83407bc,org/mozilla/rocket/home/topsites/domain/GetTopSitesUseCaseKt,32,32,100.0
533c4bc1330a8da6,org/mozilla/focus/widget/RoundRecFocusView,30,57,52.63
59b0ea166d7d3f54,org/mozilla/focus/webkit/matcher/EntityListProcessor,30,31,96.77
ee564fa3d4032259,org/mozilla/focus/widget/LocaleListPreference,28,73,38.36
068a1c5d6cc94eb1,org/mozilla/focus/locale/LocaleManager,28,72,38.89
f856bf54e61ece84,org/mozilla/focus/navigation/ScreenNavigator,27,115,23.48
e03369cd7dfb250a,org/mozilla/focus/utils/Browsers$KnownBrowser,25,26,96.15
3e2a30fcec4ed224,org/mozilla/focus/telemetry/FirebaseEvent,25,67,37.31
597659168c6c6943,org/mozilla/rocket/chrome/BottomBarViewModel,25,34,73.53
48976aa1d7da33bd,org/mozilla/rocket/home/logoman/ui/LogoManNotification,24,95,25.26
3e06544d39d270e3,org/mozilla/focus/utils/NewFeatureNotice,23,53,43.4
