class_id,class_name,probes_hit,probes_total,pct
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,260,938,27.72
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,226,954,23.69
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,222,1298,17.1
d9e5c34f10ed61de,androidx/fragment/app/FragmentManager,148,1346,11.0
cc366f025c1885dd,com/google/android/material/shape/MaterialShapeDrawable,147,525,28.0
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,123,483,25.47
b803732879c69958,androidx/activity/ComponentActivity,116,317,36.59
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,109,283,38.52
9e759c749ab270fe,com/google/android/material/shape/ShapeAppearancePathProvider,107,129,82.95
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,100,629,15.9
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,97,282,34.4
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,94,530,17.74
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,93,140,66.43
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,89,380,23.42
96c107acebc2e608,androidx/core/widget/NestedScrollView,88,950,9.26
9110622e2a912779,org/fossify/math/activities/MainActivity,78,215,36.28
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,75,292,25.68
65a14d900f9af74c,org/fossify/commons/activities/EdgeToEdgeActivity,74,142,52.11
10708fd8e2b5a8b2,androidx/appcompat/view/menu/ActionMenuItemView,67,134,50.0
9066e61d45547985,androidx/collection/ArraySet,65,239,27.2
40bf7f5b5f5d6bfe,com/google/android/material/appbar/AppBarLayout$BaseBehavior,63,371,16.98
2db0cc64e927b6b5,com/google/android/material/shape/ShapePath,61,113,53.98
922e8e64d164fa38,org/fossify/commons/extensions/Context_storageKt,61,1144,5.33
e01a37a6825ee19a,androidx/coordinatorlayout/widget/DirectedAcyclicGraph,60,71,84.51
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
ed23e2c18290c2f7,com/google/android/material/shape/ShapeAppearanceModel,56,125,44.8
