class_id,class_name,probes_hit,probes_total,pct
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,376,2094,17.96
8db12c2cb5c065d8,androidx/constraintlayout/core/widgets/ConstraintWidget,339,1652,20.52
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,305,1317,23.16
f6195fee0ca31fe5,com/google/android/material/tabs/TabLayout,255,668,38.17
131c1fa296f4063d,androidx/constraintlayout/core/widgets/analyzer/Direct,243,669,36.32
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,236,938,25.16
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,226,954,23.69
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,222,1298,17.1
da9c297a5681dc7a,androidx/constraintlayout/widget/ConstraintLayout,218,610,35.74
af770dd61ba4423f,org/fossify/musicplayer/helpers/SimpleMediaScanner,218,859,25.38
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,181,794,22.8
9e4867bfcdc07be6,androidx/media3/exoplayer/ExoPlayerImpl,179,1431,12.51
514e34ca9b6d6f50,org/fossify/musicplayer/activities/MainActivity,174,423,41.13
0aa20afdc3327721,androidx/media3/session/PlayerWrapper,174,382,45.55
0d0db44400d042ce,com/airbnb/lottie/parser/moshi/JsonUtf8Reader,168,453,37.09
5f5065e6d0a888cc,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,166,464,35.78
cc366f025c1885dd,com/google/android/material/shape/MaterialShapeDrawable,153,525,29.14
c8e1f4ba7b591481,androidx/constraintlayout/core/LinearSystem,148,510,29.02
d9e5c34f10ed61de,androidx/fragment/app/FragmentManager,148,1346,11.0
4a63a0ead9b3e94a,com/google/android/material/tabs/TabLayout$TabView,146,364,40.11
b45f6cd3a08601f9,androidx/media3/session/MediaSessionLegacyStub,142,716,19.83
8cc53611dd5dcd2b,androidx/media3/session/MediaSessionImpl,133,688,19.33
09d43cc6f251972e,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,126,293,43.0
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,124,483,25.67
e1f6e446da979687,androidx/constraintlayout/core/ArrayRow,120,311,38.59
b803732879c69958,androidx/activity/ComponentActivity,116,317,36.59
74067032a7981ce9,androidx/recyclerview/widget/RecyclerView$LayoutManager,112,631,17.75
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,109,283,38.52
6c89426ed435a6df,okio/Buffer,108,692,15.61
9e759c749ab270fe,com/google/android/material/shape/ShapeAppearancePathProvider,107,129,82.95
9ee9465e92371f10,org/fossify/commons/extensions/ContextKt,105,1175,8.94
32193da0905d2c2e,androidx/media3/session/CommandButton,104,479,21.71
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,101,380,26.58
c8eda23bec3eb411,androidx/constraintlayout/core/ArrayLinkedVariables,100,201,49.75
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,100,629,15.9
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,97,282,34.4
44a88ebcc12535cd,androidx/media3/session/MediaControllerImplBase,97,1606,6.04
46e75fee4caf6449,com/airbnb/lottie/LottieAnimationView,95,366,25.96
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,94,530,17.74
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,93,140,66.43
138606692656eeb3,org/greenrobot/eventbus/EventBus,92,248,37.1
e59dc6d4f7958b92,com/airbnb/lottie/animation/keyframe/TransformKeyframeAnimation,92,354,25.99
954c39f59db9f1f6,kotlinx/coroutines/JobSupport,90,790,11.39
14e7636e8073655e,androidx/constraintlayout/widget/ConstraintLayout$Measurer,90,209,43.06
472705a4b2625dc0,com/airbnb/lottie/LottieDrawable,87,683,12.74
0c8fcb958d19459d,androidx/media3/exoplayer/ExoPlayerImplInternal,85,2056,4.13
d3376251c7f1d2ba,com/google/android/material/progressindicator/BaseProgressIndicator,84,294,28.57
91278e68fc2393a2,androidx/room/TriggerBasedInvalidationTracker,82,265,30.94
9d41d674831f1128,androidx/media3/common/MediaMetadata,80,378,21.16
4614f301c96a3f2a,androidx/recyclerview/widget/RecyclerView$Recycler,79,533,14.82
fb9495d8fa20bd30,okio/Options,78,106,73.58
57388eb4aedab67d,androidx/media3/common/TrackSelectionParameters,75,244,30.74
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,75,292,25.68
7a6dea89b0f7ab24,com/qtalk/recyclerviewfastscroller/RecyclerViewFastScroller,74,339,21.83
9bec4d04be483302,androidx/room/RoomDatabase,73,303,24.09
7422cb81acd42fcd,com/airbnb/lottie/model/layer/BaseLayer,73,436,16.74
5d5c01359310facb,com/airbnb/lottie/parser/AnimatableTransformParser,72,106,67.92
6024f5f62e10a12a,org/fossify/musicplayer/playback/library/MediaItemProvider,71,220,32.27
ccfa66d3b33edd33,com/google/android/material/progressindicator/DrawableWithAnimatedVisibilityChange,70,178,39.33
edd64eafe2fa385c,com/google/common/util/concurrent/AbstractFuture,68,355,19.15
10708fd8e2b5a8b2,androidx/appcompat/view/menu/ActionMenuItemView,67,134,50.0
2fcb84b2fce010a5,androidx/media3/session/MediaSessionStub,67,991,6.76
40eb3d1170cd54a3,org/fossify/musicplayer/helpers/AudioHelper,67,266,25.19
028f748ca9c04da4,org/fossify/commons/extensions/Context_stylingKt,65,275,23.64
9066e61d45547985,androidx/collection/ArraySet,65,239,27.2
40bf7f5b5f5d6bfe,com/google/android/material/appbar/AppBarLayout$BaseBehavior,65,371,17.52
a600782192ab631e,com/airbnb/lottie/animation/content/ContentGroup,62,160,38.75
fcedadf2b3d8e04d,org/fossify/commons/extensions/Context_storageKt,61,1144,5.33
2db0cc64e927b6b5,com/google/android/material/shape/ShapePath,61,113,53.98
e01a37a6825ee19a,androidx/coordinatorlayout/widget/DirectedAcyclicGraph,60,71,84.51
0212cdc9c27ed8a2,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
f450e6b41b0da118,kotlin/text/StringsKt__StringsKt,60,937,6.4
ad072f68e58dd023,androidx/core/content/res/ColorStateListInflaterCompat,59,96,61.46
9a299f2999d9f5d1,androidx/core/view/ViewCompat,59,793,7.44
ebdeff4aa7f67af8,org/fossify/commons/activities/EdgeToEdgeActivity,59,142,41.55
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
571c4d1fc1724cea,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,58,227,25.55
03d5d8e1408dfe2d,kotlinx/coroutines/internal/LockFreeLinkedListNode,57,105,54.29
3cf18de831182b5d,androidx/appcompat/widget/ResourceManagerInternal,57,216,26.39
1ef7f6de917c0a2e,androidx/appcompat/widget/AppCompatTextView,56,258,21.71
cf71ca5f63f88dfb,org/fossify/commons/extensions/ViewKt,56,160,35.0
f11c96c1976d3e0d,com/airbnb/lottie/parser/LottieCompositionMoshiParser,56,104,53.85
ed23e2c18290c2f7,com/google/android/material/shape/ShapeAppearanceModel,56,125,44.8
8dc6c2e5c20bdc4a,com/airbnb/lottie/LottieCompositionFactory,55,340,16.18
782149aa703405e6,androidx/media3/session/MediaSessionLegacyStub$ControllerLegacyCbForBroadcast,55,204,26.96
ad40f155440c9817,com/airbnb/lottie/animation/keyframe/BaseKeyframeAnimation,54,100,54.0
add1df43b13b6760,androidx/collection/SimpleArrayMap,54,268,20.15
ebc3ee1319fdd502,org/fossify/commons/helpers/BaseConfig,54,406,13.3
b389eab307bd77a9,androidx/appcompat/view/SupportMenuInflater$MenuState,53,111,47.75
4350dbcb24ec95c9,com/google/android/material/shape/ShapeAppearanceModel$Builder,53,108,49.07
3f24d1c10aecb496,androidx/media3/common/ForwardingPlayer,52,137,37.96
35aafe9eb0150990,androidx/media3/exoplayer/analytics/MediaMetricsListener,51,426,11.97
eeeb913f45fd1cf4,androidx/media3/common/MediaMetadata$Builder,51,212,24.06
53eb0af3f9457c3f,androidx/media3/common/util/ListenerSet,51,95,53.68
c066a3752cfb8a75,androidx/constraintlayout/core/widgets/Chain,50,258,19.38
b82a3093ba3bc2c9,androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement,48,100,48.0
45fab3b5627cc603,androidx/emoji2/text/EmojiCompat,48,169,28.4
0a3e03ae044bea4b,com/airbnb/lottie/parser/KeyframeParser,48,147,32.65
955e6a183cb2ee59,kotlinx/coroutines/EventLoopImplBase,48,189,25.4
733747e2a509714c,androidx/media3/common/TrackSelectionParameters$Builder,47,219,21.46
3039588324b354ac,androidx/media3/exoplayer/audio/DefaultAudioSink,47,637,7.38
c556b47f95a5398d,org/fossify/musicplayer/interfaces/SongsDao_Impl,46,491,9.37
d542789f0df83e16,com/airbnb/lottie/parser/LayerParser,46,115,40.0
38040adc134f0bb3,me/grantland/widget/AutofitHelper,45,154,29.22
1e15df19ebaff1a8,androidx/media3/exoplayer/analytics/DefaultAnalyticsCollector,45,324,13.89
d4cdf3f05c90c213,org/fossify/musicplayer/fragments/FoldersFragment,44,79,55.7
189d1e841728c1de,androidx/appcompat/widget/ActionMenuView,43,318,13.52
ebcf277c1885f521,org/fossify/musicplayer/helpers/SimpleMediaController,43,69,62.32
7ec10a2290167ebd,com/google/android/material/tabs/TabLayout$SlidingTabIndicator,43,126,34.13
6195616ccf938068,androidx/media3/session/PlayerInfo,43,330,13.03
dee005a01b9a13a0,org/greenrobot/eventbus/SubscriberMethodFinder,42,94,44.68
0c6f7a3095eed5c6,com/airbnb/lottie/LottieProperty,42,42,100.0
69572dd5c24fa600,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper,41,107,38.32
771c6f571b0a012b,com/airbnb/lottie/model/layer/CompositionLayer,41,189,21.69
028eb6a418e3cd47,com/google/android/material/appbar/HeaderScrollingViewBehavior,40,68,58.82
e02fe8d2bd5f16bc,androidx/room/BaseRoomConnectionManager,40,208,19.23
2ad91fed90c9c070,androidx/core/content/res/ResourcesCompat,40,138,28.99
ffcb5cd392e1f7f8,androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams,40,113,35.4
3388ec0b5dfa8263,androidx/media3/exoplayer/trackselection/DefaultTrackSelector$Parameters,39,212,18.4
d1b541c86123e0e5,androidx/media3/common/util/NetworkTypeObserver,39,71,54.93
4a5fc5dff879e46b,androidx/appcompat/app/AppCompatViewInflater,39,169,23.08
f97f1f2256aa2345,androidx/media3/common/util/Util,39,1356,2.88
c2029a82a99a5541,org/fossify/musicplayer/interfaces/QueueItemsDao_Impl,39,105,37.14
2ed909a53a17f52f,org/fossify/musicplayer/fragments/PlaylistsFragment,38,85,44.71
920323eba0f2a9b5,org/fossify/commons/activities/BaseSimpleActivity,38,868,4.38
9646070b3f80a2c4,androidx/constraintlayout/core/PriorityGoalRow,38,57,66.67
875202b75b7a2e8a,androidx/navigationevent/NavigationEventDispatcher,37,120,30.83
067787285590155f,androidx/sqlite/driver/SupportSQLiteStatement$Companion,37,73,50.68
5862a5d13e7921df,kotlin/collections/ArrayDeque,37,381,9.71
3124d841943ea971,com/airbnb/lottie/parser/JsonUtils,37,50,74.0
61a3c28eed8d6a95,androidx/room/RoomDatabase$Builder,37,175,21.14
9de763b779c623a0,com/google/android/material/textview/MaterialTextView,37,45,82.22
234a124ee3ae5999,androidx/room/coroutines/PassthroughConnection,37,94,39.36
1c8163d1bf037d8d,kotlin/collections/builders/ListBuilder,37,144,25.69
85ca33fd03037424,androidx/constraintlayout/core/widgets/ConstraintAnchor,36,180,20.0
f7b27968b3750849,org/fossify/musicplayer/fragments/ArtistsFragment,36,77,46.75
b16a652ae8abf520,com/airbnb/lottie/parser/ShapeDataParser,36,47,76.6
f04b450d75f36a10,androidx/appcompat/view/menu/BaseMenuPresenter,36,64,56.25
5e712b2e3bd34556,androidx/media3/common/AdPlaybackState$AdGroup,36,286,12.59
3e8270d2dd366f3d,androidx/emoji2/text/SpannableBuilder,36,102,35.29
e5aa3695a646298b,org/fossify/musicplayer/databases/SongsDatabase_Impl,36,38,94.74
9cb5e8661258a9f2,org/fossify/musicplayer/fragments/AlbumsFragment,36,77,46.75
c802dbee114bf6ca,org/fossify/musicplayer/extensions/MediaItemKt,35,189,18.52
b76d85d78073c6b6,androidx/media3/exoplayer/DefaultLoadControl,35,185,18.92
9eefc24f42ee8b11,androidx/media3/session/MediaController,35,609,5.75
db7ddf4d0167e2f9,androidx/appcompat/widget/AppCompatEditText,35,125,28.0
e19c2e0a7fbd6855,androidx/media3/exoplayer/upstream/DefaultBandwidthMeter,35,749,4.67
3e93b42bfd969c54,com/google/common/collect/ImmutableSet,35,89,39.33
792ede3029856168,androidx/activity/result/ActivityResultRegistry,35,153,22.88
9c03f21982867eb3,com/google/common/collect/ImmutableList,34,101,33.66
856ffe98f45aaa86,androidx/core/view/WindowInsetsCompat,34,132,25.76
d11e5044736af48c,androidx/media3/session/SessionResult,34,46,73.91
ef67727ace1bac58,androidx/fragment/app/FragmentActivity,34,112,30.36
60be6b534142856d,org/fossify/commons/helpers/ConstantsKt,34,163,20.86
205ef01d54c697a3,org/fossify/commons/extensions/ActivityKt,33,1508,2.19
d64c2b7806123f28,androidx/media3/session/MediaSessionService,33,165,20.0
fa4a49736e78f8ce,androidx/media3/session/SessionCommand,33,39,84.62
97240d37ff7f325c,org/fossify/musicplayer/fragments/TracksFragment,33,89,37.08
8be22c1ad3d17f2e,androidx/media3/exoplayer/ExoPlayer$Builder,33,223,14.8
d30ffbaf9391862b,org/fossify/musicplayer/extensions/ContextKt,33,219,15.07
c430f3b95d1d28a3,org/fossify/musicplayer/databases/SongsDatabase,32,32,100.0
46cf034eb6087583,org/fossify/musicplayer/playback/player/PlayerKt,32,44,72.73
bf4e7517d45dd6dc,androidx/collection/LongSparseArray,32,241,13.28
9ba422eb1dd73dea,com/google/android/material/progressindicator/DeterminateDrawable,32,135,23.7
f56f8151a17a1ccf,org/fossify/commons/views/MyAppBarLayout,32,52,61.54
5fde4b8403509d66,androidx/profileinstaller/ProfileVerifier,32,83,38.55
a76a050e17370e8b,androidx/appcompat/widget/AppCompatImageHelper,32,99,32.32
ed4cd152ff9ccbf9,com/airbnb/lottie/utils/LottieValueAnimator,31,159,19.5
46c1168da01c5a34,androidx/room/TriggerBasedInvalidationTracker$syncTriggers$2$1,31,57,54.39
10149144d6a03bb0,androidx/constraintlayout/core/widgets/ChainHead,31,89,34.83
abc54451665874c3,com/airbnb/lottie/parser/KeyframesParser,31,38,81.58
82ed0f2307112884,com/google/android/material/progressindicator/BaseProgressIndicatorSpec,30,72,41.67
