class_id,class_name,probes_hit,probes_total,pct
d9e5c34f10ed61de,androidx/fragment/app/FragmentManager,304,1346,22.59
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,283,1317,21.49
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,262,938,27.93
fc60503cd891438b,org/fossify/notes/activities/MainActivity,240,1308,18.35
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,230,954,24.11
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,222,1298,17.1
b09d80d4560cb180,androidx/fragment/app/Fragment,186,757,24.57
cc366f025c1885dd,com/google/android/material/shape/MaterialShapeDrawable,148,525,28.19
62ff4bbd5ae6b872,com/google/android/material/appbar/AppBarLayout,127,483,26.29
b803732879c69958,androidx/activity/ComponentActivity,122,317,38.49
721ce9a7c0236003,androidx/viewpager/widget/PagerTitleStrip,115,181,63.54
d7f34367281c458d,androidx/navigationevent/NavigationEventProcessor,109,283,38.52
1e5397aeeb740f74,org/fossify/notes/fragments/TextFragment,108,301,35.88
9e759c749ab270fe,com/google/android/material/shape/ShapeAppearancePathProvider,107,129,82.95
efcd1b944dca4cac,androidx/fragment/app/FragmentStateManager,104,455,22.86
092cd20fac31b6c7,androidx/fragment/app/SpecialEffectsController,100,208,48.08
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,100,629,15.9
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,98,282,34.75
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,95,530,17.92
e96fd5c245bceb8e,androidx/lifecycle/LifecycleRegistry,93,140,66.43
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,89,380,23.42
91278e68fc2393a2,androidx/room/TriggerBasedInvalidationTracker,82,265,30.94
acc841d38a9e04e7,androidx/fragment/app/DefaultSpecialEffectsController,82,467,17.56
954c39f59db9f1f6,kotlinx/coroutines/JobSupport,77,790,9.75
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,75,292,25.68
65a14d900f9af74c,org/fossify/commons/activities/EdgeToEdgeActivity,69,142,48.59
87b96c127cafd989,org/fossify/commons/extensions/Context_stylingKt,68,275,24.73
10708fd8e2b5a8b2,androidx/appcompat/view/menu/ActionMenuItemView,67,134,50.0
9066e61d45547985,androidx/collection/ArraySet,65,239,27.2
40bf7f5b5f5d6bfe,com/google/android/material/appbar/AppBarLayout$BaseBehavior,65,371,17.52
90857dfcec11d784,org/fossify/notes/interfaces/NotesDao_Impl,64,116,55.17
2db0cc64e927b6b5,com/google/android/material/shape/ShapePath,61,113,53.98
922e8e64d164fa38,org/fossify/commons/extensions/Context_storageKt,61,1144,5.33
e01a37a6825ee19a,androidx/coordinatorlayout/widget/DirectedAcyclicGraph,60,71,84.51
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
ed23e2c18290c2f7,com/google/android/material/shape/ShapeAppearanceModel,56,125,44.8
1112ee2f1cc64706,androidx/fragment/app/FragmentStore,55,222,24.77
9a299f2999d9f5d1,androidx/core/view/ViewCompat,54,793,6.81
b389eab307bd77a9,androidx/appcompat/view/SupportMenuInflater$MenuState,53,111,47.75
4350dbcb24ec95c9,com/google/android/material/shape/ShapeAppearanceModel$Builder,53,108,49.07
b82a3093ba3bc2c9,androidx/sqlite/driver/SupportSQLiteStatement$RowSQLiteStatement,52,100,52.0
39e75e77d71a46c4,org/fossify/commons/helpers/BaseConfig,52,406,12.81
45fab3b5627cc603,androidx/emoji2/text/EmojiCompat,50,169,29.59
1ef7f6de917c0a2e,androidx/appcompat/widget/AppCompatTextView,49,258,18.99
955e6a183cb2ee59,kotlinx/coroutines/EventLoopImplBase,48,189,25.4
f450e6b41b0da118,kotlin/text/StringsKt__StringsKt,47,937,5.02
3933f4d494d1f1cd,org/fossify/commons/activities/BaseSimpleActivity,47,868,5.41
add1df43b13b6760,androidx/collection/SimpleArrayMap,47,268,17.54
03156804560703a2,org/fossify/commons/extensions/ViewKt,45,160,28.12
e02fe8d2bd5f16bc,androidx/room/BaseRoomConnectionManager,44,208,21.15
189d1e841728c1de,androidx/appcompat/widget/ActionMenuView,43,318,13.52
95a77429f505f04c,org/fossify/commons/extensions/ContextKt,43,1161,3.7
69572dd5c24fa600,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper,41,107,38.32
028eb6a418e3cd47,com/google/android/material/appbar/HeaderScrollingViewBehavior,40,68,58.82
3e8270d2dd366f3d,androidx/emoji2/text/SpannableBuilder,40,102,39.22
ffcb5cd392e1f7f8,androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams,40,113,35.4
ef67727ace1bac58,androidx/fragment/app/FragmentActivity,40,112,35.71
db7ddf4d0167e2f9,androidx/appcompat/widget/AppCompatEditText,39,125,31.2
f04b450d75f36a10,androidx/appcompat/view/menu/BaseMenuPresenter,38,64,59.38
875202b75b7a2e8a,androidx/navigationevent/NavigationEventDispatcher,37,120,30.83
067787285590155f,androidx/sqlite/driver/SupportSQLiteStatement$Companion,37,73,50.68
5862a5d13e7921df,kotlin/collections/ArrayDeque,37,381,9.71
234a124ee3ae5999,androidx/room/coroutines/PassthroughConnection,37,94,39.36
1c8163d1bf037d8d,kotlin/collections/builders/ListBuilder,37,144,25.69
4a5fc5dff879e46b,androidx/appcompat/app/AppCompatViewInflater,35,169,20.71
856ffe98f45aaa86,androidx/core/view/WindowInsetsCompat,35,132,26.52
0e53b8439709072c,androidx/viewpager/widget/PagerTabStrip,35,87,40.23
86b02bf8f3cbc9a6,org/fossify/commons/views/MyAppBarLayout,35,52,67.31
792ede3029856168,androidx/activity/result/ActivityResultRegistry,35,153,22.88
8e8faeb08912610f,com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior,33,72,45.83
2692e899c70a79dc,org/fossify/commons/extensions/ActivityKt,33,1508,2.19
5fde4b8403509d66,androidx/profileinstaller/ProfileVerifier,32,83,38.55
3192c2d80549321a,androidx/core/graphics/ColorUtils,31,172,18.02
0a3b9ca54fba0e35,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,31,182,17.03
4525e8e4d58ed035,androidx/appcompat/app/AppCompatActivity,30,138,21.74
c0da8612d6c53226,androidx/fragment/app/SpecialEffectsController$Operation,30,84,35.71
46c1168da01c5a34,androidx/room/TriggerBasedInvalidationTracker$syncTriggers$2$1,30,57,52.63
e73457940f27145c,androidx/fragment/app/strictmode/FragmentStrictMode,30,160,18.75
9de763b779c623a0,com/google/android/material/textview/MaterialTextView,30,45,66.67
6e2ac7470569625c,androidx/appcompat/view/SupportMenuInflater,30,75,40.0
4ae1f6b71b8b5932,androidx/fragment/app/FragmentStatePagerAdapter,30,114,26.32
e16823019142f320,androidx/appcompat/app/AppCompatDelegate,29,135,21.48
00416f18ae28897f,androidx/savedstate/internal/SavedStateRegistryImpl,29,121,23.97
82c8852dcad51e65,androidx/fragment/app/BackStackRecord,29,301,9.63
d02a6761e1226db0,androidx/concurrent/futures/AbstractResolvableFuture,29,302,9.6
da6b069c9706317c,com/google/android/material/appbar/MaterialToolbar,28,138,20.29
5f7021cf5cec890a,androidx/appcompat/widget/TintTypedArray,28,62,45.16
5a278503dcffb84d,org/fossify/commons/helpers/ConstantsKt,28,163,17.18
0da5b14084c44b97,androidx/room/InvalidationTracker,27,170,15.88
a76a050e17370e8b,androidx/appcompat/widget/AppCompatImageHelper,27,99,27.27
63c681d9bf5cb74b,com/google/android/material/shape/ShapePath$PathArcOperation,26,32,81.25
b5e6692d95228a51,androidx/profileinstaller/ProfileInstaller,26,79,32.91
74f0c89b7522a1e1,androidx/appcompat/view/ContextThemeWrapper,25,51,49.02
9fd3ec392b5d0061,androidx/navigationevent/NavigationEventHandler,25,87,28.74
33e0c49baf25c3ba,androidx/appcompat/widget/AppCompatImageView,25,84,29.76
51b0d102bb3da6a7,kotlinx/coroutines/DispatchedTask,25,64,39.06
2e8f8d2013abfde5,org/fossify/notes/adapters/NotesPagerAdapter,25,131,19.08
990b0342e82b255f,androidx/activity/OnBackPressedCallback,25,31,80.65
bfc3416d927b5d03,androidx/lifecycle/ProcessLifecycleOwner,24,44,54.55
1794608d4ee8bba1,org/fossify/notes/helpers/NotesHelper,24,106,22.64
6cb1814a88bf264e,androidx/appcompat/widget/ContentFrameLayout,24,93,25.81
3f316e0461bc1b21,com/google/android/material/elevation/ElevationOverlayProvider,24,44,54.55
a0aa2fbcd043b257,org/fossify/notes/databases/NotesDatabase$Companion,24,27,88.89
a82e0d580d25acba,androidx/fragment/app/FragmentActivity$HostCallbacks,23,44,52.27
348235c805e02199,androidx/fragment/app/FragmentManagerViewModel,23,156,14.74
6dc7b8ee7c69c0aa,kotlinx/coroutines/intrinsics/UndispatchedKt,22,101,21.78
53333b291d4556f5,kotlinx/coroutines/BuildersKt__Builders_commonKt,22,46,47.83
8853fbcf32bf1ca2,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,22,252,8.73
84f1db4d146eb4a5,androidx/arch/core/internal/SafeIterableMap,22,73,30.14
cbb8e3eb86be7fd5,org/fossify/notes/models/Note,21,92,22.83
36233e9d27ad2d0a,androidx/profileinstaller/DeviceProfileWriter,21,163,12.88
f5acbe35f71a2206,androidx/room/util/DBUtil__DBUtil_androidKt$performBlocking$1$1$invokeSuspend$$inlined$internalPerform$1,21,39,53.85
414f09936beb426c,androidx/coordinatorlayout/widget/ViewGroupUtils,20,27,74.07
df55f4bf374f60ee,kotlinx/coroutines/flow/StateFlowImpl,20,96,20.83
b730f879f1fa4b1b,androidx/sqlite/db/framework/FrameworkSQLiteDatabase,20,158,12.66
10ffb33d8cc5a14f,kotlin/collections/ArraysKt___ArraysJvmKt,20,1082,1.85
d8e6a9258c4d73e9,androidx/appcompat/widget/AppCompatBackgroundHelper,20,85,23.53
cbdb69dd699862cf,com/google/android/material/internal/ThemeEnforcement,19,57,33.33
caf4ee56fd60ca82,kotlin/collections/builders/MapBuilder,19,258,7.36
0b361ec41ecf144f,androidx/navigationevent/NavigationEventHistory,19,53,35.85
cda82887317f8ba9,androidx/room/util/DBUtil__DBUtil_androidKt$performBlocking$1$1,19,25,76.0
581e8bc114164e8e,kotlin/jvm/internal/ClassReference,18,58,31.03
0f1c155aa83ebb12,kotlinx/coroutines/internal/DispatchedContinuation,18,183,9.84
3578f9a835decb66,androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton,18,25,72.0
22f6f8e9617979d3,org/fossify/notes/databases/NotesDatabase_Impl,18,21,85.71
a9bcf486c396d5f3,androidx/sqlite/util/ProcessLock,18,29,62.07
0ae12ce97b441ea2,androidx/lifecycle/SavedStateHandleSupport,18,47,38.3
1c04a4f4dd90013d,androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions,18,20,90.0
50d225cdef806f94,androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal19,18,48,37.5
8c978feb6696d587,androidx/lifecycle/viewmodel/internal/ViewModelProviderImpl,17,24,70.83
55cd693bc02a4fcf,org/fossify/notes/helpers/Config,17,57,29.82
6902e6498c439f44,androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation,17,36,47.22
5c62db88b84d11b2,kotlin/coroutines/CombinedContext,17,53,32.08
23bb38b10053fc2a,androidx/viewpager/widget/ViewPager$4,17,18,94.44
68ae52666b0591db,org/fossify/commons/helpers/AppLockManager,16,39,41.03
f307b250dd5084c5,androidx/core/view/WindowCompat,16,29,55.17
4c173190d24f0515,kotlin/collections/ArraysKt___ArraysKt,16,10849,0.15
a3e40e7add67735b,kotlinx/coroutines/JobSupportKt,16,23,69.57
bf35012809bfe2e1,androidx/profileinstaller/ProfileInstallerInitializer,16,19,84.21
12f207d9e21142aa,androidx/room/util/KClassUtil,16,31,51.61
6fb50a83a6a62d9c,androidx/lifecycle/SavedStateHandlesProvider,16,95,16.84
2e9237f6475810ea,androidx/activity/OnBackPressedDispatcher,16,42,38.1
0acf519d5a1fd856,com/google/android/material/shadow/ShadowRenderer,15,57,26.32
6d7359d4ef621705,com/google/android/material/appbar/ViewOffsetBehavior,15,44,34.09
01de0f38fc26159a,kotlinx/coroutines/EventLoop,15,56,26.79
c1c1edbbb7674a7e,kotlinx/coroutines/AbstractCoroutine,14,25,56.0
3b9bc0ca3793e5a6,androidx/lifecycle/Lifecycle$Event,14,22,63.64
939c83091985e87c,androidx/emoji2/viewsintegration/EmojiTextWatcher,14,49,28.57
83f8f600ef115373,androidx/fragment/app/FragmentController,14,52,26.92
c42176ea2b502316,androidx/room/concurrent/CloseBarrier,14,30,46.67
5c6ba335cd0c90e9,androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper,14,36,38.89
f769286f6075ac4e,androidx/sqlite/driver/SupportSQLiteStatement$OtherSQLiteStatement,14,37,37.84
b322611a5ba922dd,androidx/fragment/app/FragmentTransaction,14,112,12.5
6bc45a9c5ff87d21,org/fossify/notes/interfaces/NotesDao_Impl$1,14,15,93.33
aa38cbedcc5d51b8,androidx/lifecycle/ViewModelProvider,14,28,50.0
b2ca202e6a3f8dd8,androidx/core/view/WindowInsetsControllerCompat$Impl30,14,73,19.18
3c931155d3d4b30d,org/fossify/commons/helpers/FontHelper,14,66,21.21
2ce09e55890c4dd9,androidx/appcompat/widget/AppCompatImageButton,14,81,17.28
5e587c8009147d4a,androidx/fragment/app/DefaultSpecialEffectsController$TransitionInfo,14,53,26.42
dd5f26587912d535,kotlinx/coroutines/BlockingCoroutine,14,36,38.89
ca5d41e671ba554d,com/google/android/material/color/MaterialColors,14,83,16.87
c619201ed36f12d5,org/fossify/notes/fragments/NoteFragment,14,78,17.95
c0fd3ad603b80659,com/google/android/material/theme/overlay/MaterialThemeOverlay,14,36,38.89
49a6b0ec391dafb2,androidx/room/ObservedTableStates,14,89,15.73
a71e5e0fb3e2ead2,androidx/core/view/WindowInsetsCompat$Impl20,13,137,9.49
fe96e92eb6ffb170,androidx/emoji2/viewsintegration/EmojiEditableFactory,13,17,76.47
cc3aefeffc9ccf11,androidx/fragment/app/FragmentViewLifecycleOwner,13,45,28.89
c94eefeb309af654,kotlin/coroutines/jvm/internal/ContinuationImpl,13,19,68.42
482b054e11f4fd1b,kotlin/jvm/internal/Intrinsics,13,127,10.24
f6bfbafba33425ee,androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory,13,40,32.5
01c3dbadbbe94ad6,androidx/arch/core/executor/ArchTaskExecutor,13,21,61.9
a5789ee02ca1e4e8,androidx/lifecycle/LiveData,13,98,13.27
ef0414ba7c99c3bb,kotlinx/coroutines/CoroutineContextKt,13,83,15.66
76bc56e24fc59aec,androidx/emoji2/text/EmojiCompatInitializer,13,14,92.86
057c37589c576852,com/google/android/material/appbar/AppBarLayout$LayoutParams,13,30,43.33
7e9aa68b5d55ea7a,androidx/appcompat/widget/AppCompatDrawableManager,13,21,61.9
59f726d640dcd8be,com/google/android/material/shape/MaterialShapeUtils,13,18,72.22
f11bf115664db9d5,kotlin/jvm/internal/ClassReference$Companion,13,315,4.13
db1443c7a7f1e725,kotlinx/coroutines/internal/ThreadContextKt,12,38,31.58
f1493703908fbe42,kotlinx/coroutines/CoroutineStart,12,19,63.16
b4acf6e1f5d626ee,androidx/fragment/app/SpecialEffectsController$Operation$State,12,41,29.27
ca5906d594ac09fa,androidx/room/util/SQLiteConnectionUtil,12,17,70.59
2a64d711e58232b6,androidx/appcompat/widget/AppCompatEmojiEditTextHelper,12,18,66.67
0cc1c2da0de4593d,androidx/fragment/app/SpecialEffectsController$Operation$State$Companion,12,15,80.0
1ace98e3e506542b,com/duolingo/open/rtlviewpager/DelegatingPagerAdapter,12,25,48.0
221be2611fd7a4e0,androidx/room/TriggerBasedInvalidationTracker$notifyInvalidation$2$invalidatedTableIds$1,12,24,50.0
63909bdbaf7ffc61,org/fossify/notes/databinding/FragmentTextBinding,12,25,48.0
