[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Jellyfin-Android-_v2.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-1d79138": Mon Aug 17 21:29:13 UTC 2026 - Mon Aug 17 21:30:14 UTC 2026
c9936d6356c6e2a4    2 of  38   shark/LibraryLeakReferenceMatcher
520560750efc494c    1 of   3   androidx/compose/runtime/PrimitiveSnapshotStateKt
5cdfbc6294d5be43    9 of  10   androidx/compose/ui/text/style/TextAlign$Companion
90ffdefb5839a770    2 of   5   org/jellyfin/sdk/model/ServerVersion$Companion$comparator$3
0c2ac7329ba225bc    5 of   6   io/ktor/client/HttpClientConfig$install$2
4aee50d7c57a2e65   17 of  24   androidx/compose/foundation/FocusedBoundsNode
b191fd4fd1feb3eb   26 of  44   androidx/compose/ui/input/pointer/HitPathTracker
3ce1dc9e1e355931   14 of  45   androidx/compose/foundation/layout/PaddingValuesImpl
6a94620580c8ec3e    4 of   6   com/google/android/datatransport/cct/internal/BatchedLogRequest
ec2dea1c27a23189   10 of  48   kotlinx/coroutines/sync/MutexImpl$CancellableContinuationWithOwner
42d4eb0c35447a5a    6 of  13   com/google/android/gms/internal/cast/zzvh
a2271de07245a3b4    1 of  79   io/ktor/client/features/DefaultTransformKt$defaultTransformers$2
663c59bf400a5e39    1 of  28   io/ktor/client/features/DefaultTransformKt$defaultTransformers$1
aea4d070f7066395    3 of  28   kotlin/io/CloseableKt
6dfdf97a36fb546a    4 of  19   androidx/compose/ui/text/font/AndroidFontResolveInterceptor
8e75727a9b52b3cc    3 of   3   androidx/mediarouter/media/PlatformMediaRouter1RouteProvider$Api24Impl
528b88fa462d75f6   11 of  14   androidx/compose/ui/text/font/FontFamilyResolverImpl$resolve$result$1
571c2c1fb997267c    2 of   2   kotlinx/coroutines/ExecutorCoroutineDispatcher
c23c3f417e2d84c6    3 of   3   shark/AndroidReferenceMatchers$SEM_EMERGENCY_MANAGER__MCONTEXT
8cd0cf547e268963    2 of   2   androidx/compose/ui/MotionDurationScale$Key
f7d77616bf1c16b2    3 of   3   shark/AndroidReferenceMatchers$LGCONTEXT__MCONTEXT
f6494ad003076e81    1 of  11   com/google/android/gms/dynamite/zzl
4692dbff60b085a4    8 of   9   androidx/compose/ui/input/InputModeManagerImpl
9b1c02f20e4e2ed3    2 of   3   androidx/compose/animation/EnterTransition$Companion
585566b7dff81b62    7 of  24   androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/immutableList/AbstractListIterator
9be9698652b058d0    6 of   7   androidx/compose/foundation/IndicationKt
d6c980d3e7be8f0b    5 of   8   androidx/compose/material/TextFieldTransitionScope$WhenMappings
15e0b694d8aaea11   12 of  30   androidx/compose/ui/text/style/LineBreak$Strategy
17be0cb50b4e412a    1 of   2   kotlinx/coroutines/flow/FlowKt__LimitKt$dropWhile$1$1$emit$1
762d5b2cfbccffc0    7 of  31   kotlin/collections/EmptyMap
d0519a96b2e211e1    3 of  21   com/google/android/gms/internal/cast/zzwh
74dd45c7fc130b68    1 of   2   com/google/android/gms/dynamite/zzn
2c06345d9c9a52bc   17 of  35   androidx/compose/runtime/changelist/Operation$InsertSlotsWithFixups
8d8e79db99707e89   11 of  14   androidx/compose/ui/text/input/InputMethodManagerImpl
8681568c20689b2c    3 of   6   kotlinx/coroutines/NonDisposableHandle
bf33a097ccc5c85b    8 of   8   androidx/compose/foundation/layout/FillElement$Companion
7cdd4bfbf639662a    3 of  30   kotlin/jvm/internal/ReflectionFactory
e95af69030ace511    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
0f32cf06981873e2    1 of  46   com/google/android/gms/cast/framework/zzn
0d6745a8ab2d8e7a    3 of  20   kotlin/random/Random$Default
569fb35ae9dd35c3    8 of  11   com/google/android/gms/cast/internal/zzo
50e813d3979bfd65    5 of   5   com/google/android/datatransport/runtime/time/TimeModule_UptimeClockFactory
ab79a9481c92c42d    5 of  19   kotlin/internal/jdk8/JDK8PlatformImplementations
d926a7a6f866a597    8 of  18   kotlinx/coroutines/flow/FlowKt__ShareKt$launchSharing$1$2
ab7fc727597d202a    2 of   3   androidx/compose/foundation/layout/Arrangement$Top$1
76f8013e202c8c9a    9 of  15   com/google/android/datatransport/runtime/scheduling/persistence/EventStoreConfig
7fbd281117c92ae0    2 of   9   shark/AndroidReferenceMatchers$IMM_LAST_FOCUS_VIEW$add$1
d1133197fe1bf27f    1 of   5   androidx/compose/runtime/SnapshotIntStateKt__SnapshotIntStateKt
b66ade0f5440a166    2 of   7   shark/AndroidReferenceMatchers$TEXT_TO_SPEECH$add$1
a6187b724f08b570    3 of   3   leakcanary/DefaultOnHeapAnalyzedListener$Companion
0335bd408d5e81f9    5 of   7   androidx/compose/foundation/interaction/MutableInteractionSourceImpl
157908d7bcd10746    2 of 127   androidx/compose/foundation/text/selection/SelectionGesturesKt
