class_id,class_name,probes_hit,probes_total,pct
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,503,1317,38.19
32644374cd50045f,androidx/fragment/app/FragmentManager,451,1316,34.27
436e05541b6180ea,androidx/navigation/NavController,394,1213,32.48
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,376,1610,23.35
1ca61f8b9b4c2223,androidx/recyclerview/widget/RecyclerView,342,2048,16.7
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,326,1299,25.1
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,277,825,33.58
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,276,645,42.79
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,273,954,28.62
1266ec3ce0747e9d,org/kiwix/kiwixmobile/core/main/CoreReaderFragment,266,1532,17.36
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,238,598,39.8
0f208bbc617df98c,org/kiwix/kiwixmobile/intro/CustomPageIndicator,235,297,79.12
353bc5c9c3f2c78d,androidx/fragment/app/Fragment,227,751,30.23
a2afdb6ba6b57de1,com/google/android/material/shape/MaterialShapeDrawable,213,423,50.35
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,200,508,39.37
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,179,430,41.63
5feebb286bc06819,com/google/android/material/navigation/NavigationBarItemView,177,392,45.15
6a6be5e39378cd1f,androidx/customview/widget/ViewDragHelper,171,507,33.73
6ad99a5106a0ddc1,androidx/recyclerview/widget/LinearLayoutManager,168,790,21.27
b2a59f238e0c4ef0,com/google/android/material/navigation/NavigationView,158,272,58.09
6120c23f1960e8a1,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,156,182,85.71
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,154,625,24.64
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,149,460,32.39
044ddadea10e405d,androidx/appcompat/widget/Toolbar,142,941,15.09
bd7f67d34f987e92,okhttp3/CipherSuite,126,130,96.92
811008d113b7e4d3,io/objectbox/flatbuffers/FlatBufferBuilder,126,271,46.49
6bd15b036d2fdffd,com/google/android/material/navigation/NavigationBarMenuView,123,347,35.45
159d252decab2733,org/kiwix/kiwixmobile/core/dao/entities/MyObjectBox,122,123,99.19
