[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Kore-_v3.1.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-afe7777d": Mon Aug 17 21:33:17 UTC 2026 - Mon Aug 17 21:33:54 UTC 2026
3914d317abd8569b    7 of  34   androidx/emoji2/viewsintegration/EmojiInputFilter
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
1806e6dcfbde84c4    8 of  20   kotlin/SynchronizedLazyImpl
5838fa851202feb8   11 of  49   androidx/lifecycle/ViewModel
61b06f5a191782b3    2 of   6   androidx/lifecycle/ViewTreeViewModelStoreOwner
7141818a39211cfc    3 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
fd057ab14bb563b4  335 of 1346   androidx/fragment/app/FragmentManager
e714645491accf96    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
0dd8499cbcc7e628   10 of  60   androidx/core/os/LocaleListCompat
dbc240777cc48cdc    1 of   8   androidx/emoji2/text/EmojiCompat$CompatInternal
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
b5959da49986a51e   19 of  86   androidx/collection/LruCache
f84489e2e2a9a80d   34 of  81   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
eb24eea7b2aee37b    1 of   9   androidx/customview/view/AbsSavedState$2
fc9ea3fbe0723046   78 of 221   androidx/appcompat/widget/ResourceManagerInternal
efa6e0a82561efa3    6 of   6   androidx/appcompat/app/AppCompatActivity$2
7795a986f6e3e902    2 of   4   androidx/loader/app/LoaderManager
86ad02e9e9088e8c    9 of  77   com/google/android/material/color/MaterialColors
01c3dbadbbe94ad6   10 of  21   androidx/arch/core/executor/ArchTaskExecutor
642cd8872d284845    2 of  10   androidx/appcompat/widget/AppCompatHintHelper
0cc1c2da0de4593d    8 of  15   androidx/fragment/app/SpecialEffectsController$Operation$State$Companion
ec45d1beef1a05d1   34 of 884   androidx/core/view/ViewCompat
404b404e34286f7e    3 of   6   androidx/lifecycle/ViewModelProviderGetKt
7f3c4943d110c273   29 of 120   androidx/appcompat/app/AppCompatDelegate
a38280b201ab6fe4   14 of  17   org/xbmc/kore/ui/sections/hosts/AddHostFragmentWelcome
49c39692c4f00d24    1 of   9   androidx/activity/ComponentActivity$5
8526e4fa58b06d6b    7 of  12   androidx/lifecycle/Lifecycle$Event$Companion$WhenMappings
e2ccb4a3b56c9438    2 of   3   androidx/lifecycle/viewmodel/CreationExtras$Empty
a13edd66e7abb10b    6 of  49   androidx/core/os/CancellationSignal
27f8996eafae7e7d    1 of  10   androidx/appcompat/app/AppCompatDelegateImpl$Api24Impl
4d6891bfa20f9d5e    1 of   1   androidx/lifecycle/SavedStateHandleSupport$DEFAULT_ARGS_KEY$1
64f7a95142e2fe74    1 of   2   androidx/core/R$styleable
7dfe621e42030123   16 of  53   androidx/core/view/MenuHostHelper
4c7d16520c751921    2 of   6   androidx/appcompat/widget/AppCompatTextClassifierHelper
b1f59a8d493838d8    1 of   2   androidx/core/view/ViewCompat$Api15Impl
7f779a2f1eec4052    1 of   2   com/google/android/material/R$styleable
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
0b6452e1835d69f4    6 of  10   androidx/fragment/app/SpecialEffectsController$Operation$State$WhenMappings
1cf6ed7b8fa08434    6 of  14   androidx/emoji2/viewsintegration/EmojiTextViewHelper
959d76edaa35c7d3    2 of  17   kotlin/internal/PlatformImplementations
abb26818aada7f42   11 of  27   androidx/collection/ContainerHelpers
00ef17488da05ac7   13 of  36   androidx/appcompat/widget/ViewUtils
be97366ca692de30   10 of 117   androidx/core/graphics/drawable/DrawableCompat
dd896951654bc398    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
ef67727ace1bac58   61 of 112   androidx/fragment/app/FragmentActivity
aff95483ddfbcbe7    1 of  31   androidx/activity/ComponentActivity$1
7cdd4bfbf639662a    2 of  30   kotlin/jvm/internal/ReflectionFactory
86cf9e1c23f07849    1 of   1   androidx/arch/core/internal/SafeIterableMap$SupportRemove
595a534fad2ca61e    4 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
0a2abf471ff85a62    5 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
844d8bba4c8d81d2    5 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
0d6745a8ab2d8e7a    3 of  20   kotlin/random/Random$Default
19d1dc2e06a6fd2e    3 of  50   kotlin/collections/EmptyList
d1daafa039f68cc5   10 of  32   androidx/preference/DialogPreference
b53f007cb96a1ee7    4 of   7   org/xbmc/kore/JacocoInstrument/SMSInstrumentedReceiver
2e78b3def76482cf   19 of 143   androidx/profileinstaller/DeviceProfileWriter
d6c54273311e9574   34 of 140   androidx/appcompat/widget/AppCompatButton
d5de19f2977ac56e   17 of 170   androidx/core/graphics/ColorUtils
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
4647d823cfff7a75   38 of 110   androidx/core/view/ViewCompat$UnhandledKeyEventManager
9b07b4aef28d3e54   24 of 277   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper
e9e9e7d4496d6219   30 of 139   androidx/fragment/app/FragmentContainerView
1571aa611923786d    8 of  11   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
35c427041888e8fb    3 of   3   androidx/activity/ComponentActivity$4
6f516ef6be7e937b    1 of   2   androidx/appcompat/app/AppLocalesStorageHelper$ThreadPerTaskExecutor
092cd20fac31b6c7   93 of 208   androidx/fragment/app/SpecialEffectsController
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
9fdc472ad8c61f98    4 of  28   androidx/emoji2/text/EmojiCompat$Config
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
0b8299794215289d    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
5bada11fadb3abcb    2 of  11   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion
2bfe4e77902744b2    1 of   2   androidx/fragment/R$styleable
3707ffcd01c3affc   16 of  25   androidx/savedstate/SavedStateRegistryController
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
7810116e3a671807   10 of  15   org/xbmc/kore/ui/BaseActivity
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
b56bfcccb0026b7c    5 of  53   androidx/activity/FullyDrawnReporter
af62e6978e35d30f    4 of   6   androidx/concurrent/futures/AbstractResolvableFuture$SafeAtomicHelper
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
a63a32c8ff37b6e9    8 of 150   androidx/collection/SparseArrayCompat
cb81c30b2710eb67   28 of  93   androidx/appcompat/widget/ContentFrameLayout
75a478325a96c440    1 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
8c0bffc62ceaaa3e    2 of   2   androidx/savedstate/SavedStateRegistry$Companion
780dab92c0be8de3  169 of 455   androidx/fragment/app/FragmentStateManager
2e1fa959b5669c96    3 of   3   kotlin/collections/AbstractMutableList
31891ccd1a7bbdc2    1 of   4   androidx/core/os/LocaleListCompat$Api24Impl
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
ccae27c3c206542c    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
9538578c7b30173d    2 of   6   androidx/lifecycle/ViewTreeLifecycleOwner
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
44aaf4dcdb02a729    4 of 338   org/xbmc/kore/utils/UIUtils
16def97226c4e351    9 of  39   androidx/loader/app/LoaderManagerImpl$LoaderViewModel
e4024d6da45b8fcc    5 of   8   androidx/core/content/res/ResourcesCompat$FontCallback
5b864ba2b1a9f5df   17 of  71   androidx/tracing/Trace
9302d043ac912bc4   26 of  81   androidx/profileinstaller/ProfileInstaller
7fbe7cfbdf6107d5    6 of  20   androidx/appcompat/app/AppCompatDelegateImpl$PanelMenuPresenterCallback
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
68676f79be3d4487    4 of  98   kotlin/random/Random
cb7195a87c19705f    4 of   8   androidx/activity/ComponentActivity$6
98a1b97ce73bcb6a    2 of   2   androidx/loader/app/LoaderManagerImpl$LoaderViewModel$1
ac68075fc9b2214d   10 of 152   androidx/appcompat/widget/AppCompatDrawableManager$1
09c6698e38f075e7    5 of   7   androidx/fragment/app/Fragment$2
7dda123f43f16544    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
e501a569ad23ee0f    5 of  46   org/xbmc/kore/utils/LogUtils
c598e4053f94eb41   11 of  13   androidx/emoji2/text/EmojiCompatInitializer$BackgroundDefaultLoader
0e1f769aa78d3c81    5 of  22   kotlin/Pair
054467a83e991a29    9 of  69   androidx/profileinstaller/ProfileVerifier
0868addc41cc9df1    5 of  61   androidx/core/app/NavUtils
29668fb4024e0d70    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
7a0fecb02115ad76   18 of  84   androidx/appcompat/widget/AppCompatImageView
4a84cef768e01eb3    3 of   6   androidx/lifecycle/ViewModelProvider$Factory
ae268dc3c73b0d4f   13 of  98   androidx/lifecycle/LiveData
5808e4c040c76e00    9 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
6ae75317d7e2b30d    2 of  45   kotlin/jvm/internal/ClassReference$Companion
539d1607ef27ffaf    4 of  66   androidx/loader/app/LoaderManagerImpl
ce86a715c76906f7    8 of  14   androidx/appcompat/widget/AppCompatEmojiTextHelper
bc91b7721340efa9    5 of   5   com/google/android/material/shape/MaterialShapeDrawable$1
11a59483da093795    1 of   2   androidx/appcompat/app/AppLocalesMetadataHolderService$Api24Impl
c338a18b45c8b547   21 of  57   org/xbmc/kore/utils/SelectionBuilder
8e307f243f7efacf   17 of  21   androidx/arch/core/internal/SafeIterableMap$ListIterator
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
1c04a4f4dd90013d   17 of  20   androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions
1e7d54e1ebe45f60   56 of 527   androidx/appcompat/view/menu/MenuBuilder
fd41b89e986af08c    1 of   2   androidx/activity/result/ActivityResultLauncher
6e70ed02182bf9ec    2 of 518   kotlin/ranges/RangesKt___RangesKt
860d1968a08f6b4f    2 of  44   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
cca066dd09642b6f    4 of  37   androidx/appcompat/widget/ThemeUtils
dc3d8b49967e3336   10 of 269   kotlin/collections/MapsKt__MapsKt
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
e58de039a17b5755    1 of   1   androidx/fragment/app/FragmentManagerImpl
abff7b8ab43979bc    4 of  48   androidx/core/content/res/GrowingArrayUtils
65c1ab1a95bdee7f    3 of  25   androidx/emoji2/viewsintegration/EmojiInputFilter$InitCallbackImpl
2870ae7eedbbf108    1 of  60   androidx/core/math/MathUtils
07c506f5ac29b601   35 of  44   androidx/lifecycle/ProcessLifecycleOwner
7ac3b2c0721d0f33    5 of  19   androidx/preference/PreferenceCategory
83e2320f61b32407    1 of   4   androidx/core/content/ContextCompat$Api21Impl
ea6df97d8b8f1b34    7 of  32   com/google/android/material/resources/MaterialAttributes
7cabbbe056bf3f5e    9 of 268   androidx/core/widget/TextViewCompat
c1e7f40f857eefd6    2 of   5   org/xbmc/kore/provider/MediaContract$Hosts
4eabba2c00cde289  110 of 386   com/google/android/material/button/MaterialButton
7eff7ba1c9f64fc0    8 of  10   androidx/lifecycle/LifecycleRegistry$Companion
c4006747935bf43f    2 of  11   kotlin/LazyKt__LazyJVMKt
5a458d46679a3614    1 of   2   org/xbmc/kore/ui/sections/remote/RemoteActivity$1
48808512d4a042c4    1 of   7   androidx/fragment/app/Fragment$5
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
c496254a6aa0a19e   76 of 226   androidx/activity/ComponentActivity
55ce33c0678ac3e2    1 of   2   org/xbmc/kore/BuildConfig
f622755583ae0062    1 of  20   androidx/core/view/ViewCompat$Api16Impl
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
7b6f7190997ab06d    1 of   2   androidx/fragment/app/FragmentContainer
4f9ddd5d09560137    7 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
572f7ca900f1dfa0   27 of 117   androidx/activity/result/ActivityResultRegistry
0604891e8520caae   12 of  26   androidx/lifecycle/Lifecycle$Event$Companion
43bcc3d948a2cca0    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
b47f14645daadac6   21 of  35   androidx/lifecycle/ViewModelProvider
ecc9d5a868097e65    5 of  40   androidx/core/view/ViewCompat$Api21Impl
4bbb39a90f40a4b9   18 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
1730337b296df7ef   20 of  71   androidx/core/content/res/TypedArrayUtils
74e87e4d065143ac    3 of   5   com/google/android/material/shape/EdgeTreatment
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
25dadc5426a6e3ef   88 of 379   androidx/appcompat/widget/AppCompatTextHelper
a94eb161ad8d6eb1    1 of   6   kotlin/jvm/internal/FunctionReferenceImpl
3aeaae12e07ebe05    1 of  30   kotlin/collections/AbstractList
248f1f93700f3496    3 of  12   androidx/core/view/ViewCompat$Api17Impl
ca089b36a3361c3d    1 of   7   androidx/appcompat/app/AppCompatDelegateImpl$Api17Impl
4c884fdc55d2ec04    1 of   2   androidx/appcompat/R$styleable
be9e19428ff4b4d3   31 of  45   com/google/android/material/textview/MaterialTextView
869cb48fd40e5b6e    1 of   4   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl23
15fc7dbb61588ca0   47 of 142   androidx/appcompat/app/AppCompatActivity
d7a17fa9dbc1ac06    5 of   6   androidx/lifecycle/ProcessLifecycleOwner$Companion
7b7e6d3c7a4a3ee5    5 of  16   org/xbmc/kore/databinding/WizardButtonBarBinding
0a57392913375c91    1 of   5   androidx/profileinstaller/ProfileVersion
cf8e7ab5e0be9cac    2 of 1782   kotlin/collections/CollectionsKt___CollectionsKt
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
6902e6498c439f44   20 of  36   androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation
b74d58a0009d6058    2 of   9   androidx/core/widget/TextViewCompat$Api17Impl
7956cef735a2ea2f    1 of   2   androidx/fragment/app/FragmentManager$1
1da2f24505dca265   30 of 117   androidx/activity/OnBackPressedDispatcher
bbc457268229054a    7 of 121   androidx/core/content/ContextCompat
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
1b79341a6f05c3ad   22 of  44   com/google/android/material/elevation/ElevationOverlayProvider
bc47e56ab3c2c11e   14 of  20   androidx/lifecycle/Lifecycle$Event
31f0a5e13f3e2e17    2 of  13   com/google/android/material/button/MaterialButton$SavedState
03542f497676a7bd    2 of  40   kotlin/jvm/internal/FunctionReference
83aee87148d801fd    8 of  11   androidx/collection/MapCollections$ArrayIterator
a70548a4b2c2ea62   58 of 326   org/xbmc/kore/provider/MediaProvider
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
7a2031bbf062bb13    9 of  95   androidx/lifecycle/Lifecycling
47ef186305323a2f    6 of  18   com/google/android/material/shape/MaterialShapeUtils
aa73742e49082132   13 of  15   com/google/android/material/elevation/SurfaceColors
1bbdec020736a791   21 of  99   androidx/appcompat/widget/AppCompatImageHelper
7cbecc82d7bbcd9b   25 of  80   androidx/savedstate/SavedStateRegistry
1f71420d034e07b7    6 of 126   kotlin/collections/CollectionsKt__CollectionsKt
ab0f4dba270c9791   28 of  34   androidx/lifecycle/ReportFragment
34d4263fa6728afd    2 of   3   androidx/core/util/ObjectsCompat$Api19Impl
2999985232597e26    3 of  14   com/google/android/material/shape/RelativeCornerSize
7988625ef040b6f5    3 of   5   androidx/fragment/app/FragmentManager$2
c7c5d0044cddab33    4 of  73   androidx/core/util/Preconditions
7b75be34632f6dd5    5 of  56   androidx/appcompat/widget/VectorEnabledTintResources
d02a6761e1226db0   29 of 302   androidx/concurrent/futures/AbstractResolvableFuture
e1be7d7e0470719f   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
3a6bf9f9371b4acc    2 of  10   kotlin/random/AbstractPlatformRandom
0e0a767c4ff88c01    4 of   4   androidx/lifecycle/viewmodel/ViewModelInitializer
13379fe9c9a8bdba    2 of   6   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
347eb23e4bb93879   12 of  14   androidx/lifecycle/ViewModelStore
0304387ae9a23a2e    1 of   4   androidx/core/content/ContextCompat$Api23Impl
0abaf0c3c8cdff01    2 of   2   androidx/fragment/app/Fragment$OnPreAttachedListener
78f849e66498b6ed   46 of 159   androidx/emoji2/text/EmojiCompat
77b7afc4db197bcc    1 of   3   androidx/appcompat/app/AppCompatActivity$1
784b976f51b809e6    2 of   7   com/squareup/picasso/PicassoProvider
02754ce560470e48   12 of  13   androidx/lifecycle/Lifecycle$State
0a2d9746c780f42e    2 of   9   androidx/concurrent/futures/AbstractResolvableFuture$Waiter
938c58478c704ce9    6 of  13   androidx/core/content/res/ResourcesCompat$ColorStateListCacheKey
9a47308ea20d36ae    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig
b52e0ffe3e343563    8 of  10   androidx/activity/ComponentActivity$2
89c610bc4f3f31e1    6 of  54   androidx/appcompat/widget/TintContextWrapper
ff6d29c95e5dcfdd   45 of  93   androidx/preference/PreferenceManager
dc782a3034ae5f3b    2 of  24   androidx/appcompat/app/AppCompatDelegateImpl$ListMenuDecorView
d72e3fa29d3248cc    6 of  60   androidx/appcompat/widget/DrawableUtils
f62eeb29f97a8c2c   24 of  62   androidx/appcompat/widget/TintTypedArray
a55018dc5b7a82b8    1 of   2   org/xbmc/kore/provider/MediaContract
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
0b21de17d9a6d164   67 of 113   com/google/android/material/shape/ShapePath
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
3b3e69b61b78bfdc    1 of   2   androidx/fragment/app/Fragment$1
c0da8612d6c53226   26 of  84   androidx/fragment/app/SpecialEffectsController$Operation
1e778906cc2f3891   45 of 140   androidx/preference/PreferenceGroup
a038ecb7557fbf0d   13 of  59   org/xbmc/kore/ui/sections/hosts/AddHostActivity
b668aac56d5db8da    2 of   3   androidx/appcompat/content/res/AppCompatResources
d9f89462fb55d13d    4 of  10   androidx/collection/ArraySet$1
1112ee2f1cc64706   59 of 222   androidx/fragment/app/FragmentStore
33066e5e3e0e486b    9 of  16   androidx/lifecycle/DefaultLifecycleObserverAdapter$WhenMappings
d66cf6a4c3ba0cdd   10 of  15   androidx/activity/contextaware/ContextAwareHelper
523c6cb141b68c0e  108 of 127   com/google/android/material/shape/ShapeAppearancePathProvider
a16d2aaebf315cc8   30 of 163   androidx/fragment/app/FragmentManagerViewModel
491266520ca5ba1f   18 of  48   androidx/preference/MultiSelectListPreference
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
f0ea22f5b3a7c4ea    3 of   3   androidx/activity/OnBackPressedDispatcher$addCancellableCallback$1
9272d73b6d735387   53 of 219   androidx/collection/ArraySet
a9ee2efd2eb8ef33    3 of   3   androidx/lifecycle/LifecycleDispatcher$DispatcherActivityCallback
85d13e39c485027a   19 of  62   androidx/appcompat/view/menu/ListMenuPresenter
200227aa58dc5df9    1 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
82c8852dcad51e65   31 of 301   androidx/fragment/app/BackStackRecord
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
431327a9cfea6fa0   13 of  74   androidx/core/view/KeyEventDispatcher
28073c12712eee0e    3 of   3   kotlin/random/FallbackThreadLocalRandom
bf8fc735d2e99470    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
df8598064f3c8236    6 of   7   androidx/fragment/app/SpecialEffectsController$Operation$LifecycleImpact
c4479396b204a9d4    9 of  11   androidx/arch/core/internal/FastSafeIterableMap
dc74d5ee6212ccb5    1 of   1   androidx/activity/result/ActivityResultRegistry$CallbackAndContract
f0d1bdbab883971f    1 of  33   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory
34a3f0a02d947c57    2 of   2   com/google/android/material/shape/ShapePath$PathOperation
554478e9c307c2dc    2 of   3   kotlin/Unit
7b61c183aa03bbf5    5 of  51   org/xbmc/kore/utils/Utils
6b9793856f14e3f0    2 of   3   androidx/lifecycle/SavedStateHandlesVM
cc3aefeffc9ccf11   15 of  45   androidx/fragment/app/FragmentViewLifecycleOwner
