class_id,class_name,probes_hit,probes_total,pct
fd057ab14bb563b4,androidx/fragment/app/FragmentManager,335,1346,24.89
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,321,1299,24.71
9c731f027476cce9,com/google/android/material/shape/MaterialShapeDrawable,182,425,42.82
b09d80d4560cb180,androidx/fragment/app/Fragment,171,757,22.59
780dab92c0be8de3,androidx/fragment/app/FragmentStateManager,169,455,37.14
4eabba2c00cde289,com/google/android/material/button/MaterialButton,110,386,28.5
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
0f48900639bf7d76,androidx/preference/Preference,98,474,20.68
9eb64b265d018ff5,androidx/lifecycle/LifecycleRegistry,97,144,67.36
092cd20fac31b6c7,androidx/fragment/app/SpecialEffectsController,93,208,44.71
25dadc5426a6e3ef,androidx/appcompat/widget/AppCompatTextHelper,88,379,23.22
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,78,221,35.29
c496254a6aa0a19e,androidx/activity/ComponentActivity,76,226,33.63
5afe8c47c5d2557e,com/google/android/material/shape/ShapeAppearanceModel,76,118,64.41
76e7f9b7a9e7694c,kotlin/jvm/internal/ClassReference,75,121,61.98
0b21de17d9a6d164,com/google/android/material/shape/ShapePath,67,113,59.29
246db4a645312647,com/google/android/material/shape/ShapeAppearanceModel$Builder,64,108,59.26
ef67727ace1bac58,androidx/fragment/app/FragmentActivity,61,112,54.46
1112ee2f1cc64706,androidx/fragment/app/FragmentStore,59,222,26.58
a70548a4b2c2ea62,org/xbmc/kore/provider/MediaProvider,58,326,17.79
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
e5679b9ed2ec91a7,androidx/core/content/res/ColorStateListInflaterCompat,57,96,59.38
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,56,527,10.63
93f72387ec4614a2,com/google/android/material/button/MaterialButtonHelper,56,193,29.02
9272d73b6d735387,androidx/collection/ArraySet,53,219,24.2
44c72c82fda9571b,androidx/preference/PreferenceInflater,49,113,43.36
15fc7dbb61588ca0,androidx/appcompat/app/AppCompatActivity,47,142,33.1
44e4ca35ad3687a0,androidx/appcompat/widget/AppCompatTextView,47,243,19.34
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,46,159,28.93
ef3f81be62cf5b0c,androidx/appcompat/app/AppCompatViewInflater,46,173,26.59
3fd446a01d175933,androidx/core/content/res/ResourcesCompat,46,140,32.86
ff6d29c95e5dcfdd,androidx/preference/PreferenceManager,45,93,48.39
1e778906cc2f3891,androidx/preference/PreferenceGroup,45,140,32.14
0a3b9ca54fba0e35,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,43,182,23.63
4647d823cfff7a75,androidx/core/view/ViewCompat$UnhandledKeyEventManager,38,110,34.55
07c506f5ac29b601,androidx/lifecycle/ProcessLifecycleOwner,35,44,79.55
f84489e2e2a9a80d,androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback,34,81,41.98
ec45d1beef1a05d1,androidx/core/view/ViewCompat,34,884,3.85
d6c54273311e9574,androidx/appcompat/widget/AppCompatButton,34,140,24.29
a4fea270dae2312e,kotlin/collections/ArrayDeque,34,330,10.3
a1edd7a7aaa85e87,org/xbmc/kore/provider/MediaDatabase,33,66,50.0
be9e19428ff4b4d3,com/google/android/material/textview/MaterialTextView,31,45,68.89
82c8852dcad51e65,androidx/fragment/app/BackStackRecord,31,301,10.3
9b0b3fb5e0b1846a,androidx/appcompat/widget/AppCompatBackgroundHelper,31,85,36.47
e9e9e7d4496d6219,androidx/fragment/app/FragmentContainerView,30,139,21.58
1da2f24505dca265,androidx/activity/OnBackPressedDispatcher,30,117,25.64
a16d2aaebf315cc8,androidx/fragment/app/FragmentManagerViewModel,30,163,18.4
84f1db4d146eb4a5,androidx/arch/core/internal/SafeIterableMap,30,73,41.1
7f3c4943d110c273,androidx/appcompat/app/AppCompatDelegate,29,120,24.17
d02a6761e1226db0,androidx/concurrent/futures/AbstractResolvableFuture,29,302,9.6
cb81c30b2710eb67,androidx/appcompat/widget/ContentFrameLayout,28,93,30.11
ab0f4dba270c9791,androidx/lifecycle/ReportFragment,28,34,82.35
572f7ca900f1dfa0,androidx/activity/result/ActivityResultRegistry,27,117,23.08
74e08757d7b1324c,androidx/preference/TwoStatePreference,27,88,30.68
9302d043ac912bc4,androidx/profileinstaller/ProfileInstaller,26,81,32.1
e1be7d7e0470719f,com/google/android/material/shape/ShapePath$PathArcOperation,26,32,81.25
c0da8612d6c53226,androidx/fragment/app/SpecialEffectsController$Operation,26,84,30.95
7cbecc82d7bbcd9b,androidx/savedstate/SavedStateRegistry,25,80,31.25
b1b7bb2fdb4d182b,androidx/appcompat/view/ContextThemeWrapper,25,55,45.45
a82e0d580d25acba,androidx/fragment/app/FragmentActivity$HostCallbacks,25,44,56.82
fe391c5cdb2872e5,androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState,25,52,48.08
9b07b4aef28d3e54,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,24,277,8.66
