[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-20ab5d6c": Mon Aug 17 21:35:01 UTC 2026 - Mon Aug 17 21:35:43 UTC 2026
5f6337e98162070e    3 of  43   com/google/android/material/motion/MotionUtils
f44a6a79d8ba744c    1 of   2   org/libtorrent4j/alerts/Alerts$97
2ce09e55890c4dd9   22 of  81   androidx/appcompat/widget/AppCompatImageButton
8e8d9e6dcc6e442c    1 of  37   org/proninyaroslav/libretorrent/ui/main/MainActivity$3
0db98c7fc65d224c    2 of   2   io/reactivex/internal/operators/observable/ObservableFilter
03417b05c3db7bc6   28 of  87   androidx/room/RoomOpenHelper
152a06468f5dee43    1 of   5   io/reactivex/disposables/ActionDisposable
c2ebf7553c7855ff    3 of  31   org/libtorrent4j/swig/dht_error_alert
aea4d070f7066395    3 of  28   kotlin/io/CloseableKt
80097f411393a216    1 of   2   org/proninyaroslav/libretorrent/ui/main/MainFragment$1
256990b606a253c1    4 of   5   androidx/fragment/app/Fragment$7
dd6a93ed5bb09f96   12 of  34   org/libtorrent4j/swig/listen_failed_alert
206ef41398ba94be   21 of  33   io/reactivex/internal/schedulers/ComputationScheduler
5624ec87a53a2e4a    1 of   2   org/libtorrent4j/alerts/Alerts$40
6fba2b0e47787bdc    2 of   2   org/proninyaroslav/libretorrent/ui/main/MainActivity$2
efa8920f96e7904d    1 of   2   org/libtorrent4j/alerts/Alerts$72
c8755bebfcf59213    1 of   3   io/reactivex/internal/functions/Functions$ErrorConsumer
c874258f66349b85    2 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
762d5b2cfbccffc0    4 of  31   kotlin/collections/EmptyMap
0b6452e1835d69f4    6 of  10   androidx/fragment/app/SpecialEffectsController$Operation$State$WhenMappings
2d312e08c82d9c4a    6 of  30   io/reactivex/internal/util/BackpressureHelper
4279dc9f1eba81a6    2 of   2   androidx/databinding/DataBinderMapperImpl
c3fc2d4a88476ec9   13 of  74   androidx/work/impl/model/SystemIdInfoDao_Impl
3b4f88431f30753a    5 of   7   io/reactivex/internal/schedulers/ScheduledDirectTask
d6b6605fa7eed359   24 of  41   androidx/recyclerview/widget/AsyncListDiffer
d9f13a447c7fad34    1 of   2   androidx/appcompat/R$styleable
cf181344d048c67f  125 of 755   org/proninyaroslav/libretorrent/core/model/TorrentEngine
7cdd4bfbf639662a    3 of  30   kotlin/jvm/internal/ReflectionFactory
7a81c2ce63866fc3    1 of   2   org/libtorrent4j/alerts/Alerts$99
e95af69030ace511    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
e85da24ab2c7343e    2 of   4   org/acra/config/DialogConfigurationBuilder$special$$inlined$observable$3
ff865f795161a58b   15 of  22   org/proninyaroslav/libretorrent/databinding/DrawerNoTagsListItemBindingImpl
a2e543dfc0b327a2    2 of  23   androidx/core/os/LocaleListCompat$Api21Impl
8733a6097766b5b8   15 of  33   io/reactivex/internal/operators/flowable/FlowableConcatArray$ConcatArraySubscriber
0d6745a8ab2d8e7a    3 of  20   kotlin/random/Random$Default
e01383162a0d142b   22 of  27   androidx/lifecycle/ViewModelProvider
ab79a9481c92c42d    5 of  19   kotlin/internal/jdk8/JDK8PlatformImplementations
8e8f68ac913a3f33    4 of   5   org/proninyaroslav/libretorrent/core/settings/SessionSettings
666007d553ba1fad    1 of   2   org/libtorrent4j/alerts/Alerts$41
81e7e85121bd3602  182 of 403   org/proninyaroslav/libretorrent/ui/main/MainActivity
749449a87d077a66    1 of   5   androidx/appcompat/widget/SearchView$3
3afcb7c41dec2669    2 of  16   com/h6ah4i/android/widget/advrecyclerview/utils/WrappedAdapterUtils
c8a0fc09d174efe7    2 of   2   org/acra/collector/MediaCodecListCollector$Companion
b17cd38a2f24c1c2    3 of  24   org/libtorrent4j/swig/torrent_finished_alert
86264981473a96e7   18 of 922   kotlin/text/StringsKt__StringsKt
794ef4034d89f328    8 of  20   org/acra/config/MailSenderConfiguration
6a21244b7e965bb8   63 of  85   com/google/android/material/floatingactionbutton/BorderDrawable
40ad89dcde69019d    3 of  24   org/libtorrent4j/swig/session_stats_header_alert
f8bc97801801bbe3    3 of  31   org/libtorrent4j/swig/read_piece_alert
7de9f49a26f7a326    2 of   5   androidx/emoji2/viewsintegration/EmojiTextWatcher$InitCallbackImpl
93157df6752cf290   18 of  34   io/reactivex/internal/queue/MpscLinkedQueue
8a909bbc0a25391c    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$16
3cb67b3d2060568f    3 of  35   org/libtorrent4j/swig/dht_outgoing_get_peers_alert
e8a68d3a999d2ef5   17 of  27   com/leinardi/android/speeddial/SpeedDialActionItem$Builder
296543ef54a27e5a    9 of  11   org/libtorrent4j/PortmapTransport
968de79464bd62bd    4 of  15   androidx/fragment/app/SpecialEffectsController$Operation$State$Companion
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
ced1f1010f228cf0    9 of  31   org/proninyaroslav/libretorrent/core/model/data/SessionStats
a7d4e52334fcfc3a    1 of   3   org/acra/file/Directory$EXTERNAL_CACHE
5432d7b13161bd11    3 of  10   io/reactivex/disposables/ReferenceDisposable
