class_id,class_name,probes_hit,probes_total,pct
f27e24e945c6aad5,androidx/recyclerview/widget/RecyclerView,418,2299,18.18
3006ac6d9f71cf63,androidx/appcompat/widget/Toolbar,344,938,36.67
d36a4544cf80ad00,androidx/fragment/app/FragmentManager,288,1410,20.43
28e2e60e98dd7692,androidx/appcompat/app/AppCompatDelegateImpl,233,1298,17.95
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,225,954,23.58
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,206,825,24.97
9c731f027476cce9,com/google/android/material/shape/MaterialShapeDrawable,200,425,47.06
da372f74a9a636dc,org/proninyaroslav/libretorrent/core/model/session/TorrentSessionImpl,184,775,23.74
81e7e85121bd3602,org/proninyaroslav/libretorrent/ui/main/MainActivity,182,403,45.16
841daa9d4d6bc544,androidx/work/impl/model/WorkSpecDao_Impl,180,1511,11.91
9a0e4437321bc421,androidx/recyclerview/widget/LinearLayoutManager,173,794,21.79
da4a335e59b900a6,androidx/appcompat/widget/SearchView,170,571,29.77
be9909ac68ec2320,org/proninyaroslav/libretorrent/core/utils/Utils,168,474,35.44
8178aa1930658974,com/google/android/material/navigation/NavigationView,160,324,49.38
5b21e57ad3e0b7ac,androidx/recyclerview/widget/RecyclerView$LayoutManager,159,648,24.54
a1224dfca5f3d479,androidx/fragment/app/Fragment,153,756,20.24
b06fa189c600fb13,org/libtorrent4j/swig/settings_pack$int_types,144,154,93.51
4e1ed89ca41e22a5,org/acra/config/CoreConfigurationBuilder,139,226,61.5
31d803ba3891bf00,androidx/appcompat/widget/LinearLayoutCompat,139,629,22.1
e73446a2250e931d,com/leinardi/android/speeddial/SpeedDialView,135,388,34.79
c7facf91c0a4cea8,androidx/recyclerview/widget/RecyclerView$Recycler,133,602,22.09
cf181344d048c67f,org/proninyaroslav/libretorrent/core/model/TorrentEngine,125,755,16.56
ddd9a16b5aa40cdc,org/proninyaroslav/libretorrent/core/settings/SettingsRepositoryImpl,119,442,26.92
6a6be5e39378cd1f,androidx/customview/widget/ViewDragHelper,117,507,23.08
b7faeb53b720e01e,org/proninyaroslav/libretorrent/service/TorrentService,113,259,43.63
2e4fa6a2950b01fe,org/acra/collector/ConfigurationCollector,113,146,77.4
f72968613fa3e669,com/leinardi/android/speeddial/FabWithLabelView,111,159,69.81
a89db409a2fc4b79,org/libtorrent4j/alerts/Alerts,109,112,97.32
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
d080f05598867cc3,androidx/room/InvalidationTracker,108,216,50.0
23ccf528bf8122ec,androidx/core/app/NotificationCompatBuilder,106,331,32.02
570747a95b2ec8c0,org/libtorrent4j/SessionManager,105,503,20.87
22fb05945ee6867b,org/libtorrent4j/alerts/AlertType,102,103,99.03
a70054c0fea340a0,com/google/android/material/floatingactionbutton/FloatingActionButtonImpl,101,336,30.06
8b0edd185fca9c88,org/proninyaroslav/libretorrent/ui/main/MainFragment,98,250,39.2
3cf26d40df848fc9,androidx/fragment/app/SpecialEffectsController,97,341,28.45
76cb9637ddc34a5c,androidx/fragment/app/FragmentStateManager,97,465,20.86
37259161868c1967,androidx/room/RoomDatabase,95,230,41.3
44da415933494880,androidx/appcompat/widget/AppCompatTextHelper,94,380,24.74
c525ca93b02afb0e,androidx/appcompat/view/menu/MenuBuilder,93,530,17.55
d48599621075951d,androidx/appcompat/widget/ActionMenuPresenter,93,282,32.98
f82c148b71282a93,com/google/android/material/floatingactionbutton/FloatingActionButton,91,235,38.72
8bc98693d0547e2a,com/google/android/material/button/MaterialButton,91,386,23.58
8fc35169a2060de8,androidx/recyclerview/widget/DefaultItemAnimator,85,349,24.36
ab69d291e0b93920,androidx/databinding/ViewDataBinding,84,486,17.28
5afe8c47c5d2557e,com/google/android/material/shape/ShapeAppearanceModel,82,118,69.49
3b8798d3f9c3ad15,org/proninyaroslav/libretorrent/core/logger/Logger,81,198,40.91
9a5f21b94e5d9152,kotlin/jvm/internal/ClassReference,79,121,65.29
c496254a6aa0a19e,androidx/activity/ComponentActivity,79,226,34.96
5a8ca0da7d33b126,androidx/lifecycle/LifecycleRegistry,78,149,52.35
3cf18de831182b5d,androidx/appcompat/widget/ResourceManagerInternal,76,216,35.19
246db4a645312647,com/google/android/material/shape/ShapeAppearanceModel$Builder,72,108,66.67
e3a689ee3426ef45,androidx/appcompat/graphics/drawable/DrawerArrowDrawable,70,123,56.91
94cd69f04611f16e,androidx/core/widget/NestedScrollView,70,924,7.58
25acbe01d8de95fd,androidx/recyclerview/selection/SelectionTracker$Builder,69,101,68.32
0b21de17d9a6d164,com/google/android/material/shape/ShapePath,67,113,59.29
2378cd71b00f0021,org/libtorrent4j/swig/settings_pack$bool_types,65,75,86.67
d73b282f65426eaf,io/reactivex/Flowable,65,1214,5.35
6487b6dfa9ac108a,com/google/android/material/floatingactionbutton/FloatingActionButtonImplLollipop,65,97,67.01
1112ee2f1cc64706,androidx/fragment/app/FragmentStore,64,222,28.83
6a21244b7e965bb8,com/google/android/material/floatingactionbutton/BorderDrawable,63,85,74.12
f349c267a86b77a6,com/google/android/material/internal/NavigationMenuPresenter,61,148,41.22
f3aaec2283e3fd27,com/h6ah4i/android/widget/advrecyclerview/expandable/ExpandableRecyclerViewWrapperAdapter,61,508,12.01
b389eab307bd77a9,androidx/appcompat/view/SupportMenuInflater$MenuState,61,111,54.95
18ec7a10f75bb0a5,org/proninyaroslav/libretorrent/core/model/TorrentInfoProvider,60,249,24.1
355df990ae974d64,androidx/core/content/res/ColorStateListInflaterCompat,58,96,60.42
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
9272d73b6d735387,androidx/collection/ArraySet,58,219,26.48
05115617c163c9d9,org/acra/config/DialogConfigurationBuilder,55,76,72.37
93f72387ec4614a2,com/google/android/material/button/MaterialButtonHelper,55,193,28.5
bb48a9fdf84630f3,androidx/appcompat/view/menu/MenuItemImpl,54,292,18.49
1ef7f6de917c0a2e,androidx/appcompat/widget/AppCompatTextView,54,258,20.93
feddcab31214edd6,androidx/core/view/ViewCompat,54,775,6.97
e4297ca781b1e21c,androidx/collection/SimpleArrayMap,52,266,19.55
b287a81f2d40be3f,org/libtorrent4j/swig/alert,52,425,12.24
8cda0bf3d1e93daa,com/h6ah4i/android/widget/advrecyclerview/expandable/ExpandablePositionTranslator,51,212,24.06
cf6bbe8c40234e68,androidx/recyclerview/widget/RecyclerView$ViewHolder,50,180,27.78
af577e0ff61e8047,androidx/work/impl/utils/ForceStopRunnable,48,128,37.5
a0ab5316d1bac995,androidx/emoji2/text/EmojiCompat,48,165,29.09
c642e97c13db4ae4,org/proninyaroslav/libretorrent/DataBinderMapperImpl,48,181,26.52
d48ae7f1e6751476,androidx/core/content/res/ResourcesCompat,48,138,34.78
0dfed61e0a37be6e,org/acra/ACRA,48,87,55.17
e040b06a7a140e65,io/reactivex/internal/operators/flowable/FlowableFlatMapMaybe$FlatMapMaybeSubscriber,47,183,25.68
