class_id,class_name,probes_hit,probes_total,pct
74189bb5a69c149c,me/zeeroooo/materialfb/activities/MainActivity,146,407,35.87
354e0964d1c1bbcb,me/zeeroooo/materialfb/activities/MainActivity$1,37,141,26.24
17c626dec91c4d7c,me/zeeroooo/materialfb/webview/Helpers,25,48,52.08
dc521a1bd960eb5e,me/zeeroooo/materialfb/activities/MFBActivity,21,34,61.76
8c762e4ff706dafd,me/zeeroooo/materialfb/ui/MFBFloatingActionButton,17,40,42.5
455f23d40dbeb2ef,me/zeeroooo/materialfb/misc/UserInfo,13,39,33.33
bd02e9db1546ff04,me/zeeroooo/materialfb/JacocoInstrument/JacocoInstrumentation,12,53,22.64
5953d825942d2ed6,me/zeeroooo/materialfb/webview/JavaScriptHelpers,8,12,66.67
d332c165a92a4ca1,me/zeeroooo/materialfb/ui/MFBResources,8,15,53.33
d775d56102281444,me/zeeroooo/materialfb/webview/MFBWebView,6,44,13.64
0d425a88c0dcf3b9,me/zeeroooo/materialfb/JacocoInstrument/SMSInstrumentedReceiver,4,7,57.14
b04877ecb6f607b6,me/zeeroooo/materialfb/activities/MainActivity$2,3,64,4.69
ac3205cfc986d8ee,me/zeeroooo/materialfb/MFB,3,3,100.0
e3ff45cdd43d72e5,me/zeeroooo/materialfb/webview/JavaScriptInterfaces,2,16,12.5
010f36e8aa452903,me/zeeroooo/materialfb/activities/MainActivity$3,1,8,12.5
ba264ac62112a540,androidx/coordinatorlayout/R$styleable,1,2,50.0
12a747f2d1390056,me/zeeroooo/materialfb/activities/MainActivity$4,1,6,16.67
e8f0885465f3061b,me/zeeroooo/materialfb/adapters/AdapterBookmarks,1,24,4.17
090bb4ff2e238a87,me/zeeroooo/materialfb/misc/DatabaseHelper,1,17,5.88
08bdcaaa4351d276,com/google/android/material/R$styleable,1,2,50.0
8ee39505dbe1f644,androidx/recyclerview/R$styleable,1,2,50.0
7af59bce9b25f826,androidx/appcompat/R$styleable,1,2,50.0
