[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Omni-Notes-6.1.0-_745_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-f2cdd077": Mon Aug 17 12:52:31 UTC 2026 - Mon Aug 17 12:53:06 UTC 2026
8a8347812640b2e0   26 of  35   it/feio/android/omninotes/models/adapters/NavDrawerAdapter
f17d6d8be1c41f54    2 of   4   it/feio/android/omninotes/async/UpdateWidgetsTask$WidgetUpdateSubscriber
b07f4f4a31cd495f    1 of   2   androidx/coordinatorlayout/R$styleable
fcb056abc1873335    1 of   2   androidx/appcompat/R$styleable
8c75297f8c116aff   41 of  69   it/feio/android/omninotes/async/MainMenuTask
f866090e715ef98c    1 of   2   com/getbase/floatingactionbutton/R$styleable
793b9210825e0771    9 of 127   it/feio/android/omninotes/models/adapters/NoteAdapter
ccc8d876ebc070ce   42 of  77   it/feio/android/omninotes/async/CategoryMenuTask
7d312022a4264584  155 of 909   it/feio/android/omninotes/ListFragment
1a2d573f58eba0dc    8 of  31   it/feio/android/omninotes/helpers/LanguageHelper
c01666ec58c4284b    1 of   2   it/feio/android/omninotes/models/views/Fab$2
c74a497bf2dbaeab   24 of  32   it/feio/android/omninotes/OmniNotes
e4300c0f77bf8745    3 of   4   it/feio/android/omninotes/models/views/Fab$3
6155ce2e61c34fc9    1 of  11   it/feio/android/omninotes/models/views/Fab$1
ab8513def4311973    1 of  10   it/feio/android/omninotes/models/views/SquareImageView
1f7bd9352675d679   11 of  26   it/feio/android/omninotes/models/listeners/AbsListViewScrollDetector
ea91fc920e6af532   13 of  31   it/feio/android/omninotes/utils/Navigation
66f18bd84ad57af9   17 of  45   it/feio/android/omninotes/models/UndoBarController
b54e8acb49772e31   42 of  78   it/feio/android/omninotes/NavigationDrawerFragment
82fa4450d67c335a    5 of   5   it/feio/android/omninotes/models/UndoBarController$2
653b21a11f49a6ea   62 of 242   it/feio/android/omninotes/MainActivity
5370fd4581c65e7a   13 of  16   it/feio/android/omninotes/models/holders/NoteViewHolder_ViewBinding
537331a5d5a4d85a    1 of   3   it/feio/android/omninotes/models/UndoBarController$1
f8aabd29a4d68f8d    1 of   2   com/pnikosis/materialishprogress/R$styleable
8edfe9421ef99ee5   12 of  15   it/feio/android/omninotes/ListFragment_ViewBinding
106e92fa6c64d339   31 of  55   it/feio/android/omninotes/db/SqlParser
affb1f793114f595    4 of   7   it/feio/android/omninotes/JacocoInstrument/SMSInstrumentedReceiver
424ebe366250795c   11 of  40   it/feio/android/omninotes/helpers/LogDelegate
329e0eafa366b5c5   17 of  29   it/feio/android/omninotes/models/misc/DynamicNavigationLookupTable
8424c452624863f1    1 of   4   it/feio/android/omninotes/NavigationDrawerFragment$1
711b9bec1f41cba0    1 of   1   it/feio/android/omninotes/async/bus/DynamicNavigationReadyEvent
940b192e02ab3b04    3 of  17   it/feio/android/omninotes/intro/IntroActivity
e7ba85089d9032b7    2 of   2   it/feio/android/omninotes/models/holders/NoteViewHolder
7844332293180d8a   12 of  47   it/feio/android/omninotes/utils/Display
5fdd5170d6a24b48   52 of 486   it/feio/android/omninotes/db/DbHelper
56e11b8789d33d42    1 of   1   it/feio/android/omninotes/models/adapters/NoteDrawerAdapterViewHolder
f217c1dae1d2a196   11 of  14   it/feio/android/omninotes/models/views/NonScrollableListView
2488391a8c716449   12 of  53   it/feio/android/omninotes/JacocoInstrument/JacocoInstrumentation
45a49f7376edf956   25 of  70   it/feio/android/omninotes/models/views/Fab
98fe484bcd51732d    3 of   7   it/feio/android/omninotes/BaseFragment
bb3ebc92f3776227   24 of  72   it/feio/android/omninotes/BaseActivity
65c24e05bdb2bfaf   12 of  29   it/feio/android/omninotes/async/notes/NoteLoaderTask
5437701271adf836    5 of  25   it/feio/android/omninotes/utils/IntentChecker
e1978b61ecb2631a    1 of   9   it/feio/android/omninotes/ListFragment$2
f1c74de3ff4b63a7    2 of   2   it/feio/android/omninotes/async/bus/NotesLoadedEvent
7fa291ebd55c6e1b    3 of  47   it/feio/android/omninotes/models/adapters/CategoryBaseAdapter
04122f99ff735e8c    2 of   7   it/feio/android/omninotes/models/views/InterceptorLinearLayout
98877cc496ed9677    3 of   9   it/feio/android/omninotes/models/NavigationItem
2e9ca6b78f1daf0c    3 of   4   it/feio/android/omninotes/async/UpdateWidgetsTask
88faa0eb9456e462    4 of   8   it/feio/android/omninotes/MainActivity_ViewBinding
c4945434b8db896b    6 of  55   it/feio/android/omninotes/utils/notifications/NotificationsHelper
fbc76e9c9754da53    3 of   6   it/feio/android/omninotes/async/MainMenuTask_ViewBinding

