[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-1d79798": Mon Aug 17 16:54:27 UTC 2026 - Mon Aug 17 16:55:18 UTC 2026
7434a8e51815612d    2 of   4   com/google/android/gms/internal/tasks/zza
da94a067387986f0   25 of  65   com/fasterxml/jackson/databind/ser/SerializerCache
8f5ec4c850851aa8    2 of  10   com/fasterxml/jackson/databind/ser/std/StdScalarSerializer
ff479f3ef5a3952b    2 of  10   retrofit2/Invocation
1dcc5c17bc63a73d    9 of  32   io/sentry/android/core/AppStartState
1ccf9a86e0d5d308    8 of  30   okhttp3/TlsVersion
e714645491accf96    2 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
0dd8499cbcc7e628   10 of  60   androidx/core/os/LocaleListCompat
074b7018fbcdefbc   15 of  66   androidx/activity/OnBackPressedDispatcher
8a4daf12b649a163   60 of 645   com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector
f84489e2e2a9a80d   12 of  81   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
fc9ea3fbe0723046   57 of 221   androidx/appcompat/widget/ResourceManagerInternal
fc9438f5967c8b24    1 of  39   com/fasterxml/jackson/databind/type/TypeParser
6ff6bcf82eef4fe1   59 of 173   androidx/work/impl/utils/EnqueueRunnable
aa5fdcfc82896b4f   10 of  24   androidx/work/impl/utils/PackageManagerHelper
8c0d7d5423680b27    5 of   9   retrofit2/DefaultCallAdapterFactory
5c40d9a06f52ed4d    4 of  18   okhttp3/internal/http2/Http2Reader$ContinuationSource
9b5511a51e5cb89c    2 of   2   openfoodfacts/github/scrachx/openfood/repositories/TaxonomiesRepository$Companion
a7d686bd965ca02d    6 of  28   androidx/fragment/app/FragmentHostCallback
c5589bfee10e2ad9   31 of 120   androidx/work/impl/Processor
f80c4c45d30f8227    1 of   1   androidx/viewpager/widget/ViewPager$ItemInfo
21be027b80856bdc    8 of  13   com/google/android/gms/internal/mlkit_vision_common/zzp
905610d06862be98    9 of  16   com/google/mlkit/common/internal/MlKitInitProvider
b555e5d679f1d20b    9 of  98   androidx/lifecycle/SavedStateHandle
a6954edd3767f24d    1 of   4   androidx/work/impl/Processor$FutureListener
43bd497e211c1fbb   41 of  84   okhttp3/internal/connection/RouteSelector
d3043ae010343ec3   29 of  44   androidx/room/InvalidationTracker$1
4d7182c1653c0fd3    2 of  46   kotlinx/coroutines/CancellableContinuationKt
67e51854739bccae    3 of   4   com/fasterxml/jackson/module/kotlin/KotlinModule$setupModule$1
f0af992f8c2cb346    2 of   2   androidx/viewpager/widget/ViewPager$2
592eaa87b6fb0637    3 of  94   openfoodfacts/github/scrachx/openfood/utils/UtilsKt
f92659fd1cd14b3a    5 of 111   openfoodfacts/github/scrachx/openfood/models/entities/allergen/AllergenDao
1ae1009174306f74    1 of   3   kotlin/reflect/jvm/internal/KClassImpl$Data$inheritedStaticMembers$2
132dab4ce0a070d3   20 of  35   io/sentry/android/core/SentryPerformanceProvider
7cdd4bfbf639662a    1 of  30   kotlin/jvm/internal/ReflectionFactory
cf69db34ec53ee39   16 of  29   androidx/constraintlayout/core/widgets/ConstraintWidget$1
14a57c4d3bf52d77    5 of  10   kotlinx/coroutines/internal/LockFreeTaskQueueCore$Companion
aa974a9628e4b371    3 of 147   com/fasterxml/jackson/databind/ser/std/StdSerializer
f29e535e98bb4d96    5 of   6   openfoodfacts/github/scrachx/openfood/models/entities/analysistag/AnalysisTagNameDao$Properties
ee04e7201efb305b    1 of   2   openfoodfacts/github/scrachx/openfood/features/splash/SplashViewModel_HiltModules$KeyModule
5a60de2ff5b3df85    1 of   5   openfoodfacts/github/scrachx/openfood/features/compare/ProductCompareViewModel_HiltModules_KeyModule_ProvideFactory
739f078fb239bed2   12 of  15   openfoodfacts/github/scrachx/openfood/features/splash/SplashActivity$showLoading$2
bf96eec30c267fa8    2 of   3   retrofit2/CallAdapter$Factory
405f6ba2fb8796f7    4 of   5   androidx/viewpager/widget/ViewPager$LayoutParams
58d4cd131bce9ea9    2 of   4   com/google/mlkit/vision/barcode/internal/zzc
e903755bc06f5306    1 of  41   io/sentry/protocol/SdkVersion$Deserializer
cdd37da996ff9192   10 of  17   com/fasterxml/jackson/databind/introspect/AnnotationCollector$NCollector
041311a98a8c404d   13 of  20   dagger/hilt/android/internal/managers/ActivityComponentManager
710b9663a9ec583f    7 of  17   okio/RealBufferedSource$1
927b7ceba24886fc    8 of   8   androidx/work/impl/utils/taskexecutor/WorkManagerTaskExecutor
7bbf2e749234ebdc   29 of  54   androidx/work/Constraints
4647d823cfff7a75   38 of 110   androidx/core/view/ViewCompat$UnhandledKeyEventManager
aee9e33bcc0d716c    2 of   2   okhttp3/logging/HttpLoggingInterceptor$Logger$1
4b1357572247e375    7 of  13   androidx/lifecycle/BlockRunner$maybeRun$1
902841575ccf25be   95 of 187   kotlinx/coroutines/scheduling/CoroutineScheduler$Worker
e76824c11334fd9e    5 of  16   okio/AsyncTimeout$2
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
6f516ef6be7e937b    1 of   2   androidx/appcompat/app/AppLocalesStorageHelper$ThreadPerTaskExecutor
c6952c0e7ad1a7a1    5 of  64   openfoodfacts/github/scrachx/openfood/models/entities/ProductListsDao
55cb2de4cc271c32    2 of  39   androidx/work/impl/constraints/controllers/ConstraintController
1c61cc7294387749    2 of   4   org/greenrobot/eventbus/Logger$Default
1b63877100c156f5    1 of   2   com/squareup/picasso/Utils$PicassoThreadFactory
b2cd5338603e1f06    7 of 108   kotlin/reflect/jvm/internal/KClassImpl
c74f29daa90afcb4    1 of  24   io/sentry/profilemeasurements/ProfileMeasurementValue$Deserializer
ada0a9397e1f0d23   22 of  88   okhttp3/OkHttpClient$Builder
096cfa8a1f7c8465    5 of  29   androidx/collection/MapCollections$KeySet
f93bdb6878b9b19e    7 of   9   org/greenrobot/eventbus/android/AndroidComponents
c51e56903c984a0c    2 of   4   kotlinx/coroutines/scheduling/Task
bc9a3166476e133f    3 of   4   androidx/work/impl/utils/SerialExecutor$Task
8eea7eae1f326ff6    2 of   6   androidx/work/ListenableWorker$Result
3707ffcd01c3affc   14 of  25   androidx/savedstate/SavedStateRegistryController
a355168e63581b16  260 of 645   androidx/constraintlayout/core/widgets/analyzer/Direct
425dc13d626bc965    1 of   1   kotlinx/coroutines/EventLoopImplBase$DelayedTaskQueue
21bc1a388e18e212    4 of   6   androidx/core/view/WindowCompat$Api16Impl
