class_id,class_name,probes_hit,probes_total,pct
9d4f0d1c8b49e209,androidx/work/impl/model/WorkSpecDao_Impl,400,1265,31.62
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,395,1610,24.53
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,313,1317,23.77
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,311,1299,23.94
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,260,645,40.31
f292c4461ce52b59,kotlinx/coroutines/JobSupport,237,750,31.6
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,223,598,37.29
69d140aef45e8717,androidx/constraintlayout/widget/ConstraintSet,191,1542,12.39
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,190,508,37.4
ba845fb05849c4e8,androidx/fragment/app/FragmentManager,160,1316,12.16
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,146,460,31.74
9c03fc9907b20dae,com/fasterxml/jackson/core/json/ReaderBasedJsonParser,144,1235,11.66
bd72b525a2533c6c,okhttp3/CipherSuite,126,144,87.5
2c81035e940f8ce2,openfoodfacts/github/scrachx/openfood/models/DaoSession,123,181,67.96
9b07b4aef28d3e54,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,121,277,43.68
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,121,311,38.91
396dbe2b4af360e4,okio/Buffer,118,686,17.2
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,117,201,58.21
9a416174796e33d1,okhttp3/HttpUrl$Builder,116,357,32.49
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,115,274,41.97
736dcd74bafeaa9c,kotlin/reflect/jvm/internal/impl/builtins/StandardNames$FqNames,103,103,100.0
6dda0f02e6d14986,okhttp3/internal/Util,100,313,31.95
57497a38ebe02467,kotlinx/coroutines/scheduling/CoroutineScheduler,98,291,33.68
1a1f76318b0eaae8,com/google/firebase/components/ComponentRuntime,98,161,60.87
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,97,193,50.26
902841575ccf25be,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,94,187,50.27
18bcaf2302fb415c,kotlin/reflect/jvm/internal/impl/builtins/jvm/JavaToKotlinClassMap,93,127,73.23
9eb64b265d018ff5,androidx/lifecycle/LifecycleRegistry,93,144,64.58
9ea7c04acd46d069,org/matomo/sdk/Tracker,92,165,55.76
e6f430696663c977,okhttp3/internal/connection/StreamAllocation,91,233,39.06
e3f90950414c1032,androidx/room/InvalidationTracker,90,156,57.69
25dadc5426a6e3ef,androidx/appcompat/widget/AppCompatTextHelper,86,379,22.69
034b0d1e87ce2516,kotlinx/coroutines/CancellableContinuationImpl,86,325,26.46
7e4e1c7297123c82,androidx/activity/ComponentActivity,84,227,37.0
189bc5b28664fc23,okhttp3/HttpUrl,80,281,28.47
39bae131ea415de2,com/fasterxml/jackson/core/sym/CharsToNameCanonicalizer,79,134,58.96
b66f46ae0ba4b5c4,com/fasterxml/jackson/databind/type/TypeFactory,75,419,17.9
eb1b000caa367bec,okhttp3/internal/connection/RealConnection,74,257,28.79
0cff6f52bc361cdd,okhttp3/logging/HttpLoggingInterceptor,69,156,44.23
d0773c01b8739005,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,68,226,30.09
789cefae4beae965,com/fasterxml/jackson/core/util/TextBuffer,67,247,27.13
f2dda1272712d318,okhttp3/internal/http2/Http2Stream,64,168,38.1
adcefa6f12f8f2a0,com/fasterxml/jackson/databind/introspect/AnnotatedClassResolver,63,160,39.38
2d987c4349f15b6f,androidx/work/impl/WorkManagerImpl,63,175,36.0
25000c9689f75f31,openfoodfacts/github/scrachx/openfood/models/DaoMaster,62,99,62.63
c8d8165fa945be39,kotlinx/coroutines/EventLoopImplBase,62,168,36.9
8a4daf12b649a163,com/fasterxml/jackson/databind/introspect/JacksonAnnotationIntrospector,60,645,9.3
e270e2a644787839,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
96343dc500e11795,com/fasterxml/jackson/databind/ObjectMapper,60,736,8.15
6ff6bcf82eef4fe1,androidx/work/impl/utils/EnqueueRunnable,59,173,34.1
dae5e4d9fed9e1c7,androidx/constraintlayout/core/widgets/Chain,59,254,23.23
a393d6957c1c0d0b,okhttp3/internal/http2/Http2Connection,59,221,26.7
0a1d89ef67ce4b34,com/google/firebase/components/CycleDetector,58,72,80.56
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,57,221,25.79
214c6270129ebc50,androidx/work/impl/background/systemjob/SystemJobScheduler,56,178,31.46
a4536b719c9ee716,androidx/work/impl/WorkerWrapper,55,250,22.0
031af4820b13ef95,androidx/work/impl/utils/futures/AbstractFuture,54,302,17.88
c00d1177dee87bc3,openfoodfacts/github/scrachx/openfood/app/DaggerOFFApplication_HiltComponents_SingletonC$SingletonCImpl,54,80,67.5
1d93aa987d7ed59f,io/sentry/SentryOptions,54,373,14.48
ae268dc3c73b0d4f,androidx/lifecycle/LiveData,53,98,54.08
12689870b86f3e18,okhttp3/internal/http2/Http2Reader,52,144,36.11
51545085c183a60f,okhttp3/internal/http2/Http2Codec,52,65,80.0
8f2bbda53e0d9fde,androidx/constraintlayout/core/widgets/ChainHead,52,89,58.43
9f10bd05635dcafb,com/fasterxml/jackson/core/json/WriterBasedJsonGenerator,52,768,6.77
1bd444c7ca49c765,okhttp3/OkHttpClient,52,68,76.47
487b8cc5011cb0c9,okio/RealBufferedSource,49,236,20.76
44e4ca35ad3687a0,androidx/appcompat/widget/AppCompatTextView,49,243,20.16
6026ef6ada05a43e,org/matomo/sdk/QueryParams,48,50,96.0
ef3f81be62cf5b0c,androidx/appcompat/app/AppCompatViewInflater,48,173,27.75
e2df3dd5d0de0a8f,androidx/work/impl/model/WorkSpecDao_Impl$11,48,60,80.0
2e231df961d9f363,com/fasterxml/jackson/databind/introspect/BasicClassIntrospector,48,107,44.86
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,48,527,9.11
8db84235c321ed0e,androidx/core/content/FileProvider,48,126,38.1
ace4f6e9c50dac4d,com/fasterxml/jackson/databind/deser/DeserializerCache,47,173,27.17
2c99810f99a4d755,androidx/fragment/app/FragmentActivity,47,112,41.96
7b56f536eeceb8ff,okhttp3/internal/http2/Huffman,47,49,95.92
465a6c6805871e25,androidx/work/impl/utils/ForceStopRunnable,47,115,40.87
15fc7dbb61588ca0,androidx/appcompat/app/AppCompatActivity,46,142,32.39
7f56c2300218e772,androidx/work/impl/WorkDatabase_Impl,46,111,41.44
99d2659a622a9b60,io/sentry/JsonSerializer,46,97,47.42
69a2474a83e95ffb,okhttp3/internal/http2/Http2Stream$FramingSource,46,98,46.94
cfd1ced65c150ff9,okhttp3/internal/platform/AndroidPlatform,46,123,37.4
1c28e317a8cb7ef1,okhttp3/internal/http2/Hpack$Writer,46,92,50.0
c6577d64841c1f0c,androidx/room/RoomDatabase,45,89,50.56
