[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-38a09974": Mon Aug 17 21:41:20 UTC 2026 - Mon Aug 17 21:42:09 UTC 2026
256a4443270e25e3    2 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
f03d3986e2a46cd3    1 of   2   com/orgzly/android/db/dao/NoteDao_Impl$11
28336d8b58792413    1 of   2   androidx/cardview/R$styleable
20c1e35d32a7f498   98 of 118   com/google/android/material/shape/ShapeAppearanceModel
f9c9e4303a7f7cbd   28 of  29   org/mozilla/universalchardet/Constants
cdf44afe3c043234    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
4614f301c96a3f2a  117 of 533   androidx/recyclerview/widget/RecyclerView$Recycler
e714645491accf96    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
e18dae591cf37abe   32 of 105   androidx/room/RoomDatabase$Builder
1e077a104cdaf98d   12 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
2759aeaa24f1d615  180 of 745   androidx/fragment/app/Fragment
1eae00258ea6e965    6 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
ee54b5a292333f9f    3 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
5b4f95023bc13c05    5 of  22   kotlin/Pair
fc9ea3fbe0723046  103 of 221   androidx/appcompat/widget/ResourceManagerInternal
ea9d732296488665   11 of  30   androidx/lifecycle/SavedStateViewModelFactoryKt
43990468f788efe5    9 of  12   com/orgzly/android/ui/CommonActivityLifecycleCallbacks
c21c9c60d34ea584    2 of  10   kotlin/random/AbstractPlatformRandom
d480423615421217   10 of  95   com/orgzly/android/ui/views/richtext/RichText$Attributes
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
37684b93bd2e8664    8 of  45   androidx/core/app/ComponentActivity
2de8a21b02231df5    3 of  17   org/joda/time/convert/ReadableInstantConverter
6ff6bcf82eef4fe1   61 of 173   androidx/work/impl/utils/EnqueueRunnable
6ff0b56ecc7b7653    1 of   2   com/orgzly/android/db/dao/NoteDao_Impl$18
2e4ddeb4f42154ec    9 of  17   androidx/room/RoomDatabase$JournalMode
aa5fdcfc82896b4f   12 of  24   androidx/work/impl/utils/PackageManagerHelper
c5589bfee10e2ad9   48 of 120   androidx/work/impl/Processor
060c44e36f9d9e17    2 of  30   kotlin/collections/AbstractList
f8dbec372a120925    2 of   5   com/orgzly/android/ui/books/BooksFragment$appBarBackPressHandler$1
ef92f37a6ab49eba    3 of  19   androidx/lifecycle/LegacySavedStateHandleController
ff3714b34085d602    1 of   3   com/google/android/material/internal/NavigationMenuItemView$1
a6954edd3767f24d    3 of   4   androidx/work/impl/Processor$FutureListener
4d7182c1653c0fd3    6 of  46   kotlinx/coroutines/CancellableContinuationKt
bc31f45ff049af23    1 of   3   androidx/appcompat/widget/SearchView$9
f0a0a2da7781bd93    2 of   2   org/mozilla/universalchardet/prober/sequence/MacCyrillicModel
145f90e6a5d76387   14 of  71   com/orgzly/org/datetime/OrgDateTimeUtils
c3a86a2508cffc1e   12 of  54   androidx/room/RoomDatabase$MigrationContainer
