class_id,class_name,probes_hit,probes_total,pct
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,566,2094,27.03
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,435,1610,27.02
9d4f0d1c8b49e209,androidx/work/impl/model/WorkSpecDao_Impl,390,1265,30.83
b3742666264f95b3,androidx/appcompat/widget/Toolbar,367,911,40.29
adf6bef78ba68364,androidx/fragment/app/FragmentManager,324,1386,23.38
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,291,954,30.5
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,289,825,35.03
dda310cec380118c,androidx/appcompat/app/AppCompatDelegateImpl,263,1183,22.23
f292c4461ce52b59,kotlinx/coroutines/JobSupport,260,750,34.67
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,252,794,31.74
e6ffbaf0b54f5bf4,com/google/android/material/shape/MaterialShapeDrawable,234,428,54.67
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,228,598,38.13
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,226,645,35.04
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,198,625,31.68
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,189,508,37.2
2759aeaa24f1d615,androidx/fragment/app/Fragment,180,745,24.16
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,176,460,38.26
d20f372feaf82a8e,com/google/android/material/navigation/NavigationView,168,272,61.76
d061546d232fec83,com/orgzly/android/prefs/AppPreferences,164,562,29.18
70cf3e5ce7f8de5a,com/orgzly/android/data/DataRepository,161,1254,12.84
74067032a7981ce9,androidx/recyclerview/widget/RecyclerView$LayoutManager,153,631,24.25
f1030c7fa88ff1c4,com/google/android/material/card/MaterialCardViewHelper,143,301,47.51
d99470dfcef62ef2,com/orgzly/android/db/dao/BookViewDao_Impl,137,553,24.77
2d2f8e4390d74009,com/google/android/material/appbar/AppBarLayout,136,411,33.09
4ef7c76bb5f36f13,kotlinx/coroutines/flow/SharedFlowImpl,134,363,36.91
c4560b4089076247,org/joda/time/chrono/AssembledChronology,133,192,69.27
935eddf731a04b96,androidx/appcompat/widget/SearchView,133,571,23.29
6a6be5e39378cd1f,androidx/customview/widget/ViewDragHelper,133,507,26.23
ec45d1beef1a05d1,androidx/core/view/ViewCompat,132,884,14.93
8fede959487f34b3,androidx/fragment/app/FragmentStateManager,130,410,31.71
22947606e23fbc97,com/orgzly/android/ui/books/BooksFragment,128,467,27.41
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,128,201,63.68
35872d677193442f,androidx/appcompat/app/AlertController,118,326,36.2
a4536b719c9ee716,androidx/work/impl/WorkerWrapper,118,250,47.2
4614f301c96a3f2a,androidx/recyclerview/widget/RecyclerView$Recycler,117,533,21.95
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,117,311,37.62
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,117,527,22.2
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,115,274,41.97
89d787a7a8fbcd7e,com/orgzly/android/ui/notes/NoteItemViewBinder,112,229,48.91
b86d033b487b5453,com/orgzly/android/db/dao/NoteViewDao_Impl$3,111,287,38.68
357a8e3caea5ca04,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,106,297,35.69
0f48900639bf7d76,androidx/preference/Preference,104,474,21.94
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,103,221,46.61
59b409c26a1ae9a5,androidx/appcompat/widget/AppCompatTextHelper,102,379,26.91
ea5b16a6c0f6108f,androidx/appcompat/widget/ActionMenuPresenter,101,282,35.82
1d0fa5171db4383e,com/orgzly/android/ui/main/MainActivity,99,297,33.33
20c1e35d32a7f498,com/google/android/material/shape/ShapeAppearanceModel,98,118,83.05
b3bbe5fd5d5a5f6e,androidx/room/InvalidationTracker,97,177,54.8
94b25ff5291f6d97,com/orgzly/android/db/OrgzlyDatabase_Impl,96,219,43.84
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,95,137,69.34
6e6383d4bf7b1b22,androidx/recyclerview/widget/DefaultItemAnimator,94,349,26.93
034b0d1e87ce2516,kotlinx/coroutines/CancellableContinuationImpl,93,325,28.62
c29ceda78a608bff,androidx/appcompat/widget/AlertDialogLayout,92,122,75.41
d6db8b4554cf5c71,com/orgzly/android/ui/notes/query/search/SearchFragment,91,217,41.94
0d29afec0e1da9c4,com/orgzly/org/parser/OrgSaxyParser,89,118,75.42
4ba7edeaa3a1f7df,com/google/android/material/floatingactionbutton/FloatingActionButtonImpl,89,333,26.73
51458b69cce0cd0c,androidx/fragment/app/SpecialEffectsController,88,153,57.52
2cdca220ea55a2aa,com/google/android/material/floatingactionbutton/FloatingActionButton,88,239,36.82
afc85c0e8ef32079,org/joda/time/chrono/BasicChronology,87,180,48.33
83b70bb5745781ef,androidx/room/RoomDatabase,86,176,48.86
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,86,193,44.56
be154e847c4c7f8d,androidx/swiperefreshlayout/widget/SwipeRefreshLayout,84,426,19.72
214c6270129ebc50,androidx/work/impl/background/systemjob/SystemJobScheduler,81,178,45.51
21aa3459d6b8d7ff,com/orgzly/android/db/dao/BookDao_Impl,77,447,17.23
928db9a81dd3f948,com/orgzly/android/ui/drawer/DrawerNavigationView,77,96,80.21
753936b85beada84,kotlin/jvm/internal/ClassReference,75,119,63.03
d86ada52df5298c3,androidx/appcompat/view/SupportMenuInflater$MenuState,75,111,67.57
d3244b36f20b9dfa,com/orgzly/android/db/OrgzlyDatabase_Impl$1,74,377,19.63
e5e8d05c24113431,androidx/fragment/app/FragmentStore,74,209,35.41
b4557d316bca5c9f,com/google/android/material/shape/ShapeAppearanceModel$Builder,73,108,67.59
ef8d115b5dfac734,com/google/android/material/internal/NavigationMenuItemView,73,115,63.48
570acf85dfe8d2ab,androidx/localbroadcastmanager/content/LocalBroadcastManager,71,127,55.91
a0d47d02a1086b7c,com/google/android/material/progressindicator/DrawableWithAnimatedVisibilityChange,71,155,45.81
902841575ccf25be,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,70,187,37.43
57497a38ebe02467,kotlinx/coroutines/scheduling/CoroutineScheduler,69,291,23.71
a42b5cb8755a01fe,com/google/android/material/internal/NavigationMenuPresenter,69,141,48.94
28c57809857a8afb,com/google/android/material/progressindicator/BaseProgressIndicator,69,241,28.63
c399b35859a6566f,com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuAdapter,68,203,33.5
86ed9c45b8559e4b,com/google/android/material/button/MaterialButton,68,393,17.3
0b21de17d9a6d164,com/google/android/material/shape/ShapePath,67,113,59.29
8b55f84748bc303e,androidx/appcompat/view/menu/ActionMenuItemView,67,134,50.0
9628fe2b93968a5f,com/orgzly/android/db/dao/BookViewDao_Impl$1,67,134,50.0
031af4820b13ef95,androidx/work/impl/utils/futures/AbstractFuture,65,302,21.52
45d29735c9b4fac0,org/joda/time/chrono/GJChronology,64,147,43.54
e5679b9ed2ec91a7,androidx/core/content/res/ColorStateListInflaterCompat,62,96,64.58
dd7cc9d85ef647a5,com/orgzly/android/ui/views/richtext/RichText,62,192,32.29
6ff6bcf82eef4fe1,androidx/work/impl/utils/EnqueueRunnable,61,173,35.26
983c9f2656400bb5,com/google/android/material/bottomappbar/BottomAppBar,61,388,15.72
b0697c726d76e614,com/orgzly/android/ui/books/BooksAdapter,61,98,62.24
af9b61d318e65139,androidx/lifecycle/LiveData,60,95,63.16
e270e2a644787839,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
1b2a7abf91b19091,com/orgzly/org/OrgHead,60,98,61.22
a4c323c45701db13,com/orgzly/android/data/DataRepository$loadBookFromReader$1$1,58,64,90.62
610115570643abe0,androidx/fragment/app/BackStackRecord,58,355,16.34
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
9272d73b6d735387,androidx/collection/ArraySet,58,219,26.48
dae5e4d9fed9e1c7,androidx/constraintlayout/core/widgets/Chain,57,254,22.44
46ed39d1aa5a4b8d,com/orgzly/android/ui/CommonActivity,57,188,30.32
9358a7ea57a2e43d,androidx/appcompat/widget/AppCompatTextView,57,221,25.79
d0773c01b8739005,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,57,226,25.22
2d987c4349f15b6f,androidx/work/impl/WorkManagerImpl,57,175,32.57
f08b5c1e8e33af33,androidx/activity/ComponentActivity,56,203,27.59
d9a66bc5eb2cfd20,androidx/core/view/accessibility/AccessibilityNodeInfoCompat$AccessibilityActionCompat,56,111,50.45
3b74a632159dd4c5,org/joda/time/chrono/ZonedChronology,56,108,51.85
44c72c82fda9571b,androidx/preference/PreferenceInflater,55,113,48.67
93f72387ec4614a2,com/google/android/material/button/MaterialButtonHelper,55,193,28.5
84846663c1db5034,androidx/recyclerview/widget/RecyclerView$ViewHolder,54,172,31.4
4f569f11d1a7c901,com/google/android/material/internal/ForegroundLinearLayout,54,83,65.06
7eb31eab040e4556,androidx/core/content/res/ResourcesCompat,52,140,37.14
7f56c2300218e772,androidx/work/impl/WorkDatabase_Impl,52,111,46.85
e4297ca781b1e21c,androidx/collection/SimpleArrayMap,50,266,18.8
0eb7289215c09f75,androidx/appcompat/app/AppCompatViewInflater,50,173,28.9
2eb30f4167d7200a,com/orgzly/android/db/dao/OrgTimestampDao_Impl$1,50,61,81.97
9f7c50df2c6e5611,androidx/fragment/app/DefaultSpecialEffectsController,50,333,15.02
5fa8602c04aeb26b,com/orgzly/android/reminders/NoteReminders,49,72,68.06
679b56d1ec9bfbb6,com/orgzly/android/db/dao/NoteDao_Impl,49,2459,1.99
21b9b531ec03a9a3,androidx/appcompat/widget/ActionMenuView,49,318,15.41
c5589bfee10e2ad9,androidx/work/impl/Processor,48,120,40.0
3ff6372e7e8dd20a,com/orgzly/org/datetime/OrgDateTime,48,142,33.8
0584f02fed2a67a9,org/joda/time/DateTimeFieldType,48,74,64.86
6487b6dfa9ac108a,com/google/android/material/floatingactionbutton/FloatingActionButtonImplLollipop,47,97,48.45
465a6c6805871e25,androidx/work/impl/utils/ForceStopRunnable,47,115,40.87
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,46,159,28.93
5a5b543b85f4a0e1,androidx/recyclerview/widget/AdapterHelper,46,261,17.62
ff6d29c95e5dcfdd,androidx/preference/PreferenceManager,45,93,48.39
1e778906cc2f3891,androidx/preference/PreferenceGroup,45,140,32.14
8f2bbda53e0d9fde,androidx/constraintlayout/core/widgets/ChainHead,44,89,49.44
f1f8839a9880eb04,com/orgzly/android/db/dao/NoteDao_Impl$1,44,57,77.19
ac1b2850e8bba6cb,androidx/work/impl/Schedulers,44,62,70.97
70dea87013c033d6,androidx/work/impl/model/WorkSpecDao_Impl$1,43,67,64.18
2028c285b3bcd9d9,androidx/appcompat/app/AppCompatActivity,42,140,30.0
473c9b65a28bf637,kotlinx/coroutines/internal/LockFreeLinkedListNode,42,140,30.0
746eed5dd1f26d04,androidx/core/widget/NestedScrollView,42,895,4.69
3601bd039b1bc6eb,androidx/recyclerview/widget/FastScroller,42,232,18.1
8e00e560fe73d99d,org/joda/time/DateTimeZone$LazyInit,42,43,97.67
4c03aac1c4adacb8,com/orgzly/android/db/dao/OrgTimestampDao_Impl,42,198,21.21
10f0bc343f65bbd8,com/orgzly/android/db/mappers/OrgTimestampMapper,42,66,63.64
ffcb5cd392e1f7f8,androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams,41,113,36.28
b5f9333fe446ce86,androidx/work/Data,41,214,19.16
e45ffcba601f2909,com/google/android/material/appbar/AppBarLayout$BaseBehavior,41,379,10.82
8a526214ac8596a0,org/joda/time/chrono/AssembledChronology$Fields,41,78,52.56
0ae4c3c1a1a201a7,androidx/core/content/pm/ShortcutManagerCompat,41,317,12.93
300db67048f89c7b,com/orgzly/android/db/PreRoomMigration,40,292,13.7
91b67e680dcd4ce5,com/orgzly/android/db/OrgzlyDatabase$Companion,40,44,90.91
9bc2224600b21cf1,kotlinx/coroutines/DispatchedTaskKt,40,90,44.44
1111d40dcf26ff52,com/orgzly/android/db/entity/Book,39,132,29.55
fa0fd23f7b55821f,androidx/appcompat/widget/ButtonBarLayout,39,88,44.32
4d965a20621b5368,androidx/constraintlayout/core/PriorityGoalRow,39,57,68.42
115dd8f2f891ddee,com/orgzly/android/util/LogUtils,39,46,84.78
21827bf3f1d231d9,com/orgzly/android/ui/books/BooksViewModel,39,147,26.53
8db84235c321ed0e,androidx/core/content/FileProvider,39,126,30.95
4647d823cfff7a75,androidx/core/view/ViewCompat$UnhandledKeyEventManager,38,110,34.55
abe50e6cd8aa338e,androidx/cardview/widget/CardView,38,84,45.24
fd41f3df2439d6a8,org/joda/time/chrono/GregorianChronology,38,69,55.07
3dc60760d31da52e,androidx/appcompat/view/menu/BaseMenuPresenter,38,64,59.38
e2ea0428be97d0c2,androidx/lifecycle/ReportFragment,37,51,72.55
b8dcdf077d278287,org/joda/time/tz/ZoneInfoProvider,37,94,39.36
4996d0c46affa84b,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,37,182,20.33
081404847fac5fd8,com/orgzly/android/db/entity/Note,37,143,25.87
