[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-a6364261": Mon Aug 17 21:43:03 UTC 2026 - Mon Aug 17 21:44:03 UTC 2026
c9936d6356c6e2a4    2 of  38   shark/LibraryLeakReferenceMatcher
3ac53ac06abc193e   26 of 206   leakcanary/internal/HeapDumpTrigger
3e3a251e7b47087b    2 of   2   leakcanary/AndroidLeakFixes$FLUSH_HANDLER_THREADS$apply$flushNewHandlerThread$1$run$1$3$posted$1
b65d56dd53121f8e    1 of   1   androidx/mediarouter/media/SystemMediaRouteProvider$JellybeanImpl$SystemRouteRecord
5f6337e98162070e    3 of  43   com/google/android/material/motion/MotionUtils
835781a234bd9211    4 of   4   com/bumptech/glide/load/resource/bytes/ByteBufferRewinder$Factory
cdf44afe3c043234    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
b562a29b35e4b340   50 of 258   com/bumptech/glide/RequestBuilder
e1c808a79abc82fa    2 of  10   kotlin/random/AbstractPlatformRandom
4614f301c96a3f2a  107 of 533   androidx/recyclerview/widget/RecyclerView$Recycler
d71c14a18818033e    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/is
9cb4c809b62ca8ea    3 of   3   shark/AndroidReferenceMatchers$MAPPER_CLIENT
c93fd72f7ba18cde   44 of  84   free/rm/skytube/gui/fragments/MainFragment$SimplePagerAdapter
09f64ac7325786f6    3 of   3   com/bumptech/glide/util/pool/FactoryPools$3
9f43c4801c728009    3 of   3   shark/AndroidReferenceMatchers$LGCONTEXT__MCONTEXT
1ccf9a86e0d5d308    8 of  30   okhttp3/TlsVersion
e714645491accf96    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
c15653b24f56eab3    5 of  19   kotlin/internal/jdk8/JDK8PlatformImplementations
1e077a104cdaf98d    3 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
ef6ab63839cbca6d    1 of   2   androidx/mediarouter/media/MediaRouterJellybeanMr1
69388da2a9d87d47    2 of   2   com/google/android/gms/internal/cast/zzk
e68fa37ff28108c5    3 of   3   shark/AndroidReferenceMatchers$MEDIA_PROJECTION_CALLBACK
2759aeaa24f1d615  200 of 745   androidx/fragment/app/Fragment
