class_id,class_name,probes_hit,probes_total,pct
57e6afe10ae3d85b,com/mikepenz/iconics/typeface/library/materialdesigniconic/MaterialDesignIconic$Icon,889,895,99.33
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,447,2094,21.35
94103f1a03f4bdf1,androidx/constraintlayout/core/widgets/ConstraintWidget,364,1554,23.42
044ddadea10e405d,androidx/appcompat/widget/Toolbar,348,941,36.98
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,323,1317,24.53
adf6bef78ba68364,androidx/fragment/app/FragmentManager,320,1386,23.09
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,299,954,31.34
61b9676bc3d3285f,com/google/android/material/tabs/TabLayout,286,670,42.69
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,235,1299,18.09
78acc0caf7166937,androidx/constraintlayout/widget/ConstraintLayout,224,573,39.09
34ab50a84d87765d,com/google/android/gms/internal/cast/zzqb,215,1859,11.57
9c731f027476cce9,com/google/android/material/shape/MaterialShapeDrawable,203,425,47.76
2759aeaa24f1d615,androidx/fragment/app/Fragment,200,745,26.85
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,198,508,38.98
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,192,825,23.27
c03159611d90a750,androidx/appcompat/widget/SearchView,187,571,32.75
94cd69f04611f16e,androidx/core/widget/NestedScrollView,184,924,19.91
068c0ebde2ffbb55,androidx/mediarouter/media/MediaRouter$GlobalMediaRouter,179,597,29.98
ef6efec02466ed5b,com/sothree/slidinguppanel/SlidingUpPanelLayout,169,534,31.65
941472003bfa643f,androidx/constraintlayout/core/widgets/analyzer/Direct,168,650,25.85
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,150,794,18.89
615de6ac9032cde9,okio/Buffer,145,1021,14.2
b25c586db952bf61,org/schabi/newpipe/extractor/services/youtube/YoutubeParsingHelper,133,620,21.45
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,132,201,65.67
246bee4e4fe0c771,com/google/android/material/tabs/TabLayout$TabView,131,390,33.59
c9621ce7e2f5b1fb,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,130,449,28.95
bd72b525a2533c6c,okhttp3/CipherSuite,126,144,87.5
1f0c7bff101eabca,com/google/android/material/appbar/AppBarLayout,125,466,26.82
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,121,311,38.91
7f3b4ec1af1076a5,com/bumptech/glide/load/resource/bitmap/Downsampler,119,265,44.91
c2a3025ef1bffa5b,androidx/recyclerview/widget/GridLayoutManager,119,439,27.11
be154e847c4c7f8d,androidx/swiperefreshlayout/widget/SwipeRefreshLayout,118,426,27.7
e6f430696663c977,okhttp3/internal/connection/StreamAllocation,118,233,50.64
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,117,625,18.72
ed72dc9284c84d3b,com/bumptech/glide/RegistryFactory,115,140,82.14
8fede959487f34b3,androidx/fragment/app/FragmentStateManager,113,410,27.56
74067032a7981ce9,androidx/recyclerview/widget/RecyclerView$LayoutManager,112,631,17.75
25dadc5426a6e3ef,androidx/appcompat/widget/AppCompatTextHelper,109,379,28.76
f2c9eccb2e421a86,com/google/android/gms/internal/cast/zzhi,108,118,91.53
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
9a416174796e33d1,okhttp3/HttpUrl$Builder,108,357,30.25
4614f301c96a3f2a,androidx/recyclerview/widget/RecyclerView$Recycler,107,533,20.08
238683fa678ce9d3,com/bumptech/glide/load/engine/DecodeJob,107,241,44.4
f191cb8b2cb7c1b0,com/google/android/material/appbar/AppBarLayout$BaseBehavior,106,370,28.65
4996d0c46affa84b,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,104,182,57.14
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,102,221,46.15
433f3134a43ef2e6,androidx/mediarouter/media/SystemMediaRouteProvider$JellybeanImpl,102,244,41.8
6dda0f02e6d14986,okhttp3/internal/Util,102,313,32.59
18a85c47d8381659,com/github/rahatarmanahmed/cpv/CircularProgressView,101,209,48.33
3ad7603b804b2f0c,com/bumptech/glide/request/BaseRequestOptions,99,310,31.94
db8d24384bdcbe9b,com/google/android/gms/common/internal/BaseGmsClient,97,307,31.6
bb58f9a3ac7001f6,com/google/android/gms/dynamite/DynamiteModule,97,311,31.19
652e0a5f8e9ca09d,com/bumptech/glide/disklrucache/DiskLruCache,96,313,30.67
ea5b16a6c0f6108f,androidx/appcompat/widget/ActionMenuPresenter,96,282,34.04
