[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/StreetComplete-_v53.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-90b8897e": Wed Sep 02 13:56:02 UTC 2026 - Wed Sep 02 13:56:23 UTC 2026
df027d2e7cd6b6fa    4 of   4   de/westnordost/streetcomplete/data/user/statistics/EditTypeStatisticsTables
783511f03e6b2faf    2 of   5   de/westnordost/streetcomplete/quests/bollard_type/AddBollardType$waysFilter$2
d14afec0e3ce4c47    1 of   2   androidx/fragment/R$styleable
2c1ba170ece1e18c    2 of  44   de/westnordost/streetcomplete/data/osm/edits/update_tags/UpdateElementTagsAction
1623eef8160cb6de   47 of  49   de/westnordost/streetcomplete/data/osm/mapdata/MapDataModuleKt$mapDataModule$1
14f5fbf6bccd73c7    3 of  23   de/westnordost/streetcomplete/quests/access_point_ref/AddAccessPointRef
08b59208225c68ef    6 of   6   de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1$2
bfcf02f3559680a4    3 of  24   de/westnordost/streetcomplete/quests/diet_type/AddVegetarian
846708d0abc87770    6 of   6   de/westnordost/streetcomplete/data/osmnotes/NotesModuleKt$notesModule$1$3
3e2d4c2c4df43ffa    6 of   9   de/westnordost/streetcomplete/data/upload/UploadController$uploadServiceConnection$1
f79b0c4d1c1267d4   12 of  14   de/westnordost/streetcomplete/screens/settings/SettingsModuleKt$settingsModule$1
2980a24b0a6881b3    4 of  18   de/westnordost/streetcomplete/quests/police_type/AddPoliceType
5721cba8ddfce16d    2 of   5   de/westnordost/streetcomplete/quests/crossing_type/AddCrossingType$excludedWaysFilter$2
49a6df7177d93114    4 of   4   de/westnordost/streetcomplete/screens/main/controls/AnswersCounterFragment$special$$inlined$inject$default$1
07c6742f60e7cb15    3 of  84   de/westnordost/streetcomplete/data/osmnotes/NotesApiImpl
7c78197b55d490ca   25 of  92   de/westnordost/streetcomplete/data/AndroidDatabase
584c1684dc6242b4    3 of  21   de/westnordost/streetcomplete/quests/diet_type/AddKosher
d3073064fc16cf6a    2 of   2   de/westnordost/streetcomplete/data/osm/osmquests/OsmQuestModuleKt
079dffb88d628d67    3 of  19   de/westnordost/streetcomplete/quests/handrail/AddHandrail
071894a46c7ff7e6    3 of  22   de/westnordost/streetcomplete/quests/bike_shop/AddSecondHandBicycleAvailability
918d5afaf9c3829d    2 of   6   de/westnordost/streetcomplete/screens/MainActivity$noteEditsListener$1
32d7fe9128a7dcc8    1 of   4   de/westnordost/streetcomplete/data/osmnotes/edits/NoteEditsDao$getSyncedOlderThan$1
8fb69c33bd2ade81    4 of  12   de/westnordost/streetcomplete/data/osmnotes/notequests/OsmNoteQuestType
d0c1a6f0a714410b    2 of   5   de/westnordost/streetcomplete/quests/building_entrance/AddEntrance$withoutEntranceFilter$2
a7e69a31ef83f265    2 of  35   de/westnordost/streetcomplete/data/download/tiles/DownloadedTilesDao
05c79474c78bde0f    4 of  26   de/westnordost/streetcomplete/data/upload/UploadProgressRelay
10c411ce4e514762    9 of   9   de/westnordost/streetcomplete/screens/main/map/MapModuleKt$mapModule$1$2
7d14493508e1e4fa    6 of   6   de/westnordost/streetcomplete/data/osm/created_elements/CreatedElementsModuleKt$createdElementsModule$1$1
5a262296422582ae    2 of   3   de/westnordost/streetcomplete/screens/main/controls/MainMenuButtonFragment$teamModeListener$1
199caa846ff8bcdd   41 of  45   de/westnordost/streetcomplete/ApplicationModuleKt$appModule$1
61121f314d380b25    8 of  12   de/westnordost/streetcomplete/screens/main/controls/MessagesButtonFragment$onStart$1
b30dc162568c84a3   26 of  86   de/westnordost/streetcomplete/screens/main/map/tangram/Marker
e75e960914b87dae   65 of 196   de/westnordost/streetcomplete/screens/main/map/MainMapFragment
7f11cb103df921ba    2 of   4   de/westnordost/streetcomplete/data/user/statistics/StatisticsController$userLoginStatusListener$1
b0fb9544664053bd    3 of   5   de/westnordost/streetcomplete/data/messages/QuestSelectionHintState
360c254d18fd83ff    5 of  22   de/westnordost/streetcomplete/quests/surface/AddPathSurface
b7fcd1100fce516b    2 of   3   de/westnordost/streetcomplete/screens/main/map/StyleableOverlayManager$overlayListener$1
12256ddc91c7666f    2 of   2   de/westnordost/streetcomplete/data/DbModuleKt
1bee99df8a5f683a    3 of  30   de/westnordost/streetcomplete/overlays/street_parking/StreetParkingOverlay
4a0443e7d60a0fbf    6 of   6   de/westnordost/streetcomplete/data/osmnotes/notequests/OsmNoteQuestModuleKt$osmNoteQuestModule$1$1
cf1bec6dc6693549    3 of  15   de/westnordost/streetcomplete/quests/internet_access/AddInternetAccess
