[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Twire-_v2.10.7-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-9794708f": Mon Aug 17 12:58:24 UTC 2026 - Mon Aug 17 12:58:55 UTC 2026
cb5c551300f5c6b8    6 of   6   androidx/appcompat/app/AppCompatActivity$2
f3f26737b6fc400c    7 of  11   androidx/lifecycle/Lifecycle$State
00c5c8a7a2259fdc    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
b82ba286989f9d30    6 of  28   androidx/fragment/app/FragmentHostCallback
eea71af6dd76219a   11 of  27   com/perflyst/twire/utils/TLSSocketFactoryCompat
905c256e939f9400    9 of  95   okhttp3/internal/platform/Platform
1ccf9a86e0d5d308    6 of  30   okhttp3/TlsVersion
777e36a9625063d2    1 of  10   androidx/savedstate/ViewTreeSavedStateRegistryOwner
8138c65d528f9715   10 of  32   com/perflyst/twire/activities/StartUpActivity
05966d17d06cdaeb   10 of  19   androidx/arch/core/executor/ArchTaskExecutor
b5959da49986a51e    2 of  86   androidx/collection/LruCache
0a939cf9696c8862    1 of   2   okhttp3/Authenticator$1
2b0c3d7d7d1fd34d    1 of   2   androidx/arch/core/executor/ArchTaskExecutor$1
ed5ff674a2a6f292   13 of 342   com/perflyst/twire/service/Service
20b836b86eaecb11    1 of   2   androidx/activity/result/ActivityResultLauncher
d9f89462fb55d13d    4 of  10   androidx/collection/ArraySet$1
f9d5de126e77b633   24 of 298   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper
e1531ad7a4f8f8bb    6 of  20   androidx/lifecycle/ViewModelProvider
99f5ee8d09dd5051    1 of   1   okhttp3/Authenticator
ec45d1beef1a05d1   17 of 884   androidx/core/view/ViewCompat
50fb754e183935d9   19 of  76   androidx/appcompat/widget/AppCompatImageView
6f3a165a8f16b47a    5 of   5   androidx/lifecycle/LifecycleRegistry$ObserverWithState
7def1dc6de654b2c    1 of   2   androidx/arch/core/executor/ArchTaskExecutor$2
7aa9ed7852201a59   24 of  93   androidx/appcompat/widget/ContentFrameLayout
af1394f4946e3fed   10 of  21   androidx/arch/core/internal/SafeIterableMap$ListIterator
9b82f0c6e39c4028    3 of   3   com/perflyst/twire/activities/setup/WelcomeActivity$10
9272d73b6d735387   35 of 219   androidx/collection/ArraySet
88fee1c5a6ac3c9a    2 of   3   androidx/core/widget/AutoSizeableTextView
ba3794afb7e76b0d   40 of 138   androidx/appcompat/app/AppCompatActivity
907a3afe2a56f1ae    2 of   8   com/google/gson/internal/$Gson$Preconditions
431327a9cfea6fa0   12 of  74   androidx/core/view/KeyEventDispatcher
70f066c4ffd8f743    1 of   2   androidx/fragment/app/FragmentContainer
42827144f340e803    6 of  53   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
d809e2ad3518d4e9    1 of   7   okhttp3/Dns$1
954f1485ac338628    1 of   4   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl23
6128daeba8584d6c    1 of   7   org/conscrypt/OpenSSLX509CertificateFactory$1
b1f59a8d493838d8    1 of   2   androidx/core/view/ViewCompat$Api15Impl
a4645cb38cab1dd6    2 of   2   com/perflyst/twire/activities/setup/WelcomeActivity$1
1442802213c05121    1 of   2   okhttp3/internal/Internal
571b6f64392254a4    6 of  33   org/conscrypt/OpenSSLContextImpl
e43ce803dd183dbc    2 of  17   okio/Util
ee7d145ddb77e0df    1 of   2   androidx/fragment/app/FragmentManager$3
a3941598808ac40c    8 of  29   androidx/appcompat/view/WindowCallbackWrapper
abb26818aada7f42    5 of  27   androidx/collection/ContainerHelpers
210dfdaa53f56070    5 of  57   androidx/collection/MapCollections
702ab3c88717cc2b   28 of  94   androidx/appcompat/widget/AppCompatImageHelper
ff28915c3ef7d470    2 of   2   com/perflyst/twire/activities/setup/WelcomeActivity$8
240f079e61646ab7    4 of   6   androidx/activity/ComponentActivity$7
185dc3d24b808189    4 of   7   com/perflyst/twire/JacocoInstrument/SMSInstrumentedReceiver
c7952ccb22f8d6e2    1 of  16   androidx/fragment/app/FragmentManager$11
461f3b4e7e008ecb    3 of   8   okhttp3/CertificatePinner$Builder
396dbe2b4af360e4    5 of 686   okio/Buffer
b37551c8573cb66b    6 of  30   androidx/fragment/app/FragmentActivity$HostCallbacks
aad49774927660e1    3 of   6   com/techyourchance/threadposter/BackgroundThreadPoster
5a7a2bacf4cf665d    1 of  10   androidx/fragment/app/FragmentManager$9
031c36316cd4f243    1 of   1   org/conscrypt/OpenSSLContextImpl$TLSv13
e4166757248c1c9f   30 of 105   org/conscrypt/NativeCrypto
3c5335e3900d846c   10 of 151   androidx/fragment/app/FragmentManagerViewModel
69ca5dd754e51c3e   84 of 130   androidx/lifecycle/LifecycleRegistry
12cb1df2b6223860    2 of   3   okhttp3/internal/tls/CertificateChainCleaner
4dabd8d9ebe2cb8d   31 of 125   androidx/fragment/app/FragmentActivity
3fd446a01d175933   12 of 140   androidx/core/content/res/ResourcesCompat
e130fe839898024c    1 of   3   okhttp3/internal/Util$1
5d44fd713c3b6fcc    1 of   2   com/perflyst/twire/activities/setup/WelcomeActivity$7
7272615a4d3a1222    1 of   6   androidx/fragment/app/FragmentManager$2
c50767d1e567aeab  204 of 1181   androidx/appcompat/app/AppCompatDelegateImpl
dbc8619149a1bc84    7 of  17   okhttp3/Protocol
71ca7bb3e93bcb6a    2 of   5   org/conscrypt/Conscrypt$Version
3ffd3546df853ac4    2 of  38   androidx/core/view/ViewCompat$AccessibilityPaneVisibilityManager
4647d823cfff7a75   38 of 110   androidx/core/view/ViewCompat$UnhandledKeyEventManager
50f4443c14f5f37c    4 of  24   androidx/savedstate/Recreator
23882fba9899e6ac    4 of   5   androidx/savedstate/SavedStateRegistry$1
252b56da5d8fbb02    1 of   2   androidx/appcompat/R$styleable
14f55efe384a7795   34 of 154   androidx/appcompat/app/AppCompatViewInflater
83af4dcf8eb1d443    6 of  95   okhttp3/Dispatcher
4171a1f93ed4d7a7    9 of  10   androidx/activity/OnBackPressedCallback
108f99170dc76c81    1 of  40   okhttp3/internal/platform/OptionalMethod
c773b86993a87445   21 of  46   androidx/appcompat/app/AppCompatDelegate
adf6bef78ba68364  120 of 1386   androidx/fragment/app/FragmentManager
ada0a9397e1f0d23   12 of  88   okhttp3/OkHttpClient$Builder
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
4996d0c46affa84b    2 of 182   androidx/fragment/app/FragmentLifecycleCallbacksDispatcher
80b2ca483acad391   13 of 288   com/perflyst/twire/service/Settings
481f8f304f6175ff    8 of  50   androidx/core/app/ComponentActivity
cf9e9c097d5028c4    2 of  78   okhttp3/internal/tls/OkHostnameVerifier
f562a2c1c4e15699    2 of   8   androidx/appcompat/widget/AppCompatTextClassifierHelper
e5e8d05c24113431   16 of 209   androidx/fragment/app/FragmentStore
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
7b95e00575d9173d   20 of  62   androidx/appcompat/widget/TintTypedArray
a4b7ded761ce3363    4 of  37   androidx/appcompat/widget/ThemeUtils
c2025f7e6e9038ca    6 of  54   androidx/appcompat/widget/TintContextWrapper
dd461c2faab829df    2 of  87   org/conscrypt/ClientSessionContext
3e5bf96a57b06b18    1 of   3   okhttp3/CookieJar$1
dd85e22e0fce9f5b    5 of   8   androidx/appcompat/app/AppCompatDelegateImpl$2
b2fe7fe60d402b95    1 of   2   androidx/fragment/app/FragmentManager$5
e374809d55a7a452   11 of  21   androidx/appcompat/widget/AppCompatDrawableManager
65cd56f86c8f6796   15 of 191   com/google/gson/internal/$Gson$Types
e5127574f2320701    4 of  39   okhttp3/ResponseBody
e4024d6da45b8fcc    5 of   8   androidx/core/content/res/ResourcesCompat$FontCallback
46b17a9d64df220f   10 of  14   androidx/activity/contextaware/ContextAwareHelper
06aa8e8166d21c54    6 of  39   androidx/savedstate/SavedStateRegistry
bd1dcf52745f14d8    1 of   2   androidx/fragment/app/FragmentManager$4
0824ea2b5e1c70d2    1 of   5   androidx/appcompat/widget/ResourceManagerInternal$ColorFilterLruCache
7cef84ccf6ba5c4d    3 of  14   org/conscrypt/io/IoUtils
ab99cccd71288f9d    2 of   8   androidx/activity/result/ActivityResultRegistry$3
cfccb1394ede3cc7    1 of   1   okhttp3/Dns
e0088a9dc0a9fc96    1 of  16   okhttp3/OkHttpClient$1
70b1231f2a65adca    7 of  93   com/google/gson/reflect/TypeToken
f38c696b5e7bc42e    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
907c0a43489640e9    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
4c7c76cf3d80e4b2    6 of  18   okhttp3/internal/platform/AndroidPlatform$CloseGuard
0073ecd170f3af4c   10 of 152   androidx/appcompat/widget/AppCompatDrawableManager$1
4e1fe5af5a0f34e9    3 of   3   androidx/multidex/MultiDexApplication
3701563583a39ab5   12 of  34   androidx/appcompat/widget/ViewUtils
a7b0eb84160e61c2    1 of   9   okhttp3/ConnectionPool$1
da491b80d6204601   12 of  85   androidx/appcompat/widget/AppCompatBackgroundHelper
a4321acfa2b18207    5 of  27   androidx/arch/core/executor/DefaultTaskExecutor
0868addc41cc9df1    5 of  61   androidx/core/app/NavUtils
6846008892ea392e    9 of  11   androidx/arch/core/internal/FastSafeIterableMap
f6d4af6090841271    1 of   1   com/perflyst/twire/service/Settings$1
920275bc4569afb8   14 of 113   org/conscrypt/Conscrypt
50ed8db5e032b054  297 of 306   org/conscrypt/OpenSSLProvider
e4297ca781b1e21c    8 of 266   androidx/collection/SimpleArrayMap
347ae73ac2ee885a    1 of   4   okhttp3/RequestBody$2
88453f303d770601    1 of   3   okhttp3/internal/Util$2
5c0849296ea9539b    2 of  29   androidx/fragment/app/FragmentFactory
1a0d356fe30a6df7    2 of   2   com/perflyst/twire/activities/setup/WelcomeActivity$2$1
194065bd3927fc2b    1 of   3   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
585de5c13f7dc91a    3 of   3   com/perflyst/twire/activities/setup/WelcomeActivity$2
36c4d112a4b53ef0   11 of  44   androidx/appcompat/widget/ViewStubCompat
d140d24064cb10d0   32 of 117   androidx/activity/ComponentActivity
1bd444c7ca49c765   23 of  68   okhttp3/OkHttpClient
70816ebbee54bf17    2 of   2   androidx/lifecycle/Lifecycle
cfd1ced65c150ff9   23 of 123   okhttp3/internal/platform/AndroidPlatform
ea2b5cf3f7dc0907    6 of  85   androidx/appcompat/widget/DrawableUtils
59e399b4bbee8fd4    2 of  72   org/conscrypt/OpenSSLX509CertificateFactory$Parser
264ad19cd2a665e5   20 of  46   androidx/appcompat/view/ContextThemeWrapper
beed63f763b88972    1 of   6   org/conscrypt/AbstractSessionContext$1
f95e707e7776b087   85 of 379   androidx/appcompat/widget/AppCompatTextHelper
1d7bd798530f1dae   10 of 134   org/conscrypt/SSLUtils
719f89f6638a6fc9    1 of   1   androidx/fragment/app/FragmentManagerImpl
c6edfbf9f672e825    1 of   2   org/conscrypt/EmptyArray
6bb744d773ae2c8f   17 of  31   androidx/lifecycle/Lifecycle$Event
536a7dc3190ab63a   19 of  86   okhttp3/ConnectionSpec
1bc764446c04560f    9 of  16   androidx/activity/OnBackPressedDispatcher$LifecycleOnBackPressedCancellable
234ddfe298611262    1 of  10   okhttp3/internal/platform/AndroidPlatform$AndroidCertificateChainCleaner
83e2320f61b32407    1 of   4   androidx/core/content/ContextCompat$Api21Impl
5f35ef0df930485f    1 of  10   androidx/lifecycle/ViewTreeLifecycleOwner
66f3fc894028c1c6    3 of   4   com/perflyst/twire/utils/AnimationListenerAdapter
6eab72d44d85b6b7   10 of 102   okhttp3/ConnectionPool
a2901c56b7aaf9d9    2 of   3   androidx/arch/core/internal/SafeIterableMap$DescendingIterator
5d54789cca9ada78    2 of  56   org/conscrypt/OpenSSLSocketFactoryImpl
9c78cf78e2b74ccd    1 of   6   androidx/activity/ComponentActivity$1
9e30d1c62e36804d    4 of  83   androidx/lifecycle/Lifecycling
9626d8acc8a93c8f    1 of   1   okhttp3/CookieJar
f622755583ae0062    1 of  20   androidx/core/view/ViewCompat$Api16Impl
18bfcce155c2c154   29 of  73   androidx/arch/core/internal/SafeIterableMap
db00a69a86ed219d    1 of   1   okhttp3/EventListener$1
f3838c6388ee4452    1 of   7   org/conscrypt/OpenSSLRandom
6dda0f02e6d14986   33 of 313   okhttp3/internal/Util
ecc9d5a868097e65    3 of  40   androidx/core/view/ViewCompat$Api21Impl
e164a78a8fd61de4   28 of 118   androidx/activity/result/ActivityResultRegistry
6bf0cbca0bbeaac3    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
b644fb72a2acb069    1 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
ba1c58f7bdce1702    1 of  31   androidx/activity/ComponentActivity$2
d85863e7c23de1f7    1 of   5   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult
c6026e18fdf740da    3 of  14   androidx/arch/core/internal/SafeIterableMap$Entry
e4215375bc0c9a44    4 of  72   okhttp3/CertificatePinner
75fff556061f5883    1 of   2   okhttp3/EventListener$2
dcaffadb674df637    7 of   8   androidx/activity/ComponentActivity$4
c7dad7aa6abe1922    2 of  20   org/conscrypt/ServerSessionContext
ec2784fcf576e1c5   11 of  25   okhttp3/ConnectionSpec$Builder
ce48a4fa40ff5373   12 of  53   com/perflyst/twire/JacocoInstrument/JacocoInstrumentation
87deed33f6abae6d    8 of   8   com/perflyst/twire/TwireApplication
f3c69b769eb9800c    2 of   5   org/conscrypt/NativeCryptoJni
a473bc27a6af1272    1 of  13   androidx/core/view/ViewCompat$Api21Impl$1
be0121e86be2ad7f    7 of  27   androidx/activity/OnBackPressedDispatcher
bd72b525a2533c6c  124 of 144   okhttp3/CipherSuite
fd32d0a12b4f2fe3    5 of  14   androidx/appcompat/widget/VectorEnabledTintResources
6d76c106ea8e02f7    1 of   3   androidx/activity/ComponentActivity$6
a1e7eb53b4757b51    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
ba61a5ac4ae3d1c9    6 of  32   androidx/lifecycle/ViewModel
87b5af9adc0c7e97    3 of  45   androidx/core/widget/ImageViewCompat
278d522f16196ea7   10 of  84   org/conscrypt/AbstractSessionContext
b81042fa480d8a9f    1 of  10   androidx/fragment/app/FragmentManager$10
b350df0b959c3d13    3 of  23   okhttp3/EventListener
2551b6fdc995faec    3 of  25   okhttp3/internal/platform/Android10Platform
3ffc32eea32f398f   15 of  20   androidx/arch/core/internal/SafeIterableMap$IteratorWithAdditions
04c17344f75c64d3    1 of   2   androidx/fragment/app/FragmentManager$1
e1a5ee8f2bc0e8b6    4 of  16   okhttp3/RequestBody
f3b5d0883bdd4393    3 of  10   androidx/activity/ComponentActivity$3
204c3b55c648ac18    1 of   9   androidx/appcompat/app/AppCompatDelegateImpl$3
bbc457268229054a    6 of 121   androidx/core/content/ContextCompat
734387cd4280dffa    1 of  33   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
30aa91695ee8a4af    1 of   7   org/conscrypt/OpenSSLX509CertificateFactory$2
16b7942007b94576    4 of  30   io/codetail/widget/RevealFrameLayout
4fb79ded3125d671   34 of 207   androidx/appcompat/widget/AppCompatTextView
83aee87148d801fd    8 of  11   androidx/collection/MapCollections$ArrayIterator
ab56abf644f58661    7 of  10   androidx/savedstate/SavedStateRegistryController
9ad05ad3da289244    1 of  14   okhttp3/CipherSuite$1
c1d366f81f75873b   16 of 176   androidx/multidex/MultiDex
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
dc0d6fbe18d4ee88    1 of  10   androidx/lifecycle/ViewTreeViewModelStoreOwner
36fa1cbbd809caec    1 of   5   androidx/core/widget/ImageViewCompat$Api21Impl
9c71a82afbdc4c1d   12 of  52   androidx/fragment/app/FragmentController
7e0c1931608262ed    1 of   4   okhttp3/ResponseBody$1
0af81dc0802fc6aa    1 of   5   androidx/appcompat/app/AppCompatDelegateImpl$Api17Impl
c2be8609f0375acd    1 of  73   com/perflyst/twire/activities/setup/SetupBaseActivity
f5ffd9dc46092cef    1 of   1   androidx/activity/result/ActivityResultRegistry$CallbackAndContract
5a3d1935741694b4   55 of 213   androidx/appcompat/widget/ResourceManagerInternal
fd470ac20e766b17    7 of  21   com/perflyst/twire/activities/ThemeActivity
f7d97112bb410926    1 of   8   androidx/fragment/app/FragmentActivity$1
c7c5d0044cddab33    2 of  73   androidx/core/util/Preconditions
fc1aaf64c9c328b5   21 of  42   com/google/gson/internal/$Gson$Types$ParameterizedTypeImpl
95a1cf16f6e15948    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
e72e126f9a718513    1 of   3   androidx/appcompat/app/AppCompatActivity$1
909b3a99493f567a    9 of  12   androidx/lifecycle/ViewModelStore
ae979776396b5514    3 of   3   androidx/activity/ComponentActivity$5
73deab77955978bd    3 of   4   com/techyourchance/threadposter/UiThreadPoster
b3d8a7bfd0202fc7  108 of 147   com/perflyst/twire/activities/setup/WelcomeActivity
97c897c332cb2f09   32 of  51   androidx/lifecycle/ReportFragment
0304387ae9a23a2e    1 of   4   androidx/core/content/ContextCompat$Api23Impl
7b9f8de521dde99e    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
6c98ed36fda9282e    5 of  93   androidx/preference/PreferenceManager
63da8cad8df0b492    1 of   2   androidx/activity/result/contract/ActivityResultContract
2f042d149a800d50    6 of  50   androidx/appcompat/content/res/AppCompatResources
b3577de5ee4cfbd2   15 of  27   androidx/lifecycle/Lifecycle$1
f110043fb8f28e54    1 of   8   androidx/core/view/ViewCompat$Api19Impl
1bf355c9fe0bbe34    7 of 425   org/conscrypt/Platform
c987c4d4c5ce3af3   12 of 212   okio/ByteString
c02414437ea76b40   35 of 182   org/conscrypt/SSLParametersImpl
54ee23325a7cdf51    7 of   7   com/perflyst/twire/activities/setup/WelcomeActivity$11
