[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Vinyl-Music-Player-_1.11.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-b4d27063": Wed Sep 02 13:57:39 UTC 2026 - Wed Sep 02 13:58:00 UTC 2026
6dc1f8a76fa7b2c3    9 of  14   androidx/fragment/app/strictmode/FragmentStrictMode$Policy
9a0e4437321bc421  197 of 794   androidx/recyclerview/widget/LinearLayoutManager
d14afec0e3ce4c47    1 of   2   androidx/fragment/R$styleable
c17b7c6ed5656073    6 of  10   com/poupa/vinylmusicplayer/util/ImageTheme/ThemeStyleUtil
70d5e1f5276cce45   44 of 190   com/poupa/vinylmusicplayer/ui/activities/MainActivity
ce86a715c76906f7    9 of  14   androidx/appcompat/widget/AppCompatEmojiTextHelper
8fb0281449d47662  229 of 1299   androidx/appcompat/app/AppCompatDelegateImpl
1888b3e26859b327    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
a4fca4146006e0f7    2 of  15   android/support/v4/media/session/MediaSessionCompat$Callback$CallbackHandler
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
2a6572d30bbfcb2b    1 of   3   kotlin/jvm/internal/Lambda
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
3223803585d9f7e8   17 of  33   androidx/cardview/widget/CardViewApi21Impl
6cc4b1a9cd31b07b    3 of   8   com/heinrichreimersoftware/materialintro/util/AnimUtils
c9575f3c56da489b    4 of   4   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/AbsLibraryPagerFragment
a738bb9f47f64b7b    4 of   7   com/poupa/vinylmusicplayer/JacocoInstrument/SMSInstrumentedReceiver
d9da335587854d26    1 of  11   androidx/core/os/LocaleListPlatformWrapper
7d60ccfd594d38e2    2 of   2   com/poupa/vinylmusicplayer/service/MusicService$MusicBinder
4ad3afcc3838e514   12 of 125   androidx/core/view/WindowInsetsCompat$Impl20
caebad72d890f73d    9 of  19   com/poupa/vinylmusicplayer/databinding/FragmentLibraryBinding
89b1ca31267735c2    1 of  82   com/poupa/vinylmusicplayer/util/FileUtil
c3c28b6d5f45c7dd    8 of 148   com/h6ah4i/android/widget/advrecyclerview/swipeable/ItemSlidingAnimator
45878af2ecb943f5    4 of   9   androidx/appcompat/app/ToolbarActionBar$ToolbarMenuCallback
466a850a9e316d68    6 of  22   com/poupa/vinylmusicplayer/loader/PlaylistLoader
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
a16d2aaebf315cc8   20 of 163   androidx/fragment/app/FragmentManagerViewModel
e07587dabd2752c8  142 of 433   com/poupa/vinylmusicplayer/util/PreferenceUtil
fb96e0c0fe296d3f    1 of  11   com/kabouzeid/appthemehelper/util/ToolbarContentTintHelper$ATHMenuPresenterCallback
c191934aae80e418    2 of   4   com/google/android/material/shape/CornerTreatment
bec46832f81f66ad   31 of  59   androidx/fragment/app/FragmentPagerAdapter
de348157a5e082c7    1 of   2   com/google/android/material/internal/WindowUtils$Api30Impl
bdb41e6d8d6426f8    8 of  40   androidx/core/view/ViewCompat$Api21Impl
455e39c0a53739ec    8 of 140   com/h6ah4i/android/widget/advrecyclerview/draggable/DraggableItemWrapperAdapter
179524bdb1faca94    6 of   6   androidx/recyclerview/widget/DefaultItemAnimator$3
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
d4034d4ad835c137    3 of   5   androidx/concurrent/futures/ResolvableFuture
73f08248566b4f9e    1 of   2   com/h6ah4i/android/widget/advrecyclerview/draggable/RecyclerViewDragDropManager$SwapTarget
f62eeb29f97a8c2c   29 of  62   androidx/appcompat/widget/TintTypedArray
7ad5c6b55277ee46    6 of   9   me/zhanghai/android/materialprogressbar/internal/ThemeUtils
817d6019b2d383e6    2 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
cef720a3d8e886ee    2 of   4   androidx/lifecycle/MutableLiveData
cc3aefeffc9ccf11   13 of  45   androidx/fragment/app/FragmentViewLifecycleOwner
10129d6fd6a9838d    2 of   2   me/zhanghai/android/materialprogressbar/MaterialProgressBar$TintInfo
7690f74c7de0ac66    8 of  13   com/heinrichreimersoftware/materialintro/app/IntroActivity$IntroPageChangeListener
409b7dec5b250609    2 of  31   androidx/recyclerview/widget/ViewBoundsCheck
ec14221a94adaafe   25 of  40   com/kabouzeid/appthemehelper/util/ToolbarContentTintHelper$InternalToolbarContentTintUtil
6f9e235a967d3ae7    1 of   2   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ElevateToPressedTranslationZAnimation
6ab4a93846d3453d   45 of 100   com/poupa/vinylmusicplayer/ui/fragments/player/card/CardPlayerFragment
9b0b3fb5e0b1846a   20 of  85   androidx/appcompat/widget/AppCompatBackgroundHelper
8e7a64963bcbf140    1 of  14   androidx/appcompat/widget/ActionMenuPresenter$PopupPresenterCallback
5e5f703bf306ad0b    5 of  13   androidx/recyclerview/widget/RecyclerView$4
2c15d85c17560376    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
5c0dec742830e025   31 of  46   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/AbsLibraryPagerRecyclerViewFragment
96bbcbb680740d14    3 of   4   me/zhanghai/android/materialprogressbar/BaseDrawable$DummyConstantState
ce9e9fbab8b7c1fe   33 of  33   com/poupa/vinylmusicplayer/ui/activities/intro/AppIntroActivity
df8edd746f036d97   56 of  86   com/poupa/vinylmusicplayer/views/PlayPauseDrawable
39188882d94b48bf   12 of  36   androidx/appcompat/widget/RtlSpacingHelper
6a8321ec1cadcfb2    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
73e1bf8225a761b5   27 of  72   com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior
8a1392a2da7492b7    2 of  13   kotlin/text/Regex$Companion
0b8299794215289d    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
cca066dd09642b6f    4 of  37   androidx/appcompat/widget/ThemeUtils
f91998a34084e148   31 of 231   com/poupa/vinylmusicplayer/util/MusicUtil
269bda3f5f1de3c6    5 of  12   com/sothree/slidinguppanel/SlidingUpPanelLayout$LayoutParams
843693fc02557de0    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
b4cf9dd1becb0f51    3 of  16   androidx/media/MediaBrowserServiceCompat$MediaBrowserServiceImplApi26
d0c4b184f6954f58    5 of  12   androidx/startup/InitializationProvider
47ef186305323a2f   13 of  18   com/google/android/material/shape/MaterialShapeUtils
61ed10ce169eaf2e    2 of   2   com/poupa/vinylmusicplayer/util/PackageValidatorKt
0604891e8520caae   10 of  26   androidx/lifecycle/Lifecycle$Event$Companion
661f9be732ab0fc7    2 of   3   com/heinrichreimersoftware/materialintro/app/IntroActivity$ButtonCtaClickListener
736c7c3327ed0825    6 of  10   com/sothree/slidinguppanel/SlidingUpPanelLayout$2
e8570cde8f451354    9 of  10   com/kabouzeid/appthemehelper/util/MaterialDialogsUtil
62a1ade9dfe8c038    4 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
c95739048177e1bc    1 of   5   androidx/profileinstaller/ProfileVersion
