[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Vinyl-Music-Player-_1.5.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-b5c75c6f": Mon Aug 17 16:56:02 UTC 2026 - Mon Aug 17 16:56:39 UTC 2026
23bb38b10053fc2a   17 of  18   androidx/viewpager/widget/ViewPager$4
9e39e775d5b2eb2c    1 of 106   com/poupa/vinylmusicplayer/service/MediaSessionCallback
256a4443270e25e3    1 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
846e59ca4f0a1119   14 of  27   com/poupa/vinylmusicplayer/sort/ArtistSortOrder
b4d6098fe505d1ff    1 of   3   kotlin/jvm/internal/Lambda
5f6337e98162070e    3 of  43   com/google/android/material/motion/MotionUtils
cce7cea5c7014ef5   11 of  75   org/jaudiotagger/audio/asf/data/ContainerType
ff42ff8e6c527f79    4 of 119   org/jaudiotagger/audio/generic/Utils
7141818a39211cfc    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
cdf44afe3c043234    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
4614f301c96a3f2a  115 of 533   androidx/recyclerview/widget/RecyclerView$Recycler
84f185a54f15efc2   13 of 909   kotlin/text/StringsKt__StringsKt
178932ca49561b3f    1 of  32   com/poupa/vinylmusicplayer/adapter/song/ShuffleButtonSongAdapter
890c6ed3ef911d92    5 of  10   me/zhanghai/android/materialprogressbar/HorizontalProgressBackgroundDrawable
706ed1e50df282a4   16 of  37   com/poupa/vinylmusicplayer/databinding/ItemListBinding
e714645491accf96    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
272a8e76c27c2ce6    2 of 137   org/jaudiotagger/audio/mp4/Mp4TagReader
0dd8499cbcc7e628   10 of  60   androidx/core/os/LocaleListCompat
39188882d94b48bf   12 of  36   androidx/appcompat/widget/RtlSpacingHelper
1e077a104cdaf98d   12 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
6cbb1733d036369a    1 of   5   com/poupa/vinylmusicplayer/model/smartplaylist/MyTopTracksPlaylist$1
b5959da49986a51e    2 of  86   androidx/collection/LruCache
ad61e9ef36f51962    1 of  14   com/poupa/vinylmusicplayer/views/TouchInterceptHorizontalScrollView$GestureListener
1eae00258ea6e965    6 of   7   androidx/lifecycle/viewmodel/InitializerViewModelFactoryBuilder
f84489e2e2a9a80d   24 of  81   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
c991755989d28cb7    4 of   4   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/AbsMainActivityFragment
eb24eea7b2aee37b    1 of   9   androidx/customview/view/AbsSavedState$2
fc9ea3fbe0723046   57 of 221   androidx/appcompat/widget/ResourceManagerInternal
4a98e1e51988e397   16 of  77   androidx/loader/content/AsyncTaskLoader
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
65cba18c2c277300    2 of   2   com/poupa/vinylmusicplayer/service/MusicService$MusicBinder
af1394f4946e3fed   10 of  21   androidx/arch/core/internal/SafeIterableMap$ListIterator
7c66432204c151f1   14 of  31   androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation
c32e0fd5bbf7c4e1    4 of   8   me/zhanghai/android/materialprogressbar/HorizontalProgressDrawable
41fb1c36701f8447    4 of  28   kotlin/collections/EmptySet
c45f872fd52a2129    7 of  46   com/h6ah4i/android/widget/advrecyclerview/touchguard/RecyclerViewTouchActionGuardManager
3781fe0a65d542c9   25 of  86   com/poupa/vinylmusicplayer/ui/activities/base/AbsMusicServiceActivity
8598e39f7ed76c2b    6 of  13   androidx/recyclerview/widget/OrientationHelper
a13edd66e7abb10b    6 of  49   androidx/core/os/CancellationSignal
049420cdcc5d54cf    1 of   3   org/jaudiotagger/audio/wav/WavFileWriter
a7d686bd965ca02d    8 of  28   androidx/fragment/app/FragmentHostCallback
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
4c7d16520c751921    2 of   6   androidx/appcompat/widget/AppCompatTextClassifierHelper
f80c4c45d30f8227    1 of   1   androidx/viewpager/widget/ViewPager$ItemInfo
2a75f9d96e34fdfb   15 of  65   org/jaudiotagger/audio/asf/io/ChunkContainerReader
