[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Wallabag-_2.5.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-d2ba3402": Tue Aug 18 02:33:05 UTC 2026 - Tue Aug 18 02:33:37 UTC 2026
23bb38b10053fc2a   17 of  18   androidx/viewpager/widget/ViewPager$4
5838fa851202feb8   11 of  49   androidx/lifecycle/ViewModel
5f6337e98162070e    3 of  43   com/google/android/material/motion/MotionUtils
61b06f5a191782b3    2 of   6   androidx/lifecycle/ViewTreeViewModelStoreOwner
83d8bab7ee74ccc5    4 of  52   com/facebook/stetho/common/Util
7141818a39211cfc    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
b82ba286989f9d30    8 of  28   androidx/fragment/app/FragmentHostCallback
cdf44afe3c043234    1 of   1   androidx/appcompat/view/menu/ActionMenuItemView$PopupCallback
c7b505dcacc40510    1 of   9   fr/gaulupeau/apps/Poche/ui/MainActivity$1
e714645491accf96    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl
39188882d94b48bf   13 of  36   androidx/appcompat/widget/RtlSpacingHelper
32754ac55b68132f    2 of   2   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion$ApplicationKeyImpl
20a8ca9729831684   19 of  41   com/google/android/material/shape/ShapeableDelegate
b5959da49986a51e    2 of  86   androidx/collection/LruCache
98c54bf6b10f1f54   10 of  60   androidx/core/os/LocaleListCompat
f135c7d42fd314f8    2 of  61   fr/gaulupeau/apps/Poche/data/LegacySettingsHelper
f84489e2e2a9a80d   35 of  81   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
2759aeaa24f1d615  181 of 745   androidx/fragment/app/Fragment
fc9ea3fbe0723046   57 of 221   androidx/appcompat/widget/ResourceManagerInternal
eb24eea7b2aee37b    1 of   9   androidx/customview/view/AbsSavedState$2
4076384a846a461e    1 of   2   androidx/appcompat/widget/SearchView$SearchAutoComplete$1
0510906b36232f44    1 of   4   androidx/core/content/ContextCompat$Api21Impl
9b49b264d9c30e1c    1 of   5   androidx/recyclerview/widget/LinearLayoutManager$SavedState$1
1a8f46bb322530cd    4 of   7   fr/gaulupeau/apps/InThePoche/JacocoInstrument/SMSInstrumentedReceiver
e2ccb4a3b56c9438    2 of   3   androidx/lifecycle/viewmodel/CreationExtras$Empty
a5fe7d01670c72b2    2 of  18   org/greenrobot/eventbus/BackgroundPoster
4d6891bfa20f9d5e    1 of   1   androidx/lifecycle/SavedStateHandleSupport$DEFAULT_ARGS_KEY$1
4c7d16520c751921    2 of   6   androidx/appcompat/widget/AppCompatTextClassifierHelper
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
f80c4c45d30f8227    1 of   1   androidx/viewpager/widget/ViewPager$ItemInfo
9a31b5915f3e67f8    9 of  26   androidx/core/view/WindowInsetsCompat$Builder
abb26818aada7f42   11 of  27   androidx/collection/ContainerHelpers
959d76edaa35c7d3    2 of  17   kotlin/internal/PlatformImplementations
f0af992f8c2cb346    1 of   2   androidx/viewpager/widget/ViewPager$2
00ef17488da05ac7   15 of  36   androidx/appcompat/widget/ViewUtils
f96cdca83911eeba   10 of  41   androidx/core/os/TraceCompat
dd896951654bc398    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
20045794ab35798d    5 of  94   androidx/recyclerview/widget/OpReorderer
7cdd4bfbf639662a    2 of  30   kotlin/jvm/internal/ReflectionFactory
063e142d7ee0bf4d   30 of 101   androidx/appcompat/widget/AppCompatCheckedTextView
86cf9e1c23f07849    1 of   1   androidx/arch/core/internal/SafeIterableMap$SupportRemove
0a2abf471ff85a62    1 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
40cd44e67b55b2b4    1 of 101   androidx/core/math/MathUtils
a2e543dfc0b327a2    2 of  23   androidx/core/os/LocaleListCompat$Api21Impl
a83d25e6d4211275   12 of  16   fr/gaulupeau/apps/Poche/ui/Themes
0d6745a8ab2d8e7a    3 of  20   kotlin/random/Random$Default
12c3edae18eadda0   14 of  58   androidx/appcompat/widget/AppCompatCheckedTextViewHelper
e45fea20ad01803d    4 of  25   com/facebook/stetho/common/LogRedirector
19d1dc2e06a6fd2e    3 of  50   kotlin/collections/EmptyList
405f6ba2fb8796f7    4 of   5   androidx/viewpager/widget/ViewPager$LayoutParams
2e78b3def76482cf   19 of 143   androidx/profileinstaller/DeviceProfileWriter
e5bce2e5f4174517    1 of   5   com/facebook/stetho/server/ServerManager$1
ecc2d5100e3e58ec    2 of   2   com/google/android/material/appbar/AppBarLayout$1
8ffed49275d6901a   23 of  81   androidx/appcompat/widget/AppCompatImageButton
24276479d9a9aa2f   10 of  72   androidx/fragment/app/FragmentAnim
35faaef615227084    1 of   3   androidx/appcompat/widget/ActionBarOverlayLayout$1
9b07b4aef28d3e54   44 of 277   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper
78c7074f86510c4b    8 of  31   androidx/core/graphics/Insets
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
6f516ef6be7e937b    1 of   2   androidx/appcompat/app/AppLocalesStorageHelper$ThreadPerTaskExecutor
d61d91042869a774    1 of   5   androidx/fragment/app/FragmentState$1
1c61cc7294387749    2 of   4   org/greenrobot/eventbus/Logger$Default
adf6bef78ba68364  352 of 1386   androidx/fragment/app/FragmentManager
7be0249a56aa9071    3 of  53   org/greenrobot/greendao/identityscope/IdentityScopeLong
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
bec1702e8b3747eb    2 of 172   androidx/core/graphics/ColorUtils
9fdc472ad8c61f98    4 of  28   androidx/emoji2/text/EmojiCompat$Config
096cfa8a1f7c8465    2 of  29   androidx/collection/MapCollections$KeySet
0b8299794215289d    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
f93bdb6878b9b19e    7 of   9   org/greenrobot/eventbus/android/AndroidComponents
429084e61742dc28    3 of   4   fr/gaulupeau/apps/Poche/data/dao/ArticleTagsJoinDao$Properties
3707ffcd01c3affc   18 of  25   androidx/savedstate/SavedStateRegistryController
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
b56bfcccb0026b7c    5 of  53   androidx/activity/FullyDrawnReporter
5291cc4944f5567a    2 of   2   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuTextItem
4c8980957332a502   37 of  64   org/greenrobot/greendao/internal/DaoConfig
1245cd9c0c07f449    1 of   4   androidx/appcompat/widget/ActionMenuPresenter$ActionMenuPopupCallback
7ff165f465b4d979    1 of  35   com/google/android/material/appbar/AppBarLayout$BaseBehavior$2
af62e6978e35d30f    4 of   6   androidx/concurrent/futures/AbstractResolvableFuture$SafeAtomicHelper
46926a5a1ac9b5e7    1 of   2   androidx/recyclerview/widget/RecyclerView$StretchEdgeEffectFactory
73e85755a8694898    6 of  28   androidx/viewpager/widget/PagerAdapter
cb81c30b2710eb67   25 of  93   androidx/appcompat/widget/ContentFrameLayout
e01a37a6825ee19a   60 of  71   androidx/coordinatorlayout/widget/DirectedAcyclicGraph
75a478325a96c440    1 of   3   androidx/arch/core/internal/SafeIterableMap$AscendingIterator
530ed77698c3f0f2   24 of  41   com/google/android/material/navigation/NavigationView$3
2e1fa959b5669c96    3 of   3   kotlin/collections/AbstractMutableList
747317b788d9da19    4 of   7   androidx/fragment/app/Fragment$4
5f10f9cc10ddaf9d   10 of 120   com/google/android/material/drawable/DrawableUtils
ccae27c3c206542c    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
fe1c91a2a1d0a1a4   76 of 125   com/google/android/material/internal/NavigationMenuItemView
9538578c7b30173d    2 of   6   androidx/lifecycle/ViewTreeLifecycleOwner
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
a9c38ac01fa8aa49    5 of  12   androidx/viewpager/widget/ViewPager$SavedState
55c6691f3a714056    2 of  26   com/google/android/material/appbar/AppBarLayout$BaseBehavior$SavedState
5b864ba2b1a9f5df   17 of  71   androidx/tracing/Trace
9b5194b6bd772d75   14 of  30   com/google/android/material/appbar/AppBarLayout$LayoutParams
