class_id,class_name,probes_hit,probes_total,pct
044ddadea10e405d,androidx/appcompat/widget/Toolbar,389,941,41.34
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,359,1299,27.64
adf6bef78ba68364,androidx/fragment/app/FragmentManager,352,1386,25.4
f27e24e945c6aad5,androidx/recyclerview/widget/RecyclerView,323,2299,14.05
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,300,1317,22.78
61b9676bc3d3285f,com/google/android/material/tabs/TabLayout,271,670,40.45
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,254,954,26.62
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,187,625,29.92
2759aeaa24f1d615,androidx/fragment/app/Fragment,181,745,24.3
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,176,825,21.33
8178aa1930658974,com/google/android/material/navigation/NavigationView,160,324,49.38
9a0e4437321bc421,androidx/recyclerview/widget/LinearLayoutManager,159,794,20.03
246bee4e4fe0c771,com/google/android/material/tabs/TabLayout$TabView,146,390,37.44
c03159611d90a750,androidx/appcompat/widget/SearchView,143,571,25.04
8fede959487f34b3,androidx/fragment/app/FragmentStateManager,125,410,30.49
817df53a77052200,fr/gaulupeau/apps/Poche/ui/MainActivity,117,428,27.34
1f0c7bff101eabca,com/google/android/material/appbar/AppBarLayout,115,466,24.68
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,112,527,21.25
25dadc5426a6e3ef,androidx/appcompat/widget/AppCompatTextHelper,105,379,27.7
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,104,127,81.89
ea5b16a6c0f6108f,androidx/appcompat/widget/ActionMenuPresenter,102,282,36.17
ee2fe102648091ad,androidx/appcompat/widget/ActionBarOverlayLayout,101,353,28.61
5b21e57ad3e0b7ac,androidx/recyclerview/widget/RecyclerView$LayoutManager,101,648,15.59
4996d0c46affa84b,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,101,182,55.49
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,100,297,33.67
75ad94f961d21ab5,androidx/appcompat/widget/ToolbarWidgetWrapper,98,260,37.69
c7facf91c0a4cea8,androidx/recyclerview/widget/RecyclerView$Recycler,98,602,16.28
9eb64b265d018ff5,androidx/lifecycle/LifecycleRegistry,97,144,67.36
9c731f027476cce9,com/google/android/material/shape/MaterialShapeDrawable,95,425,22.35
51458b69cce0cd0c,androidx/fragment/app/SpecialEffectsController,87,153,56.86
f349c267a86b77a6,com/google/android/material/internal/NavigationMenuPresenter,83,148,56.08
e5e8d05c24113431,androidx/fragment/app/FragmentStore,83,209,39.71
5afe8c47c5d2557e,com/google/android/material/shape/ShapeAppearanceModel,81,118,68.64
25c687cf9b27719c,com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuAdapter,79,197,40.1
feddcab31214edd6,androidx/core/view/ViewCompat,79,775,10.19
fe1c91a2a1d0a1a4,com/google/android/material/internal/NavigationMenuItemView,76,125,60.8
76e7f9b7a9e7694c,kotlin/jvm/internal/ClassReference,75,121,61.98
be154e847c4c7f8d,androidx/swiperefreshlayout/widget/SwipeRefreshLayout,72,426,16.9
c496254a6aa0a19e,androidx/activity/ComponentActivity,72,226,31.86
d86ada52df5298c3,androidx/appcompat/view/SupportMenuInflater$MenuState,72,111,64.86
246db4a645312647,com/google/android/material/shape/ShapeAppearanceModel$Builder,72,108,66.67
8b55f84748bc303e,androidx/appcompat/view/menu/ActionMenuItemView,66,134,49.25
f191cb8b2cb7c1b0,com/google/android/material/appbar/AppBarLayout$BaseBehavior,64,370,17.3
4dabd8d9ebe2cb8d,androidx/fragment/app/FragmentActivity,64,125,51.2
355df990ae974d64,androidx/core/content/res/ColorStateListInflaterCompat,62,96,64.58
424a825a09aacbcf,androidx/appcompat/app/WindowDecorActionBar,62,482,12.86
0b21de17d9a6d164,com/google/android/material/shape/ShapePath,61,113,53.98
e01a37a6825ee19a,androidx/coordinatorlayout/widget/DirectedAcyclicGraph,60,71,84.51
9272d73b6d735387,androidx/collection/ArraySet,60,219,27.4
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
44e4ca35ad3687a0,androidx/appcompat/widget/AppCompatTextView,58,243,23.87
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,57,221,25.79
64dbe736f8c25ac5,fr/gaulupeau/apps/Poche/data/Settings,56,272,20.59
ef3f81be62cf5b0c,androidx/appcompat/app/AppCompatViewInflater,52,173,30.06
15fc7dbb61588ca0,androidx/appcompat/app/AppCompatActivity,49,142,34.51
21b9b531ec03a9a3,androidx/appcompat/widget/ActionMenuView,49,318,15.41
e4297ca781b1e21c,androidx/collection/SimpleArrayMap,49,266,18.42
9f7c50df2c6e5611,androidx/fragment/app/DefaultSpecialEffectsController,49,333,14.71
d48ae7f1e6751476,androidx/core/content/res/ResourcesCompat,49,138,35.51
38c1b7b1cc61e898,androidx/appcompat/widget/ActionBarContainer,49,234,20.94
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,46,159,28.93
138606692656eeb3,org/greenrobot/eventbus/EventBus,46,248,18.55
52c85ada13609f8f,fr/gaulupeau/apps/Poche/ui/ArticleListsFragment,45,120,37.5
9b07b4aef28d3e54,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,44,277,15.88
df60e8640de6bb70,com/google/android/material/appbar/HeaderScrollingViewBehavior,43,69,62.32
cd0c0c97393e7e70,androidx/core/view/WindowInsetsCompat,42,115,36.52
610115570643abe0,androidx/fragment/app/BackStackRecord,41,355,11.55
ffcb5cd392e1f7f8,androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams,40,113,35.4
d81a6a990b19726b,androidx/appcompat/graphics/drawable/DrawerArrowDrawable,40,123,32.52
4f569f11d1a7c901,com/google/android/material/internal/ForegroundLinearLayout,39,83,46.99
3851b0081f77d125,fr/gaulupeau/apps/Poche/ui/preferences/ConnectionWizardActivity,39,147,26.53
4ad3afcc3838e514,androidx/core/view/WindowInsetsCompat$Impl20,39,125,31.2
ab4c213c94709a22,androidx/core/view/ViewCompat$UnhandledKeyEventManager,38,110,34.55
4c8980957332a502,org/greenrobot/greendao/internal/DaoConfig,37,64,57.81
94f1a47ad09dacbe,com/google/android/material/tabs/TabLayout$SlidingTabIndicator,37,126,29.37
f84489e2e2a9a80d,androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback,35,81,43.21
572f7ca900f1dfa0,androidx/activity/result/ActivityResultRegistry,35,117,29.91
1bbdec020736a791,androidx/appcompat/widget/AppCompatImageHelper,35,99,35.35
ba61e0393277dac0,fr/gaulupeau/apps/Poche/ui/RecyclerViewListFragment,32,82,39.02
8f57e1ddcbf00291,androidx/fragment/app/FragmentPagerAdapter,32,59,54.24
dee005a01b9a13a0,org/greenrobot/eventbus/SubscriberMethodFinder,32,94,34.04
a4fea270dae2312e,kotlin/collections/ArrayDeque,32,330,9.7
84f1db4d146eb4a5,androidx/arch/core/internal/SafeIterableMap,31,73,42.47
d6c54273311e9574,androidx/appcompat/widget/AppCompatButton,31,140,22.14
7cbecc82d7bbcd9b,androidx/savedstate/SavedStateRegistry,31,80,38.75
f3505722758fef0e,androidx/appcompat/view/SupportMenuInflater,31,66,46.97
aea2121933d7738e,fr/gaulupeau/apps/Poche/data/dao/DaoSession,31,43,72.09
063e142d7ee0bf4d,androidx/appcompat/widget/AppCompatCheckedTextView,30,101,29.7
1da2f24505dca265,androidx/activity/OnBackPressedDispatcher,30,117,25.64
3dc60760d31da52e,androidx/appcompat/view/menu/BaseMenuPresenter,30,64,46.88
8fc35169a2060de8,androidx/recyclerview/widget/DefaultItemAnimator,30,349,8.6
07c506f5ac29b601,androidx/lifecycle/ProcessLifecycleOwner,29,44,65.91
25cad9931e7defb6,androidx/appcompat/widget/AppCompatAutoCompleteTextView,29,95,30.53
d112f18722094191,androidx/recyclerview/widget/RecyclerView$RecycledViewPool,29,95,30.53
7f3c4943d110c273,androidx/appcompat/app/AppCompatDelegate,29,120,24.17
d02a6761e1226db0,androidx/concurrent/futures/AbstractResolvableFuture,29,302,9.6
f62eeb29f97a8c2c,androidx/appcompat/widget/TintTypedArray,29,62,46.77
4bd8366d61712ff1,androidx/fragment/app/SpecialEffectsController$Operation,29,73,39.73
f256ae16290e50a9,androidx/appcompat/app/ToolbarActionBar,28,153,18.3
ab0f4dba270c9791,androidx/lifecycle/ReportFragment,28,34,82.35
b1b7bb2fdb4d182b,androidx/appcompat/view/ContextThemeWrapper,27,55,49.09
73e1bf8225a761b5,com/google/android/material/appbar/AppBarLayout$ScrollingViewBehavior,27,72,37.5
7a0fecb02115ad76,androidx/appcompat/widget/AppCompatImageView,26,84,30.95
1c780df5d0935ea2,com/google/android/material/shape/ShapeableDelegateV22,26,74,35.14
a0a8b762a52e002d,androidx/recyclerview/widget/RecyclerView$Adapter,26,76,34.21
9302d043ac912bc4,androidx/profileinstaller/ProfileInstaller,26,81,32.1
e1be7d7e0470719f,com/google/android/material/shape/ShapePath$PathArcOperation,26,32,81.25
cdcc45642ebf6203,androidx/swiperefreshlayout/widget/CircularProgressDrawable,26,122,21.31
e2fd916b9357373c,com/facebook/stetho/inspector/elements/android/ActivityTracker,26,48,54.17
cb81c30b2710eb67,androidx/appcompat/widget/ContentFrameLayout,25,93,26.88
fe391c5cdb2872e5,androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState,25,52,48.08
cf6bbe8c40234e68,androidx/recyclerview/widget/RecyclerView$ViewHolder,25,180,13.89
530ed77698c3f0f2,com/google/android/material/navigation/NavigationView$3,24,41,58.54
d64b04e8e1acce34,fr/gaulupeau/apps/Poche/ui/ArticleListFragment,24,104,23.08
37c03958bb82dbc7,com/google/android/material/internal/ThemeEnforcement,24,57,42.11
8ffed49275d6901a,androidx/appcompat/widget/AppCompatImageButton,23,81,28.4
457b1c8cd5c0e707,androidx/recyclerview/widget/AdapterHelper,23,261,8.81
5b3905b135258b51,androidx/fragment/app/FragmentState,22,82,26.83
e0d709433d833680,fr/gaulupeau/apps/Poche/data/dao/ArticleDao$Properties,21,22,95.45
b47f14645daadac6,androidx/lifecycle/ViewModelProvider,21,35,60.0
21c7fbbd2d6c8c5d,androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal19,21,48,43.75
414f09936beb426c,androidx/coordinatorlayout/widget/ViewGroupUtils,20,27,74.07
4a0a4462d4492d2a,androidx/recyclerview/widget/ChildHelper,20,119,16.81
92b5a3df18833940,androidx/fragment/app/FragmentTransaction,20,96,20.83
9b0b3fb5e0b1846a,androidx/appcompat/widget/AppCompatBackgroundHelper,20,85,23.53
22d8e0840a52c618,com/google/android/material/tabs/TabLayout$Tab,20,84,23.81
20a8ca9729831684,com/google/android/material/shape/ShapeableDelegate,19,41,46.34
2e78b3def76482cf,androidx/profileinstaller/DeviceProfileWriter,19,143,13.29
c70020e39b0fde92,androidx/core/view/WindowInsetsCompat$BuilderImpl20,19,39,48.72
