[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-5394f5ea": Wed Sep 02 13:59:01 UTC 2026 - Wed Sep 02 13:59:02 UTC 2026
96134c58504d8206    2 of   7   shark/AndroidReferenceMatchers$TEXT_LINE__SCACHED$add$1
f746c2b924b5d94b    5 of  23   leakcanary/WorkManagerHeapAnalyzer
1724de1dcb73ca48    3 of   3   shark/AndroidReferenceMatchers$GESTURE_BOOST_MANAGER
ddfab8c829a3e493    7 of   8   curtains/internal/WindowManagerSpy$mViewsField$2
03bcf6e0987a4d25    1 of   2   androidx/core/content/pm/ShortcutInfoCompatSaver
ef5f4d7e7b3b191f    4 of  87   androidx/core/graphics/drawable/IconCompat$Api23Impl
d185c69626a729b3    4 of   4   leakcanary/internal/HandlersKt$mainHandler$2
f6f9faeac39eff85   29 of 100   okhttp3/Request$Builder
340f05647ca9fdc8    3 of   3   shark/AndroidReferenceMatchers$CONNECTIVITY_MANAGER_CALLBACK_HANDLER
e2c25f8c10afadeb   11 of  32   kotlinx/coroutines/DebugKt
a3b8fbd887525739    2 of   2   kotlin/UNINITIALIZED_VALUE
8dde7744f76c55fa    2 of   9   shark/AndroidReferenceMatchers$SPEN_GESTURE_MANAGER$add$1
466c0598cd4e16b4    5 of  76   okio/_UtilKt
fdb17b6c12d8bc0b   10 of  46   io/reactivex/rxjava3/internal/schedulers/SingleScheduler
fc5b338fc90e86cb    1 of  34   com/google/android/gms/internal/mlkit_language_id_bundled/zbd
8fa820763d8afa45    4 of  17   leakcanary/AndroidLeakFixes$SAMSUNG_CLIPBOARD_MANAGER
fcd6438b9858df17    2 of   9   shark/AndroidReferenceMatchers$MEDIA_PROJECTION_CALLBACK$add$1
d8058cd252853e41    3 of   3   org/wikipedia/WikipediaApp$mainThreadHandler$2
8440fe80d07662a5    5 of   5   com/google/android/datatransport/runtime/scheduling/persistence/EventStoreModule_SchemaVersionFactory
e7c5fa5396644be1    1 of  91   com/google/android/datatransport/runtime/scheduling/jobscheduling/Uploader
069f6997edc38ad8   14 of 10166   kotlin/collections/ArraysKt___ArraysKt
1323b0644cd39780    6 of   8   leakcanary/internal/InternalLeakCanary$isInstantApp$2
40404dd3875422d1    4 of  12   androidx/core/app/NotificationManagerCompat$Api26Impl
fa735c1e6b21ad5b    2 of   4   com/google/mlkit/common/internal/zza
fa9788481588474c   43 of 151   org/wikipedia/WikipediaApp
f324d35b9cb534d7    3 of   3   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key
e10c68c6bd5d148a   25 of  73   kotlinx/serialization/json/JsonBuilder
b9b33fa9fe9e58a5    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$6
53e1c88966136559    2 of   6   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key$1
8a08215081019a7b    2 of  16   okhttp3/TlsVersion$Companion
f6f25c67a3fce14d    2 of   9   shark/AndroidReferenceMatchers$VIEW_CONFIGURATION__MCONTEXT$add$1
66b5567ab6933e78    3 of  46   okhttp3/internal/platform/android/AndroidSocketAdapter
a4f41a332652c0b0    5 of  14   io/reactivex/rxjava3/internal/schedulers/IoScheduler$EventLoopWorker
e7995f2c403e90ad    2 of   9   shark/AndroidReferenceMatchers$ACTIVITY_TRANSITION_STATE__M_EXITING_TO_VIEW$add$1
5c1a13dda20f3def    2 of   4   com/google/mlkit/nl/languageid/bundled/internal/zba
45f74ca36613ef6d   18 of  29   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$lazyDelegate$1
3fb64d32bada886f   18 of  29   androidx/sqlite/util/ProcessLock
b5ce0ce1d90bc811    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$5
99154c2d9aa357ae   40 of  75   okhttp3/HttpUrl$Builder$Companion
0d8b09e4e4dac883   10 of 213   com/google/firebase/installations/FirebaseInstallations
7a1027d2e4c9a93c    2 of   2   okhttp3/EventListener$Companion
b518a37ea0d74686    1 of   3   okhttp3/logging/HttpLoggingInterceptor$Logger$Companion$DefaultLogger
9ce54f5ae07f1bf8    2 of 1323   io/reactivex/rxjava3/core/Flowable
7f43f79e16901e75    9 of  31   kotlinx/coroutines/internal/LockFreeTaskQueue
a1e7e46d36d59b67   24 of  49   retrofit2/Retrofit$Builder
b4ae71ba7036451a    2 of  18   okhttp3/RequestBody
d47d9f7e12fe31c7    2 of   8   androidx/work/impl/constraints/controllers/StorageNotLowController
11fd61b8c09a00e4   24 of  24   com/google/firebase/messaging/FirebaseMessagingRegistrar
706a55191eed13a2    2 of   7   shark/AndroidReferenceMatchers$ACCOUNT_MANAGER$add$1
2c334132f04ef572    2 of  42   com/google/android/gms/common/util/PlatformVersion
400e269f6597db3b   77 of 310   kotlinx/coroutines/scheduling/CoroutineScheduler
c2f2d23261ac7953    3 of  61   androidx/room/DatabaseConfiguration
22eb3b5e4e818774    5 of  68   com/google/android/gms/internal/mlkit_language_id_bundled/zbj
27a11b05bb80d764    3 of   6   leakcanary/LazyForwardingEventListener
8bf178ffa8bc43f0    6 of   6   com/google/android/datatransport/runtime/DaggerTransportRuntimeComponent$Builder
f73d66e93241f3d1    2 of   7   shark/AndroidReferenceMatchers$CONNECTIVITY_MANAGER__SINSTANCE$add$1
bffe630cd6c55a73    1 of   3   shark/AndroidObjectInspectors$RECOMPOSER
398bba3562b0b14b    1 of   3   shark/AndroidObjectInspectors$Companion$createLeakingObjectFilters$2$1
3e7c3ab484b0203d    3 of   3   okhttp3/internal/platform/android/BouncyCastleSocketAdapter$Companion
3a4143bbdf8e4e33   14 of  30   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper
6f41c47b7a87e9f4    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
415e7f9ace1fd090    2 of   7   kotlinx/coroutines/Unconfined
f813ddb40f1f5af6    2 of   8   androidx/work/impl/constraints/trackers/NetworkStateTracker24$networkCallback$1
8e676954b27cc500   27 of 362   com/google/android/datatransport/runtime/scheduling/persistence/SQLiteEventStore
40713d78289a7dc2    3 of   3   shark/AndroidReferenceMatchers$TOAST_TN
414fe26f9e12dd63    3 of   3   shark/AndroidReferenceMatchers$SEM_EMERGENCY_MANAGER__MCONTEXT
bc85674cac608fff    3 of   3   shark/AndroidReferenceMatchers$AW_RESOURCE__SRESOURCES
884fa7a4f731e08d    3 of   3   shark/AndroidReferenceMatchers$BIOMETRIC_PROMPT
b0b6fa9c3685b4f8    2 of   4   shark/AndroidObjectInspectors$WINDOW
299cd3f179fb43cc    2 of  73   androidx/core/util/Preconditions
ec8c856336997f2d    7 of  44   kotlin/KotlinVersion
fbffcde756aae8e9    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$1
aae123a64512ec0b    2 of   4   com/google/android/gms/cloudmessaging/zzaa
5a74ac5a47615111    2 of 177   kotlinx/coroutines/EventLoopImplBase
