class_id,class_name,probes_hit,probes_total,pct
fd0e8a2435afc382,androidx/recyclerview/widget/RecyclerView,374,2264,16.52
ba845fb05849c4e8,androidx/fragment/app/FragmentManager,347,1316,26.37
1dbd100de22de3df,com/google/android/material/tabs/TabLayout,239,671,35.62
9a0e4437321bc421,androidx/recyclerview/widget/LinearLayoutManager,235,794,29.6
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,232,1610,14.41
8fb0281449d47662,androidx/appcompat/app/AppCompatDelegateImpl,224,1299,17.24
4d8c3bd8cd45ed74,androidx/fragment/app/Fragment,203,757,26.82
e31dc597dd9dee92,okhttp3/internal/Util,195,452,43.14
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,192,598,32.11
589c1b274a3a8ce1,com/google/android/material/shape/MaterialShapeDrawable,191,422,45.26
5feebb286bc06819,com/google/android/material/navigation/NavigationBarItemView,182,392,46.43
8b6ec6d79019b755,okio/Buffer,182,931,19.55
6353dc13eb6ccd69,okhttp3/HttpUrl$Builder,163,390,41.79
6bd15b036d2fdffd,com/google/android/material/navigation/NavigationBarMenuView,146,347,42.07
fe157c3e0bf2d8f1,okhttp3/internal/connection/RealCall,143,261,54.79
0900ac84ab86b186,com/google/android/material/tabs/TabLayout$TabView,143,392,36.48
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,142,460,30.87
009dc7d51381a691,okhttp3/internal/connection/RealConnection,133,378,35.19
044ddadea10e405d,androidx/appcompat/widget/Toolbar,132,941,14.03
1f35d26e31c9b893,okhttp3/Cookie$Companion,132,211,62.56
8eb93fbc6021b3f1,androidx/recyclerview/widget/RecyclerView$LayoutManager,131,640,20.47
7f726bf53cbe70ca,androidx/work/impl/model/WorkSpecDao_Impl,129,1169,11.04
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,128,645,19.84
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,128,430,29.77
0b6aa382af71ab31,androidx/recyclerview/widget/RecyclerView$Recycler,128,554,23.1
bd7f67d34f987e92,okhttp3/CipherSuite,127,130,97.69
6120c23f1960e8a1,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,127,182,69.78
c62a7cb2d9904d42,kotlinx/serialization/json/internal/StreamingJsonDecoder,112,219,51.14
795f3bd8e006815f,androidx/core/view/ViewCompat,109,884,12.33
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
d785ff28f354ad26,com/google/firebase/components/ComponentRuntime,107,163,65.64
0d8b09e4e4dac883,com/google/firebase/installations/FirebaseInstallations,107,213,50.23
