[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/commons-2.7.1-_1581_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-a7a3694a": Mon Aug 17 16:25:55 UTC 2026 - Mon Aug 17 16:26:33 UTC 2026
fcecfdd0cb5d048c    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$22
bc5c6768e7236145    1 of   2   android/support/v7/appcompat/R$styleable
4eb23c33b785f881    5 of  31   fr/free/nrw/commons/auth/SessionManager
33e774b8e6e61c67   14 of  25   fr/free/nrw/commons/di/ApplicationlessInjection
a57ebbfe23287e89    1 of   5   fr/free/nrw/commons/di/CommonsDaggerAppCompatActivity_MembersInjector
eb1570a6e62c6a0e    6 of   9   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$CategoryContentProviderSubcomponentBuilder
331976fee6eaf86c   13 of  18   fr/free/nrw/commons/auth/LoginActivity_ViewBinding
f107b9edec6a7964    2 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideCategoryContentProviderClientFactory
3ce19aa4db86a956    7 of   7   fr/free/nrw/commons/di/CommonsApplicationModule_ProvidesSessionManagerFactory
082f732ab13a9131    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$16
6c0640714857f9f5    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$20
52ad899d22db80d3   10 of  12   fr/free/nrw/commons/WelcomeActivity
b641ab61fc9812b8    7 of   7   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$CategoryContentProviderSubcomponentImpl
befbbefca8c67a39   12 of  44   fr/free/nrw/commons/CommonsApplication
bbea5a0bc696a03f    1 of   5   fr/free/nrw/commons/contributions/ContributionsContentProvider_MembersInjector
27e2d09659c3f410    2 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideContributionContentProviderClientFactory
b82acf9326b32fcb    6 of   9   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$ModificationsContentProviderSubcomponentBuilder
e862cd2fad62a321    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$3
ffa7f73e5f66cb69    3 of   7   fr/free/nrw/commons/WelcomeActivity_ViewBinding
ca5c20d473e7e676    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$14
d88d40acc30dda9f    2 of  15   fr/free/nrw/commons/auth/LoginActivity$LoginTextWatcher
3d6ca3ce69ff506b    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$6
ce9a760fb06c6020    5 of  45   fr/free/nrw/commons/contributions/ContributionsContentProvider
d0b99d49d85f7171    7 of   7   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$ContributionsContentProviderSubcomponentImpl
e8b1d0655f1b6ac3    3 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$25
1c25cd6ca09638cb    1 of   2   fr/free/nrw/commons/BuildConfig
04250271f2377c37    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$4
62c2eb9efc701677    6 of  15   fr/free/nrw/commons/di/ApplicationlessInjection_MembersInjector
3353eb8561fd7964    1 of   2   android/support/design/R$styleable
8e646286f8e624f0    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$7
283db7b34d73436e    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$15
781a9d248ac62b82    5 of  41   fr/free/nrw/commons/modifications/ModificationsContentProvider
6f9c429a4d222a13    2 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideNearbyPlacesFactory
60dee27e5d844abe   12 of  53   fr/free/nrw/commons/JacocoInstrument/JacocoInstrumentation
153278acd8a69441    4 of   6   fr/free/nrw/commons/di/CommonsDaggerContentProvider
98858ac74d5a9863    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$11
8aeb12f40a54ef65    5 of  39   fr/free/nrw/commons/category/CategoryContentProvider
f82cb7fd8b51f340    7 of   7   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$WelcomeActivitySubcomponentImpl
0ec31cfcbf76d5fa    6 of   8   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$WelcomeActivitySubcomponentBuilder
2905bc96663b9e34    7 of   7   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$ModificationsContentProviderSubcomponentImpl
c98a56d31ce321d3  172 of 228   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent
3b0f12fcd2103e04    5 of   8   fr/free/nrw/commons/di/CommonsDaggerAppCompatActivity
d247ed4b79d0d333    2 of   4   fr/free/nrw/commons/notification/NotificationController_Factory
ff04942b7b075694    6 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvidesDefaultSharedPreferencesFactory
9e36f8bfe22848a9    6 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideDBOpenHelperFactory
c4c0711b4db0ff08    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$17
690ecd0244f2ac0a    2 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideModificationContentProviderClientFactory
5eda3cf1a8b7f464    5 of   7   fr/free/nrw/commons/ui/widget/HtmlTextView
43ebebd0c3e7a881    1 of  76   fr/free/nrw/commons/Utils
c00c09e7a0e1cfb5    6 of   9   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$Builder
9f58142f71e44814   11 of 273   fr/free/nrw/commons/mwapi/ApacheHttpClientMediaWikiApi
9de0ade972a6f9ea    6 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvidesApplicationContextFactory
93e28a2b3ddc77c1    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$19
3a61e4e0e2501eab    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$9
3baeb113700853e3    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$12
28327b950a95509b    6 of   9   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$ContributionsContentProviderSubcomponentBuilder
671613be2ac73d49    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$5
27dc58c043060649    5 of  13   fr/free/nrw/commons/CommonsApplication_MembersInjector
f9b2f29b7bed3938    3 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$24
cb5908b9b1a4881c    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$1
63f1893804b681fa    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$13
4a8882151214200e    1 of   2   fr/free/nrw/commons/auth/LoginActivity_ViewBinding$1
aa6ca1611c5a9de4    1 of   1   fr/free/nrw/commons/di/ActivityBuilderModule_BindWelcomeActivity$WelcomeActivitySubcomponent$Builder
eaeb4583ac23dbce    1 of   5   fr/free/nrw/commons/category/CategoryContentProvider_MembersInjector
555096c3f4bc6c02    3 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$2
cc9aa0fc61b15f13    6 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideMediaWikiApiFactory
e8411484abeec92d    1 of   1   fr/free/nrw/commons/di/ContentProviderBuilderModule_BindModificationsContentProvider$ModificationsContentProviderSubcomponent$Builder
7745eca3dd2b3fd5   10 of  15   fr/free/nrw/commons/WelcomePagerAdapter
516355849174b22d    1 of   1   fr/free/nrw/commons/di/ContentProviderBuilderModule_BindContributionsContentProvider$ContributionsContentProviderSubcomponent$Builder
d022b49ad901c1e6    4 of   7   fr/free/nrw/commons/JacocoInstrument/SMSInstrumentedReceiver
0f059b6fafec67db    5 of  13   fr/free/nrw/commons/auth/LoginActivity_MembersInjector
bacebcc94f1e1719    2 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideLocationServiceManagerFactory
b2caf068b7b22f45    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$21
e1f5e4f0a803dc5e    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$10
1062efa622372d0c   49 of 180   fr/free/nrw/commons/auth/LoginActivity
17ce95d85062b06d    3 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$23
3a8a021b00875942    1 of   1   fr/free/nrw/commons/di/ContentProviderBuilderModule_BindCategoryContentProvider$CategoryContentProviderSubcomponent$Builder
0d67ed83ea802908    1 of   2   android/support/v7/cardview/R$styleable
d668c3ef51b445e0    2 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideCacheControllerFactory
b65dbd9da77d7d05    6 of  12   fr/free/nrw/commons/theme/BaseActivity
c19210380db228c0    9 of  18   fr/free/nrw/commons/di/CommonsApplicationModule
6659ff8fc1fd3c7f    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$18
62da8137cc841949    1 of  18   fr/free/nrw/commons/auth/AccountUtil
0c3231fd3e71a87b    1 of   7   fr/free/nrw/commons/data/DBOpenHelper
7a2ea65dae5fb4ba    1 of   2   com/viewpagerindicator/R$styleable
8091f4af4b7a9671    2 of   6   fr/free/nrw/commons/di/CommonsApplicationModule_ProvideLruCacheFactory
1001aadcfc35b84c    1 of   5   fr/free/nrw/commons/modifications/ModificationsContentProvider_MembersInjector
763121cef1333a20    1 of   3   fr/free/nrw/commons/di/DaggerCommonsApplicationComponent$8

