[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/geohashdroid-0.9.4-_73-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-ab7b6d": Mon Aug 17 13:05:14 UTC 2026 - Mon Aug 17 13:06:08 UTC 2026
0e1d088449ec3f24    1 of   5   net/exclaimindustries/geohashdroid/util/VersionHistoryParser$VersionEntry$1
8718b5f9e21bce3e   21 of 123   net/exclaimindustries/geohashdroid/util/HashBuilder
e2b46d611dd2c35e    4 of  10   net/exclaimindustries/tools/LocationUtil
98c7245fc03bfd46   38 of  61   net/exclaimindustries/geohashdroid/widgets/ZoomButtons
e064f93eec1ba9d5    6 of  10   net/exclaimindustries/geohashdroid/widgets/ErrorBanner$1
0772ee2974a82437   10 of  19   net/exclaimindustries/tools/AndroidUtil
de2e1c354e43fedf   13 of  53   net/exclaimindustries/geohashdroid/activities/CentralMap$CentralMapMode
e24a91fc1bdeb389   13 of  28   net/exclaimindustries/geohashdroid/activities/BaseMapActivity
5c009352e7ddb633   35 of 294   net/exclaimindustries/geohashdroid/services/AlarmService
b39468cc9936665c   36 of  51   net/exclaimindustries/geohashdroid/widgets/ErrorBanner
004dd990f9d654ae    5 of  10   net/exclaimindustries/geohashdroid/services/AlarmService$StockReceiver
1695cc00430b7d10  131 of 356   net/exclaimindustries/geohashdroid/activities/CentralMap
bebe5849587e70ca    3 of  23   net/exclaimindustries/geohashdroid/util/VersionHistoryParser$VersionEntry
5391d7fd395a0045    3 of  10   net/exclaimindustries/geohashdroid/util/StockStoreDatabase$DatabaseHelper
7cc9a1638cffc128    4 of   5   net/exclaimindustries/geohashdroid/activities/CentralMap$1
b10b508b9052a498   90 of 465   net/exclaimindustries/geohashdroid/util/ExpeditionMode
1f3e02debbadac13   26 of  78   net/exclaimindustries/geohashdroid/services/StockService
9a3715b64a8448cb   55 of 101   net/exclaimindustries/geohashdroid/widgets/InfoBox
ae3ec6b4a9005411    5 of  19   net/exclaimindustries/tools/DateTools
ddd23ca2f68812bf   22 of  50   net/exclaimindustries/geohashdroid/activities/CentralMap$StockReceiver
b3ed2729453826c2    4 of   7   net/exclaimindustries/geohashdroid/JacocoInstrument/SMSInstrumentedReceiver
8fde3056c38e6834    3 of   5   net/exclaimindustries/geohashdroid/util/Graticule$1
a86c16087c41ffbd    1 of   5   net/exclaimindustries/geohashdroid/util/KnownLocation$1
7ad568b7f58e0540    1 of   2   com/google/android/gms/maps/R$styleable
978efba857e38e76   21 of 103   net/exclaimindustries/geohashdroid/util/StockStoreDatabase
d7d53170f298cba8   13 of 126   net/exclaimindustries/geohashdroid/util/Info
667897647df030d8    6 of 165   net/exclaimindustries/geohashdroid/util/KnownLocation
2bac278188ca42d3   22 of  83   net/exclaimindustries/geohashdroid/util/UnitConverter
b383e51f61e17bcd   11 of  16   net/exclaimindustries/geohashdroid/fragments/VersionHistoryDialogFragment
813cd35af3b71970   34 of  64   net/exclaimindustries/geohashdroid/util/HashBuilder$StockRunner
126c351ce933bca1    4 of   5   net/exclaimindustries/geohashdroid/util/HashBuilder$StockRunner$1
774b8603921a54ae   20 of  26   net/exclaimindustries/geohashdroid/fragments/VersionHistoryDialogFragment$EntryAdapter
65b972dfad365dd4   12 of  53   net/exclaimindustries/geohashdroid/JacocoInstrument/JacocoInstrumentation
f29c04d80f42156a    6 of   7   net/exclaimindustries/geohashdroid/widgets/ErrorBanner$Status
1cacf3c5b3605a35   34 of 150   net/exclaimindustries/geohashdroid/util/Graticule
1e134fb0f5648e43   27 of  38   net/exclaimindustries/geohashdroid/util/VersionHistoryParser
f3338d5433155d67    1 of   5   net/exclaimindustries/geohashdroid/util/Info$1
595ea8e10195b5da   12 of  25   net/exclaimindustries/geohashdroid/activities/BaseGHDThemeActivity

