class_id,class_name,probes_hit,probes_total,pct
b10b508b9052a498,net/exclaimindustries/geohashdroid/util/ExpeditionMode,168,465,36.13
1695cc00430b7d10,net/exclaimindustries/geohashdroid/activities/CentralMap,140,356,39.33
8718b5f9e21bce3e,net/exclaimindustries/geohashdroid/util/HashBuilder,69,123,56.1
9a3715b64a8448cb,net/exclaimindustries/geohashdroid/widgets/InfoBox,65,101,64.36
1cacf3c5b3605a35,net/exclaimindustries/geohashdroid/util/Graticule,65,150,43.33
978efba857e38e76,net/exclaimindustries/geohashdroid/util/StockStoreDatabase,61,103,59.22
d7d53170f298cba8,net/exclaimindustries/geohashdroid/util/Info,57,126,45.24
1f3e02debbadac13,net/exclaimindustries/geohashdroid/services/StockService,45,78,57.69
813cd35af3b71970,net/exclaimindustries/geohashdroid/util/HashBuilder$StockRunner,44,64,68.75
98c7245fc03bfd46,net/exclaimindustries/geohashdroid/widgets/ZoomButtons,38,61,62.3
5c009352e7ddb633,net/exclaimindustries/geohashdroid/services/AlarmService,35,294,11.9
b39468cc9936665c,net/exclaimindustries/geohashdroid/widgets/ErrorBanner,34,51,66.67
2bac278188ca42d3,net/exclaimindustries/geohashdroid/util/UnitConverter,29,83,34.94
de2e1c354e43fedf,net/exclaimindustries/geohashdroid/activities/CentralMap$CentralMapMode,28,53,52.83
1e134fb0f5648e43,net/exclaimindustries/geohashdroid/util/VersionHistoryParser,27,38,71.05
774b8603921a54ae,net/exclaimindustries/geohashdroid/fragments/VersionHistoryDialogFragment$EntryAdapter,20,26,76.92
ddd23ca2f68812bf,net/exclaimindustries/geohashdroid/activities/CentralMap$StockReceiver,19,50,38.0
78d9fa73149f8c16,net/exclaimindustries/tools/CharToByte,15,21,71.43
e24a91fc1bdeb389,net/exclaimindustries/geohashdroid/activities/BaseMapActivity,13,28,46.43
65b972dfad365dd4,net/exclaimindustries/geohashdroid/JacocoInstrument/JacocoInstrumentation,12,53,22.64
595ea8e10195b5da,net/exclaimindustries/geohashdroid/activities/BaseGHDThemeActivity,12,25,48.0
b383e51f61e17bcd,net/exclaimindustries/geohashdroid/fragments/VersionHistoryDialogFragment,11,16,68.75
0772ee2974a82437,net/exclaimindustries/tools/AndroidUtil,10,19,52.63
c1b37bca6de0fffd,net/exclaimindustries/tools/HexFraction,10,11,90.91
ae3ec6b4a9005411,net/exclaimindustries/tools/DateTools,8,19,42.11
e064f93eec1ba9d5,net/exclaimindustries/geohashdroid/widgets/ErrorBanner$1,6,10,60.0
667897647df030d8,net/exclaimindustries/geohashdroid/util/KnownLocation,6,165,3.64
f29c04d80f42156a,net/exclaimindustries/geohashdroid/widgets/ErrorBanner$Status,6,7,85.71
e2b46d611dd2c35e,net/exclaimindustries/tools/LocationUtil,5,10,50.0
004dd990f9d654ae,net/exclaimindustries/geohashdroid/services/AlarmService$StockReceiver,5,10,50.0
7cc9a1638cffc128,net/exclaimindustries/geohashdroid/activities/CentralMap$1,4,5,80.0
b3ed2729453826c2,net/exclaimindustries/geohashdroid/JacocoInstrument/SMSInstrumentedReceiver,4,7,57.14
126c351ce933bca1,net/exclaimindustries/geohashdroid/util/HashBuilder$StockRunner$1,4,5,80.0
bebe5849587e70ca,net/exclaimindustries/geohashdroid/util/VersionHistoryParser$VersionEntry,3,23,13.04
5391d7fd395a0045,net/exclaimindustries/geohashdroid/util/StockStoreDatabase$DatabaseHelper,3,10,30.0
8fde3056c38e6834,net/exclaimindustries/geohashdroid/util/Graticule$1,3,5,60.0
f3338d5433155d67,net/exclaimindustries/geohashdroid/util/Info$1,3,5,60.0
5a55ebbaeab3b306,net/exclaimindustries/tools/MD5Tools,2,4,50.0
0e1d088449ec3f24,net/exclaimindustries/geohashdroid/util/VersionHistoryParser$VersionEntry$1,1,5,20.0
a86c16087c41ffbd,net/exclaimindustries/geohashdroid/util/KnownLocation$1,1,5,20.0
7ad568b7f58e0540,com/google/android/gms/maps/R$styleable,1,2,50.0
