[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/newpipe-_v0.25.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-b70feb50": Wed Sep 02 13:59:53 UTC 2026 - Wed Sep 02 14:00:14 UTC 2026
69cad7e15af6b4de    3 of   3   shark/AndroidReferenceMatchers$ACCOUNT_MANAGER
d14afec0e3ce4c47    1 of   2   androidx/fragment/R$styleable
dc468446e0a3e8a0    6 of  39   androidx/room/InvalidationTracker$ObserverWrapper
032d540a409397b2   12 of  28   okhttp3/Route
e3233f9c63280f90   72 of 301   androidx/fragment/app/BackStackRecord
555eb83c963c1b56    2 of  42   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions
f6f9faeac39eff85   41 of 100   okhttp3/Request$Builder
09aa107ee0e1293b   36 of  95   androidx/work/impl/background/greedy/GreedyScheduler
aa3c1fc7ae360bdf    2 of   9   androidx/sqlite/db/SupportSQLiteCompat$Api16Impl
d3c2933f787ef890    1 of  33   com/squareup/picasso/RequestHandler
edc747c8e3a1f9bd    2 of   2   androidx/fragment/app/FragmentManager$3
3c7d644ee816a031    2 of   3   okhttp3/internal/connection/RealCall$CallReference
3623f1c007632095    5 of   5   leakcanary/internal/ViewModelClearedWatcher$Companion
8ff58a434dd5087f   13 of  24   androidx/recyclerview/widget/ViewBoundsCheck$BoundFlags
b1d7136aa6c98468    6 of   8   androidx/constraintlayout/core/SolverVariable$Type
e9f05d215e262ad6    2 of   4   com/google/android/material/shape/CornerTreatment
8a08215081019a7b    6 of  16   okhttp3/TlsVersion$Companion
ac2eae25fb79c957    9 of  37   org/schabi/newpipe/error/ErrorInfo$Companion
3223803585d9f7e8   15 of  33   androidx/cardview/widget/CardViewApi21Impl
3341088a56f8bd1b    2 of   2   io/reactivex/rxjava3/internal/operators/flowable/FlowableThrottleLatest
ab1dc13ff6cb1cc0    1 of   2   androidx/fragment/app/Fragment$1
36b47a0dc4047891    2 of   6   androidx/work/impl/utils/futures/DirectExecutor
c7c5d0044cddab33    3 of  73   androidx/core/util/Preconditions
05139d61cef476a9   13 of 194   androidx/core/app/NotificationManagerCompat
6fb6678e43e12bf6    2 of  15   org/schabi/newpipe/extractor/services/peertube/PeertubeInstance
600661fadad6bb1a    7 of  25   org/acra/builder/LastActivityManager
2e4ddeb4f42154ec    9 of  17   androidx/room/RoomDatabase$JournalMode
e567ac62698cf0bd    3 of   4   androidx/core/content/res/ResourcesCompat$ColorStateListCacheEntry
7a1027d2e4c9a93c    2 of   2   okhttp3/EventListener$Companion
b4ae71ba7036451a    4 of  18   okhttp3/RequestBody
45878af2ecb943f5    5 of   9   androidx/appcompat/app/ToolbarActionBar$ToolbarMenuCallback
52cea5a166f901af    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
227a3efae8dd1467    5 of   5   shark/AndroidReferenceMatchers$CLIPBOARD_EX_MANAGER
bf32139071710dee    5 of   6   org/schabi/newpipe/settings/tabs/Tab$FeedTab
27a11b05bb80d764    3 of   6   leakcanary/LazyForwardingEventListener
7a017905348417c0    5 of  18   org/schabi/newpipe/fragments/list/kiosk/KioskFragment$$Icepick
6c1f46d2c6a61c29    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$HeaderViewHolder
bffe630cd6c55a73    1 of   3   shark/AndroidObjectInspectors$RECOMPOSER
398bba3562b0b14b    1 of   3   shark/AndroidObjectInspectors$Companion$createLeakingObjectFilters$2$1
3e7c3ab484b0203d    3 of   3   okhttp3/internal/platform/android/BouncyCastleSocketAdapter$Companion
da22e826d7055546    1 of   6   androidx/activity/ComponentActivity$1
5786ca3f9363ee90    2 of  68   androidx/core/graphics/TypefaceCompatBaseImpl
ef18a57a1065aa4c    2 of  30   kotlin/collections/AbstractList
da75c134b6930d9e    7 of   9   androidx/work/impl/WorkerWrapper$Builder
59ce4420659d183e   11 of  21   io/reactivex/rxjava3/internal/operators/flowable/FlowableUnsubscribeOn$UnsubscribeSubscriber
e966da7fe57f3628    3 of   3   shark/AndroidReferenceMatchers$SPEECH_RECOGNIZER
817d6019b2d383e6    1 of   3   androidx/viewpager/widget/ViewPager$PagerObserver
e5000bccfdf2d36a   45 of  89   org/schabi/newpipe/local/feed/FeedViewModel
d73f0346e2516670    4 of   4   shark/AndroidReferenceMatchers$TEXT_TO_SPEECH
83db9a23d3816a22  138 of 372   com/google/android/material/tabs/TabLayout$TabView
d26c0f778fbae2fc    2 of   2   org/acra/collector/DropBoxCollector$Companion
a1f75b8ae5f9ffe5    8 of  12   org/schabi/newpipe/database/feed/dao/FeedDAO_Impl$10
b8d06c4f43697794   35 of 114   androidx/recyclerview/widget/DiffUtil$DiffResult
f223c50c68592f15    4 of   4   androidx/savedstate/SavedStateRegistryController$Companion
af1394f4946e3fed   17 of  21   androidx/arch/core/internal/SafeIterableMap$ListIterator
9b0b3fb5e0b1846a   20 of  85   androidx/appcompat/widget/AppCompatBackgroundHelper
8e7a64963bcbf140    1 of  14   androidx/appcompat/widget/ActionMenuPresenter$PopupPresenterCallback
1fb8a8f6add05af7    9 of  61   com/grack/nanojson/JsonBuilder
f78bc1707c4ccada    3 of   3   io/reactivex/rxjava3/internal/schedulers/SchedulerPoolFactory$SystemPropertyAccessor
fdc3f74037314ddf   19 of 128   org/schabi/newpipe/util/ExtractorHelper
39188882d94b48bf   12 of  36   androidx/appcompat/widget/RtlSpacingHelper
07a431dac35a354b    3 of   3   shark/AndroidReferenceMatchers$FINALIZER_WATCHDOG_DAEMON
677e8c9c4b96f01b    5 of   7   okhttp3/internal/http/RealResponseBody
7f45f9867aff9c49    5 of  16   org/schabi/newpipe/local/subscription/SubscriptionFragment$$Icepick
3297e748f98dec27    9 of  21   org/schabi/newpipe/database/playlist/dao/PlaylistStreamDAO_Impl$10
a973e1ffb4deac24    1 of   7   com/google/android/material/navigation/NavigationView$1
fc7967a16abe011c   23 of  26   androidx/work/impl/WorkDatabase
3ded29b858f83cd7    3 of   3   shark/AndroidReferenceMatchers$BIOMETRIC_PROMPT
807a040024e880e9   10 of  17   io/reactivex/rxjava3/internal/operators/single/SingleObserveOn$ObserveOnSingleObserver
4b58e155499983e8   31 of  78   okhttp3/Headers$Companion
2e6a8111f5cb3acd    2 of  10   shark/AndroidReferenceMatchers$TEXT_VIEW__MLAST_HOVERED_VIEW$add$1
93ced5b8a334e53c    1 of   2   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper$1
b162aea459e89650    3 of  23   org/schabi/newpipe/extractor/utils/Parser
b5510d8946ffbe58    3 of  18   org/schabi/newpipe/fragments/list/BaseListInfoFragment$$Icepick
8eea7eae1f326ff6    3 of   6   androidx/work/ListenableWorker$Result
638caf9e7d952104   13 of  70   okio/ByteString$Companion
6231d92037e51c71    1 of  10   androidx/lifecycle/ViewTreeViewModelStoreOwner
33a28ba616223ea3    3 of  55   org/schabi/newpipe/views/SuperScrollLayoutManager
bef6c048a9df67e9   14 of  31   androidx/recyclerview/widget/ViewBoundsCheck
3f67912c1d75b3b4    2 of   3   leakcanary/AndroidLeakFixes$MEDIA_SESSION_LEGACY_HELPER
aa9f4db79ffa7858    1 of   1   io/reactivex/rxjava3/internal/schedulers/RxThreadFactory$RxCustomThread
1b0a2152483a72ec    8 of  14   org/schabi/newpipe/local/feed/service/FeedEventManager
7c90639f29bc4622    4 of   6   leakcanary/ActivityWatcher
dbb8defb2ef1fb23    3 of   9   okhttp3/internal/http/StatusLine
c9936d6356c6e2a4    2 of  38   shark/LibraryLeakReferenceMatcher
04ae3784555946e0    5 of   6   leakcanary/internal/InternalLeakCanary$isDebuggableBuild$2
a60cfebaeea9268a   18 of  25   org/schabi/newpipe/ktx/ExceptionUtils
bb1c877276850a7c    4 of  28   io/reactivex/rxjava3/android/plugins/RxAndroidPlugins
62a1ade9dfe8c038    4 of   4   androidx/interpolator/view/animation/LookupTableInterpolator
5cdddb23039804ff   17 of 111   androidx/work/impl/model/WorkSpec
58cad66cf7e8e9d7    1 of   2   org/schabi/newpipe/database/feed/dao/FeedDAO_Impl$4
eb6646076466899b   22 of 236   com/squareup/picasso/Dispatcher
5b9b7f12f6b582a2    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
e29c53b955018484    2 of   5   okhttp3/ResponseBody$Companion$asResponseBody$1
500880fc6947691f    4 of   4   leakcanary/internal/ObjectsKt$NO_OP_HANDLER$1
6ed09c3e46d71497    5 of  27   org/schabi/newpipe/info_list/InfoItemBuilder
52f6319bbfed7c30    3 of   4   androidx/room/RoomDatabase$Callback
5b610ced7009f737   52 of 105   okhttp3/internal/tls/OkHostnameVerifier
698d2d5265e0518c    4 of   4   okhttp3/internal/cache/CacheStrategy
d30a76abdf8afa9e    1 of   7   androidx/viewpager/widget/ViewPager$ViewPositionComparator
a2901c56b7aaf9d9    3 of   3   androidx/arch/core/internal/SafeIterableMap$DescendingIterator
90db7f988437dbc3    4 of   4   okhttp3/internal/http2/Http2Connection$ReaderRunnable$applyAndAckSettings$lambda-7$lambda-6$$inlined$execute$default$1
b3c074b692b0657c    2 of   2   androidx/fragment/app/Fragment$OnPreAttachedListener
2cfecccd3586c50e    2 of  14   org/acra/collector/ThreadCollector
f622755583ae0062    8 of  20   androidx/core/view/ViewCompat$Api16Impl
4743f42e5f1f1cb2   13 of  54   okhttp3/Request
2a3c9547ec391386   12 of  44   com/google/android/material/elevation/ElevationOverlayProvider
8a9de3c6b34cdad2    6 of  23   kotlin/ExceptionsKt__ExceptionsKt
18bfcce155c2c154   32 of  73   androidx/arch/core/internal/SafeIterableMap
657de3a5aa75fc67    8 of  10   org/acra/prefs/SharedPreferencesFactory$Companion
7105b0b75110806f    2 of   9   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE$add$1
e606fbe3bc6c4144    1 of   2   androidx/core/R$styleable
1bd47028c90da23e    1 of   8   okhttp3/internal/connection/RealConnection$connectTls$2
825099ed914daa24    1 of   1   androidx/room/migration/Migration
1efd54842154ebf9    4 of  33   androidx/core/view/MarginLayoutParamsCompat
a9b2f06ae40dad00    1 of  15   androidx/preference/PreferenceScreen
3d24bd48eded7d5b    4 of   6   androidx/work/InputMerger
5799ce214eca8792    5 of  28   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate
7410ec982bebf382    5 of   8   androidx/lifecycle/ProcessLifecycleOwner$3
335eac7e10dd2f1e    8 of   8   shark/AndroidReferenceMatchers$INPUT_METHOD_MANAGER_IS_TERRIBLE
89ad4a82b5bd5671    4 of   4   okhttp3/OkHttpClient$Companion
fc5c207dbde9312c    5 of  13   androidx/work/ContentUriTriggers
99f893c4c4081ed0   29 of 123   org/schabi/newpipe/database/feed/dao/FeedDAO_Impl
6a19e1224df22625    3 of   3   shark/AndroidReferenceMatchers$APPLICATION_PACKAGE_MANAGER__HAS_SYSTEM_FEATURE_QUERY
3810b45d9bd20772   16 of  26   com/google/android/material/tabs/TabIndicatorInterpolator
c903df2576dee009    3 of   3   shark/AndroidReferenceMatchers$ACTIVITY_CLIENT_RECORD__NEXT_IDLE
656416ceb3f760ab    1 of 121   leakcanary/internal/activity/LeakActivity
8d4b1fb378704a7f    7 of  53   androidx/core/view/MenuHostHelper
12a254350e431823    2 of   2   org/schabi/newpipe/local/subscription/item/FeedGroupCarouselItem$Companion
b2ee227991381157    3 of   3   androidx/lifecycle/ProcessLifecycleOwner$3$1
e1d3f01f219ed0aa    1 of  52   androidx/appcompat/app/AppCompatDelegateImpl$PanelFeatureState
c0334cd7b6d2bace    5 of  31   kotlin/collections/EmptyMap
b1b7e2f811a47217    1 of   3   shark/AndroidObjectInspectors$MESSAGE
9a4edec3668f32fe    3 of   4   io/reactivex/rxjava3/internal/operators/maybe/MaybeEmpty
4924b8274e80cf7e    2 of   2   androidx/work/InputMergerFactory$1
366cdcbba96bb342   16 of  86   io/reactivex/rxjava3/internal/disposables/ListCompositeDisposable
8b85a3a2e2a24a7b   26 of  41   org/schabi/newpipe/local/subscription/item/FeedGroupCarouselItem
8711fe41cf6ef6c1    1 of   5   org/acra/file/ReportLocator$special$$inlined$sortedBy$1
27a672f750da348b    3 of   3   shark/AndroidReferenceMatchers$AUDIO_MANAGER
506f82ebefa84c2e    2 of   2   org/acra/collector/SettingsCollector$Companion
3d60d2d2969dd82d    3 of   3   shark/AndroidReferenceMatchers$IREQUEST_FINISH_CALLBACK
1abf64d57701d86c    6 of  17   io/reactivex/rxjava3/internal/operators/maybe/MaybeFromCallable
cc0fa2cf4c5b6393    1 of  27   androidx/core/widget/TextViewOnReceiveContentListener
56c252f8ee3acb08   67 of 159   org/schabi/newpipe/fragments/list/BaseListFragment
74459c7771d208ec    6 of   7   androidx/work/impl/WorkDatabase$2
7bf632f5d7895f9b    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$13
4eb1df75b4875456    4 of  50   kotlin/collections/EmptyList
dda643c5857b2a00    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
df83b803bc087a90   42 of  46   org/schabi/newpipe/local/subscription/FeedGroupIcon
deba29aae29c6495    2 of   6   androidx/savedstate/ViewTreeSavedStateRegistryOwner
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
780df840693f686e    6 of  17   okhttp3/internal/platform/android/AndroidCertificateChainCleaner
79145c7cede3d997   10 of  61   okhttp3/internal/cache/CacheInterceptor$Companion
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
03064aedfdf12538    4 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
87eb32b3dae4ce99    9 of  94   okio/Timeout
0890b53e1af68670    5 of  16   io/reactivex/rxjava3/disposables/Disposable
fe157c3e0bf2d8f1  131 of 261   okhttp3/internal/connection/RealCall
21b9b531ec03a9a3   40 of 318   androidx/appcompat/widget/ActionMenuView
a09b3ca0f9a044b1    1 of   2   io/reactivex/rxjava3/internal/functions/Functions$NullProvider
13b3aca37006ee3d    2 of  76   androidx/room/util/DBUtil
e95e570afd47923f    1 of   3   io/reactivex/rxjava3/processors/FlowableProcessor
e8b5e712be07f08f    2 of   2   org/acra/collector/MediaCodecListCollector$Companion
d92796843393ad07    2 of   2   io/reactivex/rxjava3/internal/operators/single/SingleObserveOn
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
96424a7d7c3a613a    1 of   5   org/schabi/newpipe/database/feed/dao/FeedGroupDAO_Impl$1
7eb31eab040e4556   50 of 140   androidx/core/content/res/ResourcesCompat
1e077a104cdaf98d    3 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
aa687f45f8694c05    1 of   8   org/schabi/newpipe/database/history/dao/StreamHistoryDAO_Impl$1
4299b8d4ac3cf733    2 of   9   shark/AndroidReferenceMatchers$ACTIVITY_CHOOSE_MODEL$add$1
803c7d6bc1848d91    1 of   2   io/reactivex/rxjava3/schedulers/Schedulers$SingleHolder
30a8feadb958a619    4 of  42   androidx/core/content/FileProvider$SimplePathStrategy
e2895bb918c500b3    3 of   3   shark/AndroidReferenceMatchers$SPELL_CHECKER_SESSION
34b6c38004ba62ca    1 of  10   org/schabi/newpipe/settings/SettingMigrations$2
a8ec410a2cf4d459    2 of  28   androidx/work/impl/constraints/trackers/BatteryNotLowTracker
356ed7940ee4fd55    8 of   8   org/schabi/newpipe/local/feed/FeedViewModel$Companion$getFactory$1$1
f625a6df937e32c8   56 of 144   okhttp3/internal/http2/Http2Connection$ReaderRunnable
5185f0e9c29152b0    3 of   5   io/reactivex/rxjava3/internal/functions/Functions$Array6Func
4c8f408d9b68b625    5 of   5   androidx/lifecycle/LifecycleRegistry$ObserverWithState
6e3c8b16f68472fe    2 of   2   okhttp3/internal/http2/Http2Connection$Listener$Companion
47fa0fac3d76b471    6 of  15   org/schabi/newpipe/databinding/FeedGroupAddNewItemBinding
a29815c42f82c986   33 of  38   okhttp3/internal/http2/Http2ExchangeCodec$Companion
0121e14470085134    1 of  14   org/acra/collector/DeviceIdCollector
0568e74424da17ad    5 of  29   io/reactivex/rxjava3/internal/disposables/EmptyDisposable
142085a151e4f139    2 of   7   leakcanary/WorkManagerHeapAnalyzer$workManagerSupportsExpeditedRequests$2
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
e33cf84b79ca53e2    4 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
28ecc5a7533e6f14    2 of   4   leakcanary/AndroidDebugHeapDumper
aba692a9bb60630e    1 of   6   com/squareup/picasso/FileRequestHandler
300f3467236d2667    9 of  53   okio/Okio__JvmOkioKt
eb43fa7c028a72d6    1 of   2   androidx/core/widget/CheckedTextViewCompat$Api16Impl
e9fa5f0871caf65d   11 of  49   androidx/lifecycle/ViewModel
a731c54dda368923    2 of   2   com/squareup/picasso/Utils$1
5c405c9f8f2b8e9f    2 of  53   org/acra/util/ProcessFinisher
2e6d63aa33a97f1f    5 of  16   org/schabi/newpipe/databinding/ToolbarLayoutBinding
cc55788403d0c670   27 of 108   org/schabi/newpipe/fragments/list/BaseListInfoFragment
4e560030c76ce87e    2 of   7   shark/AndroidReferenceMatchers$SPAN_CONTROLLER$add$1
aef50ee6cfaececa   25 of  48   okio/Segment
78098a29310cf25b    3 of  15   kotlin/collections/EmptyIterator
23e14be7eae27393    1 of   5   androidx/recyclerview/widget/LinearLayoutManager$SavedState$1
74fb0283d0a487a4    3 of   4   androidx/fragment/app/FragmentStateManager$1
837aabafa3389a94    3 of  28   leakcanary/ViewLocationHolderLeakFix
e0e2bf496cb9226e    6 of  14   io/reactivex/rxjava3/core/Scheduler$DisposeTask
373a5c1676bbdc15    3 of   3   shark/AndroidReferenceMatchers$PERSONA_MANAGER
38fdb1553232ba1e    1 of  12   org/schabi/newpipe/database/playlist/dao/PlaylistDAO_Impl$1
d9a5457cc982f4df   10 of  34   org/schabi/newpipe/error/ErrorInfo
05996188a8041d93    2 of   7   androidx/lifecycle/ViewModelProvider$NewInstanceFactory$Companion
734a31338126b2d3    1 of   2   androidx/work/impl/WorkDatabaseMigrations$5
465a6c6805871e25   44 of 115   androidx/work/impl/utils/ForceStopRunnable
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
a3b8093f6c1f4708    4 of  48   io/reactivex/rxjava3/internal/util/AtomicThrowable
753a775dbf9e6c69   32 of  85   androidx/cardview/widget/RoundRectDrawable
d7b8f487cc181eb6    4 of  23   com/squareup/picasso/Dispatcher$DispatcherHandler
eb23ae0b502ae490    2 of   6   okhttp3/internal/connection/RouteSelector$Companion
084a4d3c92ebe60f   16 of 115   androidx/core/view/WindowInsetsCompat
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
5532c20341bb671e    1 of   3   com/squareup/picasso/LruCache$1
5cfb92fd8ffe7061    3 of   6   androidx/sqlite/db/framework/FrameworkSQLiteStatement
ffdb83e439a5b401    2 of   7   leakcanary/AndroidLeakFixes$FLUSH_HANDLER_THREADS
7eccd14e02aa3cb3   41 of 144   androidx/fragment/app/FragmentContainerView
4920a6d45d8ab3e5    3 of   5   io/reactivex/rxjava3/internal/operators/flowable/FlowableObserveOn
b0af74a234968106    3 of   3   io/reactivex/rxjava3/schedulers/Schedulers$SingleTask
8db84235c321ed0e   37 of 126   androidx/core/content/FileProvider
aa9538acc706a49c    1 of   3   shark/AndroidObjectInspectors$APPLICATION
13670c9ed5178b4a   18 of  38   androidx/work/impl/model/WorkTagDao_Impl
399449bcb7806601   14 of 115   androidx/work/impl/model/WorkTypeConverters
106a257a90a45419    2 of   4   leakcanary/AndroidLeakFixes$ACCESSIBILITY_NODE_INFO
0293bdfe966d58b0    1 of  26   org/schabi/newpipe/extractor/services/bandcamp/BandcampService
e10f89b0e5120c1c    1 of   6   androidx/work/impl/constraints/controllers/BatteryNotLowController
05f3417099653c54    4 of   6   io/reactivex/rxjava3/internal/operators/observable/ObservableObserveOn
74019c25ab7752e4    3 of   3   shark/AndroidReferenceMatchers$ACCESSIBILITY_ITERATORS
075438dfe4ed7ade    7 of   7   com/facebook/stetho/Stetho$Initializer
cae5817a89a34384   22 of  37   okhttp3/internal/http2/Settings
0e1597aaa640ae44    2 of   4   org/acra/config/CoreConfigurationBuilder$special$$inlined$observable$9
899624a3ce89c200    6 of  10   io/reactivex/rxjava3/internal/operators/flowable/FlowableCombineLatest$CombineLatestInnerSubscriber
db2e0fe98321f626    2 of  33   org/acra/collector/ReflectionCollector
8a715f0de863bcdc    8 of  31   androidx/recyclerview/widget/RecyclerView$State
2bd04fda763893f7    2 of  28   androidx/recyclerview/widget/BatchingListUpdateCallback
04e8bac565ec5a0c    2 of   3   androidx/sqlite/db/SupportSQLiteOpenHelper$Configuration
15e5da48513e7f5e    5 of  60   androidx/appcompat/widget/DrawableUtils
13982180267b35b3    6 of   6   leakcanary/internal/HeapDumpControl$backgroundUpdateHandler$2
63c6c377d318327a    1 of   4   org/schabi/newpipe/database/stream/dao/StreamStateDAO_Impl$3
28ced4daf7caba0a   10 of  12   androidx/appcompat/app/ActionBarDrawerToggle$ToolbarCompatDelegate
