class_id,class_name,probes_hit,probes_total,pct
b2d020a589ad0713,androidx/recyclerview/widget/RecyclerView,659,2094,31.47
9d4f0d1c8b49e209,androidx/work/impl/model/WorkSpecDao_Impl,378,1265,29.88
f3963239a050f5d8,androidx/viewpager/widget/ViewPager,373,1317,28.32
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,353,954,37.0
b3742666264f95b3,androidx/appcompat/widget/Toolbar,342,911,37.54
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,339,1610,21.06
75224e11b251fd64,androidx/fragment/app/FragmentManager,338,1212,27.89
f1456232613416e2,com/google/android/material/tabs/TabLayout,259,592,43.75
62b2bf2014f942e5,androidx/recyclerview/widget/LinearLayoutManager,243,794,30.6
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,219,825,26.55
dda310cec380118c,androidx/appcompat/app/AppCompatDelegateImpl,213,1183,18.01
39c72833c7b8ffb6,androidx/fragment/app/Fragment,199,730,27.26
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,185,598,30.94
4ebd561f36f93650,com/google/android/material/bottomsheet/BottomSheetBehavior,184,667,27.59
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,184,625,29.44
74067032a7981ce9,androidx/recyclerview/widget/RecyclerView$LayoutManager,175,631,27.73
b7768efd2387a215,org/acra/config/CoreConfigurationBuilder,162,282,57.45
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,160,460,34.78
8b6ec6d79019b755,okio/Buffer,157,931,16.86
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,156,508,30.71
160858532d106b6f,com/google/android/material/shape/MaterialShapeDrawable,151,428,35.28
44787b72d3d9e392,org/schabi/newpipe/MainActivity,138,383,36.03
e31dc597dd9dee92,okhttp3/internal/Util,135,452,29.87
6353dc13eb6ccd69,okhttp3/HttpUrl$Builder,134,390,34.36
83db9a23d3816a22,com/google/android/material/tabs/TabLayout$TabView,132,372,35.48
fe157c3e0bf2d8f1,okhttp3/internal/connection/RealCall,131,261,50.19
bd7f67d34f987e92,okhttp3/CipherSuite,127,130,97.69
c2a3025ef1bffa5b,androidx/recyclerview/widget/GridLayoutManager,122,439,27.79
77eaae5dd2815dd3,com/google/android/material/navigation/NavigationView,121,272,44.49
ec45d1beef1a05d1,androidx/core/view/ViewCompat,117,884,13.24
9b07b4aef28d3e54,androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper,117,277,42.24
4614f301c96a3f2a,androidx/recyclerview/widget/RecyclerView$Recycler,115,533,21.58
8f152885e00748f1,org/acra/collector/ConfigurationCollector,113,145,77.93
6a6be5e39378cd1f,androidx/customview/widget/ViewDragHelper,111,507,21.89
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,110,274,40.15
e8b9eb5773d5fec8,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,106,201,52.74
0e8ba99b8efb7b26,com/xwray/groupie/Section,105,218,48.17
a4536b719c9ee716,androidx/work/impl/WorkerWrapper,105,250,42.0
621be71be397116b,okhttp3/internal/http2/Http2Connection,104,291,35.74
59b409c26a1ae9a5,androidx/appcompat/widget/AppCompatTextHelper,104,379,27.44
6120c23f1960e8a1,androidx/fragment/app/FragmentLifecycleCallbacksDispatcher,104,182,57.14
0f48900639bf7d76,androidx/preference/Preference,101,474,21.31
b2a7bbb3c3d75f17,androidx/fragment/app/FragmentStateManager,101,430,23.49
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,100,645,15.5
009dc7d51381a691,okhttp3/internal/connection/RealConnection,99,378,26.19
7977247b2e066450,okio/Options$Companion,97,137,70.8
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,97,311,31.19
73a2428bd7dda2ee,org/schabi/newpipe/local/subscription/SubscriptionFragment,96,281,34.16
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,94,527,17.84
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,93,137,67.88
b3bbe5fd5d5a5f6e,androidx/room/InvalidationTracker,90,177,50.85
f3283996ec035884,okhttp3/internal/concurrent/TaskRunner,90,145,62.07
3d08d969d4213878,com/google/android/material/shape/ShapeAppearanceModel,88,119,73.95
78d534e2e06c6594,androidx/fragment/app/SpecialEffectsController,88,166,53.01
885f5ccf8e74fec9,okhttp3/internal/http2/Http2Stream,87,217,40.09
520cbe71b91579e3,org/schabi/newpipe/local/feed/FeedFragment,84,419,20.05
214c6270129ebc50,androidx/work/impl/background/systemjob/SystemJobScheduler,81,178,45.51
bbb1dd7aa5da1a98,okhttp3/OkHttpClient,81,167,48.5
ea5b16a6c0f6108f,androidx/appcompat/widget/ActionMenuPresenter,80,282,28.37
37ae7ca059757ff4,okhttp3/internal/http2/Hpack,79,82,96.34
83b70bb5745781ef,androidx/room/RoomDatabase,79,176,44.89
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,79,297,26.6
be154e847c4c7f8d,androidx/swiperefreshlayout/widget/SwipeRefreshLayout,77,426,18.08
f74089556c98abbd,kotlin/jvm/internal/ClassReference,77,121,63.64
7ec9e0e14fcbb69c,org/schabi/newpipe/database/AppDatabase_Impl,74,143,51.75
0cf0da3045a7a898,leakcanary/internal/InternalLeakCanary,74,165,44.85
bc00aa0ef5a9db7a,okhttp3/internal/http2/Hpack$Reader,74,109,67.89
4e857c5cd270b6f1,io/reactivex/rxjava3/core/Flowable,72,1305,5.52
55b2443c727acb99,androidx/fragment/app/FragmentStore,71,224,31.7
41bd542dcaafeba2,okio/RealBufferedSource,70,353,19.83
d81a6a990b19726b,androidx/appcompat/graphics/drawable/DrawerArrowDrawable,70,123,56.91
7dce9c1bd407d709,okhttp3/HttpUrl$Companion,70,196,35.71
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,68,193,35.23
8b55f84748bc303e,androidx/appcompat/view/menu/ActionMenuItemView,66,134,49.25
a04863457716f7f6,okio/ByteString,66,271,24.35
031af4820b13ef95,androidx/work/impl/utils/futures/AbstractFuture,65,302,21.52
dc6c2e2831c457a9,com/google/android/material/internal/NavigationMenuItemView,65,115,56.52
7dcacc52afb83878,okhttp3/Response$Builder,65,123,52.85
5284df4b5262c02a,org/schabi/newpipe/extractor/services/youtube/YoutubeParsingHelper,65,725,8.97
c6aff4579a7e3e9b,okhttp3/internal/http2/Hpack$Writer,65,105,61.9
2129412af325e0d9,com/google/android/material/shape/ShapeAppearanceModel$Builder,64,108,59.26
e9a344e83c855f08,okhttp3/internal/http2/Http2Reader,64,154,41.56
f50036a82265c741,okhttp3/ConnectionSpec,64,111,57.66
98f3578c329952d9,com/google/android/material/tabs/TabLayout$SlidingTabIndicator,63,118,53.39
e5679b9ed2ec91a7,androidx/core/content/res/ColorStateListInflaterCompat,62,96,64.58
a28f26aa7275d8c7,okhttp3/internal/http2/Http2Writer,62,145,42.76
cac8004a66856273,com/google/android/material/shape/ShapePath,61,87,70.11
3231531944f3ec26,kotlin/text/StringsKt__StringsKt,61,909,6.71
e270e2a644787839,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
4d1f8b3f3bfe5816,okhttp3/internal/http2/Http2Stream$FramingSource,60,104,57.69
9358a7ea57a2e43d,androidx/appcompat/widget/AppCompatTextView,60,221,27.15
6ff6bcf82eef4fe1,androidx/work/impl/utils/EnqueueRunnable,59,173,34.1
64db71f825f29798,com/xwray/groupie/GroupAdapter,59,162,36.42
119526d68fd6877c,org/schabi/newpipe/App,59,69,85.51
56c252f8ee3acb08,org/schabi/newpipe/fragments/list/BaseListFragment,59,159,37.11
778a6e0853fa6625,org/schabi/newpipe/ktx/ViewUtils,58,213,27.23
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
3e3db79236de3128,androidx/core/view/NestedScrollingChildHelper,58,101,57.43
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,57,221,25.79
d2d5ca52cf1839f0,com/grack/nanojson/JsonTokener,57,348,16.38
2d987c4349f15b6f,androidx/work/impl/WorkManagerImpl,57,175,32.57
d3c8011f7e370f3e,androidx/recyclerview/widget/RecyclerView$ViewFlinger,56,125,44.8
f08b5c1e8e33af33,androidx/activity/ComponentActivity,56,203,27.59
f625a6df937e32c8,okhttp3/internal/http2/Http2Connection$ReaderRunnable,56,144,38.89
0eb7289215c09f75,androidx/appcompat/app/AppCompatViewInflater,56,173,32.37
d9a66bc5eb2cfd20,androidx/core/view/accessibility/AccessibilityNodeInfoCompat$AccessibilityActionCompat,56,111,50.45
667084c61567e196,com/google/android/material/internal/NavigationMenuPresenter,55,141,39.01
d86ada52df5298c3,androidx/appcompat/view/SupportMenuInflater$MenuState,55,111,49.55
7ed5a556c48755a5,com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuAdapter,54,188,28.72
84846663c1db5034,androidx/recyclerview/widget/RecyclerView$ViewHolder,54,172,31.4
9272d73b6d735387,androidx/collection/ArraySet,54,219,24.66
9b09414f64edbb88,com/grack/nanojson/JsonWriterBase,53,183,28.96
bd13536ab20c1422,org/schabi/newpipe/fragments/MainFragment,53,87,60.92
e3233f9c63280f90,androidx/fragment/app/BackStackRecord,52,301,17.28
44c72c82fda9571b,androidx/preference/PreferenceInflater,52,113,46.02
53881bdd6f175403,androidx/fragment/app/DefaultSpecialEffectsController,52,379,13.72
5b610ced7009f737,okhttp3/internal/tls/OkHostnameVerifier,52,105,49.52
7eb31eab040e4556,androidx/core/content/res/ResourcesCompat,50,140,35.71
853bef048ff52f85,okhttp3/internal/http2/Huffman,50,50,100.0
dafe4271aee162e6,io/reactivex/rxjava3/internal/operators/flowable/FlowableFlatMapMaybe$FlatMapMaybeSubscriber,49,171,28.65
5a5b543b85f4a0e1,androidx/recyclerview/widget/AdapterHelper,49,261,18.77
840bdb0e5593e0f5,okhttp3/OkHttpClient$Builder,49,249,19.68
ffcb5cd392e1f7f8,androidx/coordinatorlayout/widget/CoordinatorLayout$LayoutParams,48,113,42.48
