[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/nextcloud-_4792_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-859328cf": Mon Aug 17 13:11:15 UTC 2026 - Mon Aug 17 13:11:54 UTC 2026
7d06acbc51a7cd49   25 of 228   com/owncloud/android/files/services/FileDownloader
89d079de92b36a48    6 of   8   com/owncloud/android/operations/DetectAuthenticationMethodOperation$AuthenticationMethod
966611ddbf5b7ae8    5 of   5   com/nextcloud/client/di/DaggerAppComponent$AuthenticatorActivitySubcomponentFactory
43cde9caea44ff68    2 of   8   com/nextcloud/client/device/PowerManagementServiceImpl$Companion
3ab7357f650413d6    5 of   5   com/nextcloud/client/di/DaggerAppComponent$DiskLruImageCacheFileProviderSubcomponentImpl
ab57db6392c2434f   11 of  11   com/nextcloud/client/di/DaggerAppComponent$FileDisplayActivitySubcomponentImpl
08b4a465d11be03a    3 of   3   com/nextcloud/client/di/DaggerAppComponent$2
d86f3a998413ed80    6 of   6   com/owncloud/android/datastorage/DataStorageProvider$1
04241b0c68dd6043    1 of   3   com/nextcloud/client/di/DaggerAppComponent$32
1e63398f7a2bfcad    1 of   3   com/nextcloud/client/di/DaggerAppComponent$33
89ac9eac837093cb   18 of 110   com/owncloud/android/jobs/MediaFoldersDetectionJob
4d20f9ca7572ab8a    4 of   4   com/nextcloud/client/network/NetworkModule
264fffef8209483d    1 of   3   com/nextcloud/client/di/DaggerAppComponent$21
ae5e77b8c78135a3    4 of  31   com/owncloud/android/ui/fragment/ExtendedListFragment$6
323f9824b9215aff    1 of   3   com/nextcloud/client/di/DaggerAppComponent$45
a26bc671a9496a42   18 of 299   com/owncloud/android/providers/DocumentsStorageProvider
aa478da73563aec8    1 of   3   com/nextcloud/client/di/DaggerAppComponent$16
3404f16754689b21    5 of   5   com/nextcloud/client/di/DaggerAppComponent$FileDisplayActivitySubcomponentFactory
0f78f6771ff48103    1 of   3   com/nextcloud/client/di/DaggerAppComponent$14
a66418e3fbd3950d    2 of   6   com/owncloud/android/utils/PushUtils
904a275d6a8920e9    2 of   7   com/nextcloud/client/logger/ThreadLoop$start$1$1
01526ede98455dda   20 of  34   com/owncloud/android/ui/EmptyRecyclerView
7bfd7360811e56a0    3 of   5   com/owncloud/android/ui/fragment/OCFileListFragment$MenuItemAddRemove
5d2b993f504a6234  114 of 251   com/owncloud/android/utils/ThemeUtils
acbaa29af7b2c694    1 of   3   com/nextcloud/client/di/DaggerAppComponent$25
f3406e7cd1eb7340   39 of 265   com/owncloud/android/ui/activity/FileActivity
e74512f3e20d8c9b    1 of   3   com/owncloud/android/ui/activity/DrawerActivity$3
