class_id,class_name,probes_hit,probes_total,pct
9e81180331658c9e,com/owncloud/android/MainApp,170,328,51.83
0e13791f481d1920,com/owncloud/android/ui/activity/DrawerActivity,141,611,23.08
da7b920a039c7a4a,com/owncloud/android/ui/activity/FileDisplayActivity,128,1111,11.52
6ded08a0187bfbc3,com/owncloud/android/authentication/AuthenticatorActivity,125,839,14.9
73b9023b3fbc25e0,com/owncloud/android/ui/fragment/OCFileListFragment,118,657,17.96
5d2b993f504a6234,com/owncloud/android/utils/ThemeUtils,114,251,45.42
8f0406a2cfa20f42,com/nextcloud/client/di/DaggerAppComponent,111,128,86.72
d7bc72c3f5c2c390,com/owncloud/android/providers/FileContentProvider,91,340,26.76
3c7b15c693a33604,com/owncloud/android/ui/fragment/ExtendedListFragment,84,238,35.29
b47686641f6a73bb,com/owncloud/android/datastorage/DataStorageProvider,43,69,62.32
3321cc16255f4d5c,com/nextcloud/client/logger/LoggerImpl,41,85,48.24
f3406e7cd1eb7340,com/owncloud/android/ui/activity/FileActivity,39,265,14.72
8015b04e11a58ebb,com/nextcloud/client/onboarding/FirstRunActivity,37,93,39.78
facda72994132aa3,com/nextcloud/client/preferences/AppPreferencesImpl,34,129,26.36
5ed7e98c12ff18e4,com/owncloud/android/db/ProviderMeta$ProviderTableMeta,31,32,96.88
c6c7c209b97629f3,com/owncloud/android/authentication/PassCodeManager,30,72,41.67
b44d58fe8077188f,com/owncloud/android/ui/activity/ToolbarActivity,28,83,33.73
dfcc741f5e41c1c1,com/owncloud/android/datamodel/UploadsStorageManager,28,245,11.43
de482a1e4363ad4a,com/owncloud/android/utils/DisplayUtils,26,221,11.76
7d06acbc51a7cd49,com/owncloud/android/files/services/FileDownloader,25,228,10.96
14a03c9ec04c8dab,com/owncloud/android/db/UploadResult,25,74,33.78
641c97082431bdcd,com/owncloud/android/files/services/FileUploader,25,303,8.25
a0eb66b3f9087e5e,com/owncloud/android/ui/adapter/OCFileListAdapter,25,519,4.82
167d03c39dd420ab,com/owncloud/android/utils/FilesSyncHelper,23,104,22.12
82b0b9fe4670653a,com/nextcloud/client/logger/FileLogHandler,23,83,27.71
8d1678cd19945f0d,com/nextcloud/client/onboarding/OnboardingServiceImpl,22,38,57.89
f444f98430d23383,com/nextcloud/client/account/UserAccountManagerImpl,22,118,18.64
9dc627b7924ac5ba,com/owncloud/android/authentication/AccountAuthenticator,21,85,24.71
21d5c91ac1261ffe,com/owncloud/android/datamodel/MediaProvider,21,96,21.88
a6ab4972693f1141,com/owncloud/android/ui/fragment/FeatureFragment,21,55,38.18
01526ede98455dda,com/owncloud/android/ui/EmptyRecyclerView,20,34,58.82
4a13ec15d38ad677,com/owncloud/android/ui/whatsnew/ProgressIndicator,20,34,58.82
da3d4c13640ea8ab,com/owncloud/android/datamodel/ThumbnailsCacheManager$InitDiskCacheTask,20,26,76.92
b9fadb320937c56c,com/owncloud/android/utils/DrawerMenuUtil,19,50,38.0
31172be582288c1a,com/owncloud/android/providers/UsersAndGroupsSearchProvider,19,102,18.63
89ac9eac837093cb,com/owncloud/android/jobs/MediaFoldersDetectionJob,18,110,16.36
a26bc671a9496a42,com/owncloud/android/providers/DocumentsStorageProvider,18,299,6.02
bf2ee780e0814011,com/owncloud/android/datamodel/ArbitraryDataProvider,18,64,28.12
4d45a9378b0a23af,com/owncloud/android/ui/activity/BaseActivity,17,49,34.69
b8dd76bddb14d1c2,com/owncloud/android/utils/ReceiversHelper,17,18,94.44
4678cf852d10480b,com/nextcloud/client/logger/LogEntry,16,63,25.4
856a16c899599571,com/owncloud/android/services/OperationsService,16,191,8.38
d956711290944f7a,com/owncloud/android/ui/fragment/ExtendedListFragment$SearchType,16,17,94.12
a0091c9217034739,com/nextcloud/client/jobs/BackgroundJobManagerImpl,15,15,100.0
41c08c407c8d589c,com/nextcloud/client/di/AppModule,14,24,58.33
101016d0433e5ce0,com/owncloud/android/ui/activity/FileDisplayActivity$ListServiceConnection,13,34,38.24
739130ab41a424c0,com/owncloud/android/ui/fragment/OCFileListFragment$4,12,21,57.14
d91a55c7cc777a77,com/nextcloud/client/network/ConnectivityServiceImpl,12,60,20.0
56ba925a3c1bab56,com/owncloud/android/providers/FileContentProvider$DataBaseHelper,12,649,1.85
f90fe1a5e3b3df95,com/nextcloud/client/di/ActivityInjector,12,15,80.0
072e4b1bd1341091,com/owncloud/android/JacocoInstrumentation,12,53,22.64
64e1ee0aca8ef5e4,com/owncloud/android/datamodel/SyncedFolderProvider,12,129,9.3
ab57db6392c2434f,com/nextcloud/client/di/DaggerAppComponent$FileDisplayActivitySubcomponentImpl,11,11,100.0
d91d8c1f988af17e,com/owncloud/android/features/FeatureItem,11,41,26.83
d2519200a189110e,com/nextcloud/client/logger/ThreadLoop,11,26,42.31
6cfaaef6f503bf48,com/owncloud/android/ui/fragment/ExtendedListFragment$5,11,15,73.33
696e469df84f1a14,com/owncloud/android/MainApp_MembersInjector,10,23,43.48
2c05062e5275b491,com/nextcloud/client/logger/LegacyLoggerAdapter,10,18,55.56
7fc62556ff7a1633,com/owncloud/android/datamodel/ThumbnailsCacheManager,10,164,6.1
eaf4d0191f8a5d1c,com/nextcloud/client/logger/LogEntry$Companion,10,25,40.0
7978b1237636c4fd,com/owncloud/android/MainApp$1,10,11,90.91
d9e1da8207baccff,com/nextcloud/client/logger/Level,10,13,76.92
b17395f9b9e8ad7b,com/nextcloud/client/di/DaggerAppComponent$FirstRunActivitySubcomponentImpl,9,9,100.0
1f5b4673966a0567,com/nextcloud/client/jobs/JobsModule,9,9,100.0
087dbd1bafd89d78,com/nextcloud/client/di/DaggerAppComponent$OCFileListFragmentSubcomponentImpl,9,9,100.0
6cd756e18e8f9511,com/owncloud/android/datamodel/ExternalLinksProvider,9,55,16.36
1b1e46348034beaa,com/owncloud/android/datastorage/UniqueStorageList,8,15,53.33
b67f3a119198a87b,com/owncloud/android/syncadapter/FileSyncAdapter,8,204,3.92
5ac8b6cf85f25508,com/owncloud/android/datastorage/StoragePoint,8,12,66.67
934aee26c022df8f,com/nextcloud/client/di/DaggerAppComponent$FileUploaderSubcomponentImpl,8,8,100.0
41714426f01af06c,com/owncloud/android/authentication/AuthenticatorActivity$OperationsServiceConnection,8,28,28.57
a943588a1d609902,com/nextcloud/client/di/DaggerAppComponent$AuthenticatorActivitySubcomponentImpl,8,8,100.0
68573d71eca7d92b,com/owncloud/android/ui/activity/FileActivity$OperationsServiceConnection,8,15,53.33
4813df77baaa191a,com/owncloud/android/utils/FileStorageUtils,7,254,2.76
89d079de92b36a48,com/owncloud/android/operations/DetectAuthenticationMethodOperation$AuthenticationMethod,6,8,75.0
d86f3a998413ed80,com/owncloud/android/datastorage/DataStorageProvider$1,6,6,100.0
0e0551ca028065cf,com/nextcloud/client/di/DaggerAppComponent$Builder,6,6,100.0
465f7ed5361f6be6,com/owncloud/android/services/OperationsService$OperationsServiceBinder,6,26,23.08
3899441e8f4a7f00,com/owncloud/android/datamodel/UploadsStorageManager$UploadStatus,6,12,50.0
966611ddbf5b7ae8,com/nextcloud/client/di/DaggerAppComponent$AuthenticatorActivitySubcomponentFactory,5,5,100.0
3ab7357f650413d6,com/nextcloud/client/di/DaggerAppComponent$DiskLruImageCacheFileProviderSubcomponentImpl,5,5,100.0
3404f16754689b21,com/nextcloud/client/di/DaggerAppComponent$FileDisplayActivitySubcomponentFactory,5,5,100.0
0fa5b4b9cdf3024d,com/nextcloud/client/di/DaggerAppComponent$UsersAndGroupsSearchProviderSubcomponentFactory,5,5,100.0
b04ccd441700b78d,com/nextcloud/client/di/AppModule_ContentResolverFactory,5,5,100.0
9eb976de6fdb5c0a,com/owncloud/android/ui/fragment/ExtendedListFragment$2,5,7,71.43
9154c0d0d5b3e9ff,com/nextcloud/client/di/DaggerAppComponent$OCFileListFragmentSubcomponentFactory,5,5,100.0
541a8e6e9cbf5392,com/nextcloud/client/di/AppModule_CurrentAccountProviderFactory,5,5,100.0
2b8f07de9d3cceb7,com/nextcloud/client/di/AppModule_DeviceInfoFactory,5,5,100.0
fbe91f5c47368d90,com/nextcloud/client/di/AppModule_UserAccountManagerFactory,5,5,100.0
78b802431e9afe50,com/owncloud/android/ui/fragment/TaskRetainerFragment,5,18,27.78
898da35dbd77f896,com/nextcloud/client/network/NetworkModule_ConnectivityManagerFactory,5,5,100.0
31043c108d283764,com/nextcloud/client/di/DaggerAppComponent$FirstRunActivitySubcomponentFactory,5,5,100.0
18a33b019684ae33,com/nextcloud/client/di/FragmentInjector,5,7,71.43
3a63e88db40613f8,com/owncloud/android/authentication/AccountAuthenticatorActivity,5,13,38.46
af1d3fd0f8f7a720,com/nextcloud/client/preferences/PreferencesModule_SharedPreferencesFactory,5,5,100.0
0684af1177e53f21,com/nextcloud/client/device/DeviceModule,5,6,83.33
