[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/open-event-attendee-android-0.5-_2198-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-b429c72d": Mon Aug 17 13:22:46 UTC 2026 - Mon Aug 17 13:23:41 UTC 2026
f109e4b50b24e183    1 of   3   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$1
d4105ec7b11c617a   11 of  15   org/fossasia/openevent/general/OpenEventGeneral
833474c23d349ac3    1 of  14   org/fossasia/openevent/general/event/topic/EventTopicsDao_Impl$1
0a9a10990548a465    1 of   2   org/fossasia/openevent/general/attendees/AttendeeDao_Impl$2
c4a6e2205e2bc8a7    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$25
6e0ea10e059b252d    4 of   4   org/fossasia/openevent/general/event/paging/EventsDataSourceFactory
d53c8195ca307c28    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$hashTagClickListener$1
0c45ec656c88a68e    1 of   5   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$5
8689d26230270cf3    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$5
9dbcbf92c9647ac7    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$19
814fb0619fac99e0    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$25
93c3b095ee000075    1 of   2   androidx/navigation/fragment/R$styleable
7160fdd26911f0c8    1 of   2   org/fossasia/openevent/general/event/EventsFragment$onCreateView$9
220f8e3275c0701f    1 of  18   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$5
4553774b5d9a0e66    5 of   7   org/fossasia/openevent/general/event/EventsViewModel$loadLocationEvents$2
b52c42e22a7e0e4e    1 of   4   org/fossasia/openevent/general/event/types/EventTypeConverter
92817a8b08a9728e    1 of   2   org/fossasia/openevent/general/order/OrderDao_Impl$2
48d58c1c16cd9460    5 of  23   org/fossasia/openevent/general/utils/AppLinkUtils
31ff8a8ba0fdd7d2    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$17
fd3107b088e27e57    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$28
de85318441941f7d    1 of   2   androidx/appcompat/R$styleable
71b0c1fed7828064    1 of   4   org/fossasia/openevent/general/event/topic/EventTopicConverter
3a1cae33f823c595   16 of  17   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$3
187f4ef7daa51419    4 of   4   org/fossasia/openevent/general/event/paging/EventsDataSource$createObservable$2
f60720245f7a05c4    1 of   5   org/fossasia/openevent/general/common/SingleLiveEvent$observe$1
1f49369ac6dbc1fb    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$12
191444ed5b262a62   72 of  72   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1
cdc8dfee55973bcd  164 of 164   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1
46ddf865de9dbd68    8 of  85   org/fossasia/openevent/general/event/EventService
8f94450d41c920b1    1 of   5   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$eventClickListener$1
87798ee1a494e382    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$17
2979b14d8c28e8cb    1 of  74   org/fossasia/openevent/general/auth/UserDao_Impl$1
6d6780c895cde37e    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$19
b5332b435db45bde    1 of   2   androidx/coordinatorlayout/R$styleable
bbf58c9eb54d3a5e    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$5
7c6915a79e35a034    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$24
540b58f22af5e338    1 of   8   org/fossasia/openevent/general/attendees/ListAttendeeIdConverter
bf21dfc21d1aa383    2 of  32   org/fossasia/openevent/general/search/location/LocationServiceImpl
fbf4c51a0f53ef68    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$11
778dde082128532c    2 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$2
904d926f6722b1a7    5 of  36   org/fossasia/openevent/general/order/OrderDao_Impl
64771d1167f00b7c    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$3
214f21c305b79dae    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$4
f9e8b2c13e947d9b    3 of  24   org/fossasia/openevent/general/auth/UserDao_Impl
8242b5bd6237064f    2 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$26
c73d09fed641ebde    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$16
620c0df1ee286582    4 of   4   org/fossasia/openevent/general/event/EventsFragment$$special$$inlined$viewModel$1
3036ea31bde7ddd0    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$15
9c8c5b450c887f39    1 of  97   org/fossasia/openevent/general/attendees/AttendeeDao_Impl$1
b0be38cfdac2ae4b    2 of   7   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$29
df40c6c2a41871bc    1 of   4   org/fossasia/openevent/general/settings/SettingsService$fetchSettings$1
