[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/open-event-attendee-android-0.5-_2198_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-b850cb3c": Mon Aug 17 13:24:26 UTC 2026 - Mon Aug 17 13:25:12 UTC 2026
f109e4b50b24e183    1 of   3   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$1
833474c23d349ac3    1 of  14   org/fossasia/openevent/general/event/topic/EventTopicsDao_Impl$1
0a9a10990548a465    1 of   2   org/fossasia/openevent/general/attendees/AttendeeDao_Impl$2
c4a6e2205e2bc8a7    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$25
0c45ec656c88a68e    1 of   5   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$5
8689d26230270cf3    2 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$5
9dbcbf92c9647ac7    2 of   9   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$19
814fb0619fac99e0    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$25
7160fdd26911f0c8    1 of   2   org/fossasia/openevent/general/event/EventsFragment$onCreateView$9
ed5928430fda9663   10 of  10   org/fossasia/openevent/general/di/ModulesKt
220f8e3275c0701f    1 of  18   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$5
9d0f21ac074f19eb    7 of  17   org/fossasia/openevent/general/search/location/GeoLocationViewModel
b054803fc2c10c75    2 of   9   org/fossasia/openevent/general/search/location/LocationServiceImpl
92817a8b08a9728e    1 of   2   org/fossasia/openevent/general/order/OrderDao_Impl$2
68aceeaca2dd4a5d    1 of   3   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$redirectToLogin$1
cbf116e145486c8a    4 of   5   org/fossasia/openevent/general/settings/SettingsService
31ff8a8ba0fdd7d2    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$17
fd3107b088e27e57    2 of   8   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$28
073232228cf32b8d    1 of   2   androidx/navigation/R$styleable
3a1cae33f823c595   16 of  17   org/fossasia/openevent/general/di/ModulesKt$networkModule$1$3
f60720245f7a05c4    1 of   5   org/fossasia/openevent/general/common/SingleLiveEvent$observe$1
1f49369ac6dbc1fb    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$12
191444ed5b262a62   72 of  72   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1
cdc8dfee55973bcd  164 of 164   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1
26f535b5e238f031    9 of  18   org/fossasia/openevent/general/auth/AuthHolder
87798ee1a494e382    6 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$17
2979b14d8c28e8cb    1 of  74   org/fossasia/openevent/general/auth/UserDao_Impl$1
6d6780c895cde37e    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$19
bbf58c9eb54d3a5e    5 of   5   org/fossasia/openevent/general/di/ModulesKt$commonModule$1$5
7c6915a79e35a034    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$24
005cdfe43e1fb024    5 of  23   org/fossasia/openevent/general/utils/AppLinkUtils
5ae1f3f3948945bf    2 of   6   org/fossasia/openevent/general/utils/extensions/RxExtensionsKt
