class_id,class_name,probes_hit,probes_total,pct
cdc8dfee55973bcd,org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1,164,164,100.0
da37f0f6c3245cee,org/fossasia/openevent/general/di/ModulesKt$apiModule$1,132,132,100.0
ee5aa9a9d08d08a5,org/fossasia/openevent/general/event/EventsFragment,112,215,52.09
191444ed5b262a62,org/fossasia/openevent/general/di/ModulesKt$databaseModule$1,72,72,100.0
9b6120a8c49acbf7,org/fossasia/openevent/general/search/location/SearchLocationFragment,71,189,37.57
a1b5b31c8991d7c4,org/fossasia/openevent/general/OpenEventDatabase_Impl,45,175,25.71
c9437d902e7f2d07,org/fossasia/openevent/general/search/location/SearchLocationViewModel,31,71,43.66
d5d87000d6017940,org/fossasia/openevent/general/MainActivity,28,68,41.18
b0d2d718380dd6be,org/fossasia/openevent/general/utils/Utils,26,138,18.84
2756cb50c1435715,org/fossasia/openevent/general/welcome/WelcomeFragment,25,69,36.23
38c050985e708c8a,org/fossasia/openevent/general/di/ModulesKt$commonModule$1,24,24,100.0
0d588d216dc2a741,org/fossasia/openevent/general/di/ModulesKt$networkModule$1,20,20,100.0
10e7bec0d90625c5,org/fossasia/openevent/general/StartupViewModel,19,63,30.16
48d63fd842a80387,org/fossasia/openevent/general/data/Preference,18,29,62.07
3a1cae33f823c595,org/fossasia/openevent/general/di/ModulesKt$networkModule$1$3,16,17,94.12
acd16d9a505f0d32,org/fossasia/openevent/general/event/EventsViewModel,15,68,22.06
4371148717fc7597,org/fossasia/openevent/general/di/ModulesKt$networkModule$1$4,14,14,100.0
08d4f298d4b49137,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$22,14,14,100.0
75e29bdc5d3969a3,org/fossasia/openevent/general/JacocoInstrument/JacocoInstrumentation,12,53,22.64
4c471b9218d40b2e,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$21,12,12,100.0
9ff9dc0e277247e9,org/fossasia/openevent/general/OpenEventGeneral,11,15,73.33
12274f726a0436f9,org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$3,11,11,100.0
727373dc384d2484,org/fossasia/openevent/general/OpenEventGeneral$onCreate$1,11,11,100.0
3536dcf1017ad07d,org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$2,11,11,100.0
ed5928430fda9663,org/fossasia/openevent/general/di/ModulesKt,10,10,100.0
8e358e0c52777045,org/fossasia/openevent/general/event/EventDao_Impl,10,112,8.93
26f535b5e238f031,org/fossasia/openevent/general/auth/AuthHolder,9,18,50.0
9372dceb3a5f9b4d,org/fossasia/openevent/general/di/HostSelectionInterceptor,9,21,42.86
00c5e83ecd4d5001,org/fossasia/openevent/general/di/ModulesKt$networkModule$1$2,9,9,100.0
fdd2c4aba94aff56,org/fossasia/openevent/general/search/location/SearchLocationFragment$setupPopularLocations$1,9,9,100.0
26c58123fc2c26c9,org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$1,8,8,100.0
2604b076fb8fc91e,org/fossasia/openevent/general/welcome/WelcomeFragmentDirections$Companion,7,20,35.0
9d0f21ac074f19eb,org/fossasia/openevent/general/search/location/GeoLocationViewModel,7,17,41.18
103afcd549f2729e,org/fossasia/openevent/general/common/SingleLiveEvent,7,13,53.85
c9f23bb68e818cd9,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$30,7,7,100.0
c1f0b7b500c3b183,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$32,7,7,100.0
d7f21725cbb95a4f,org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$11,7,7,100.0
31ff8a8ba0fdd7d2,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$17,6,6,100.0
87798ee1a494e382,org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$17,6,6,100.0
6d6780c895cde37e,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$19,6,6,100.0
fbf4c51a0f53ef68,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$11,6,6,100.0
214f21c305b79dae,org/fossasia/openevent/general/di/ModulesKt$apiModule$1$4,6,6,100.0
