class_id,class_name,probes_hit,probes_total,pct
cd27543128a3a9e5,com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1,994,994,100.0
c8e8239f2a12e383,androidx/constraintlayout/core/widgets/ConstraintWidget,447,1610,27.76
fd0e8a2435afc382,androidx/recyclerview/widget/RecyclerView,352,2264,15.55
ba845fb05849c4e8,androidx/fragment/app/FragmentManager,344,1316,26.14
0925462377bff5c1,com/google/android/material/textfield/TextInputLayout,321,1422,22.57
a355168e63581b16,androidx/constraintlayout/core/widgets/analyzer/Direct,302,645,46.82
dda310cec380118c,androidx/appcompat/app/AppCompatDelegateImpl,298,1183,25.19
2ef7881f7e0c9260,com/owncloud/android/dependecyinjection/ViewModelModuleKt$viewModelModule$1,272,272,100.0
5b404f74a29f4f1c,androidx/constraintlayout/widget/ConstraintLayout,241,598,40.3
f292c4461ce52b59,kotlinx/coroutines/JobSupport,236,750,31.47
6f98267c2dd6b5ee,androidx/drawerlayout/widget/DrawerLayout,210,825,25.45
9a0e4437321bc421,androidx/recyclerview/widget/LinearLayoutManager,208,794,26.2
4b54da6305731117,com/google/android/material/textfield/EndCompoundLayout,198,410,48.29
d7081ad6cc3aa061,com/owncloud/android/dependecyinjection/RemoteDataSourceModuleKt$remoteDataSourceModule$1,198,230,86.09
5feebb286bc06819,com/google/android/material/navigation/NavigationBarItemView,191,392,48.72
26a579d6b2a81b59,androidx/constraintlayout/core/LinearSystem,183,508,36.02
ad626eab3b83883e,com/owncloud/android/dependecyinjection/LocalDataSourceModuleKt$localDataSourceModule$1,182,204,89.22
f424553790275428,androidx/constraintlayout/core/widgets/ConstraintWidgetContainer,179,460,38.91
9a363820b9714f33,androidx/coordinatorlayout/widget/CoordinatorLayout,174,954,18.24
24705cd9209e6113,androidx/appcompat/widget/LinearLayoutCompat,162,625,25.92
2432badeb8edfbc3,com/owncloud/android/providers/FileContentProvider,161,476,33.82
a2afdb6ba6b57de1,com/google/android/material/shape/MaterialShapeDrawable,161,423,38.06
8eb93fbc6021b3f1,androidx/recyclerview/widget/RecyclerView$LayoutManager,151,640,23.59
4d8c3bd8cd45ed74,androidx/fragment/app/Fragment,139,757,18.36
b2a59f238e0c4ef0,com/google/android/material/navigation/NavigationView,138,272,50.74
935eddf731a04b96,androidx/appcompat/widget/SearchView,138,571,24.17
ca93ef5ce7ddbca5,com/owncloud/android/dependecyinjection/RepositoryModuleKt$repositoryModule$1,134,134,100.0
20e1c76dc8a4e786,androidx/constraintlayout/core/ArrayRow,130,311,41.8
7f726bf53cbe70ca,androidx/work/impl/model/WorkSpecDao_Impl,129,1169,11.04
16b5e5fecbd8dfcc,androidx/constraintlayout/core/widgets/analyzer/BasicMeasure,124,274,45.26
6bd15b036d2fdffd,com/google/android/material/navigation/NavigationBarMenuView,121,347,34.87
0b6aa382af71ab31,androidx/recyclerview/widget/RecyclerView$Recycler,118,554,21.3
afa5a7193a493c73,androidx/constraintlayout/core/ArrayLinkedVariables,118,201,58.71
59b409c26a1ae9a5,androidx/appcompat/widget/AppCompatTextHelper,118,379,31.13
523c6cb141b68c0e,com/google/android/material/shape/ShapeAppearancePathProvider,108,127,85.04
1e7d54e1ebe45f60,androidx/appcompat/view/menu/MenuBuilder,107,527,20.3
01e9402e111b2071,com/owncloud/android/presentation/authentication/LoginActivity,106,726,14.6
902841575ccf25be,kotlinx/coroutines/scheduling/CoroutineScheduler$Worker,100,187,53.48
e1aa900aaccfb268,androidx/lifecycle/LifecycleRegistry,100,137,72.99
1068b5a520d689b0,com/owncloud/android/ui/activity/FileDisplayActivity,97,1027,9.44
93020481f0aa0234,androidx/constraintlayout/widget/ConstraintLayout$Measurer,96,193,49.74
a1c2caab55c02b27,com/google/android/material/appbar/AppBarLayout,95,445,21.35
48968a53f7fe88db,androidx/room/RoomDatabase,93,230,40.43
034b0d1e87ce2516,kotlinx/coroutines/CancellableContinuationImpl,93,325,28.62
57497a38ebe02467,kotlinx/coroutines/scheduling/CoroutineScheduler,90,291,30.93
5afe8c47c5d2557e,com/google/android/material/shape/ShapeAppearanceModel,87,118,73.73
55b2443c727acb99,androidx/fragment/app/FragmentStore,87,224,38.84
c22f5e8081d6f161,androidx/fragment/app/FragmentStateManager,85,430,19.77
f08b5c1e8e33af33,androidx/activity/ComponentActivity,83,203,40.89
795f3bd8e006815f,androidx/core/view/ViewCompat,82,884,9.28
91bb45948d1149b3,com/google/android/material/navigation/NavigationBarView,80,167,47.9
833c5b29d39e6b38,com/google/android/material/internal/CollapsingTextHelper,79,553,14.29
c22f0c0e72644a19,androidx/core/widget/NestedScrollView,79,913,8.65
b3742666264f95b3,androidx/appcompat/widget/Toolbar,79,911,8.67
a42b5cb8755a01fe,com/google/android/material/internal/NavigationMenuPresenter,75,141,53.19
c44ece824a81f3ed,com/owncloud/android/ui/activity/DrawerActivity,73,305,23.93
9358a7ea57a2e43d,androidx/appcompat/widget/AppCompatTextView,70,221,31.67
62dc58c50e3466f0,androidx/appcompat/view/menu/MenuItemImpl,69,297,23.23
dc9c4ce49f6bafb6,com/owncloud/android/dependecyinjection/CommonModuleKt$commonModule$1,67,81,82.72
52985b315c78b3fa,com/google/android/material/internal/NavigationMenuItemView,66,118,55.93
246db4a645312647,com/google/android/material/shape/ShapeAppearanceModel$Builder,64,108,59.26
d0773c01b8739005,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams,63,226,27.88
2c99810f99a4d755,androidx/fragment/app/FragmentActivity,62,112,55.36
0b21de17d9a6d164,com/google/android/material/shape/ShapePath,61,113,53.98
e270e2a644787839,androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table,60,61,98.36
0eb7289215c09f75,androidx/appcompat/app/AppCompatViewInflater,60,173,34.68
d86ada52df5298c3,androidx/appcompat/view/SupportMenuInflater$MenuState,60,111,54.05
c399b35859a6566f,com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuAdapter,60,203,29.56
fb6b2037120951f0,com/google/android/material/bottomnavigation/BottomNavigationMenuView,59,77,76.62
5958734fbbdc1762,androidx/emoji2/text/SpannableBuilder,59,102,57.84
dd64e0e6543fe255,androidx/core/content/res/ColorStateListInflaterCompat,58,96,60.42
63724b760f68943d,androidx/startup/AppInitializer,58,86,67.44
b610ff34201c216a,androidx/collection/ArraySet,58,249,23.29
fc9ea3fbe0723046,androidx/appcompat/widget/ResourceManagerInternal,57,221,25.79
582a160e0161fe55,com/google/android/material/textfield/StartCompoundLayout,57,146,39.04
43fc1c4a1769f05c,androidx/core/content/res/ResourcesCompat,55,140,39.29
a4e0c54ff7fb4ff6,com/owncloud/android/data/OwncloudDatabase_Impl,53,125,42.4
dae5e4d9fed9e1c7,androidx/constraintlayout/core/widgets/Chain,50,254,19.69
78f849e66498b6ed,androidx/emoji2/text/EmojiCompat,50,159,31.45
7e6bb33990153864,androidx/room/InvalidationTracker,49,216,22.69
